axis_id,first_order_high_block_max_abs,quadratic_reconstruction_max_abs,minimum_curvature_candidate,worst_effective_maximum_eigenvalue,worst_effective_minimum_eigenvalue,minimum_sampled_curvature,maximum_finite_difference_residual,nonpositive_sampled_curvature_count,rounded_terminal_curvatures,axis_pass
0,6.716467815053222e-16,1.3877787807814457e-17,0.05555555555555557,-0.03703703703703705,-0.037037037037037264,0.05555560955883762,2.0141479137314455e-08,0,[0.055555555556],True
1,5.40117657154118e-16,2.0816681711721685e-17,0.05555555555555486,-0.03703703703703657,-0.037037037037036716,0.05555555615157291,4.242619408567627e-09,0,[0.055555555556],True
2,2.6243225550735855e-16,4.163336342344337e-17,0.055555555555554886,-0.03703703703703659,-0.037037037037036744,0.05555556056571823,1.3255726849514815e-08,0,[0.055555555556],True
3,5.10041379953839e-16,2.7755575615628914e-17,0.05555555555555573,-0.03703703703703715,-0.037037037037037326,0.05555555724778691,2.1500239047456127e-08,0,[0.055555555556],True
4,3.771986923251704e-16,2.0816681711721685e-17,0.055555555555554845,-0.03703703703703656,-0.037037037037036695,0.05555555576396311,7.692672068793094e-09,0,[0.055555555556],True
5,2.95505123688407e-16,3.469446951953614e-17,0.055555555555555323,-0.03703703703703688,-0.037037037037037035,0.055555555630941666,7.148881098206772e-09,0,[0.055555555556],True
6,2.785315595247615e-16,3.469446951953614e-17,0.05555555555555468,-0.03703703703703645,-0.03703703703703652,0.055555786261454534,9.818446944365178e-09,0,[0.055555555556],True
7,5.518015742512847e-16,9.1817308340787e-18,0.05555555555555548,-0.037037037037036986,-0.0370370370370371,0.05555566298744779,7.530130352595421e-09,0,[0.055555555556],True
8,5.012826797453595e-16,5.551115123125783e-17,0.05555555555555495,-0.03703703703703663,-0.03703703703703671,0.05555561405408675,8.654548813713525e-09,0,[0.055555555556],True
9,4.604517641013193e-16,6.938893903907228e-18,0.055555555555555254,-0.037037037037036834,-0.037037037037037035,0.05555555630164074,6.52348620955312e-09,0,[0.055555555556],True
