pair_id,first_axis,second_axis,signed_overlap,absolute_overlap,overlap_class,acute_residual_norm,obtuse_residual_norm,acute_operator_norm,obtuse_operator_norm
0,0,1,0.6666666666666665,0.6666666666666665,strong_2_over_3,2.7336071744532853e-16,1.2975279358364294e-15,0.3302798049097855,0.20412414523193143
1,0,2,-0.16666666666666669,0.16666666666666669,weak_1_over_6,0.28521275223211606,1.3640229203157129e-15,0.31104571414893817,0.2500000000000001
2,0,3,0.6666666666666665,0.6666666666666665,strong_2_over_3,3.1531254501946423e-16,9.105563360159024e-16,0.3302798049097857,0.20412414523193123
3,0,4,-0.16666666666666652,0.16666666666666652,weak_1_over_6,0.2852127522321161,1.0838898772828417e-16,0.31104571414893883,0.24999999999999994
4,0,5,-0.1666666666666668,0.1666666666666668,weak_1_over_6,0.28521275223211623,4.783895847703515e-16,0.311045714148938,0.2500000000000006
5,0,6,-0.666666666666667,0.666666666666667,strong_2_over_3,2.6431015215758563e-16,6.866350197783356e-16,0.3302798049097849,0.2041241452319321
6,0,7,-0.1666666666666668,0.1666666666666668,weak_1_over_6,0.2852127522321162,9.895407682228563e-16,0.31104571414893806,0.25000000000000067
7,0,8,0.16666666666666632,0.16666666666666632,weak_1_over_6,0.28521275223211606,6.707981904220693e-16,0.3110457141489388,0.24999999999999983
8,0,9,0.16666666666666638,0.16666666666666638,weak_1_over_6,0.2852127522321161,4.1540741810552243e-16,0.3110457141489385,0.25000000000000017
9,1,2,-0.6666666666666664,0.6666666666666664,strong_2_over_3,3.152427400121712e-16,1.1240365615791314e-15,0.3302798049097847,0.2041241452319317
10,1,3,0.16666666666666657,0.16666666666666657,weak_1_over_6,0.28521275223211595,1.233972593812828e-15,0.31104571414893895,0.24999999999999986
11,1,4,0.16666666666666718,0.16666666666666718,weak_1_over_6,0.2852127522321161,3.702965237654738e-16,0.31104571414893806,0.2500000000000005
12,1,5,0.16666666666666674,0.16666666666666674,weak_1_over_6,0.28521275223211606,3.6743392481035993e-16,0.31104571414893795,0.24999999999999992
13,1,6,-0.16666666666666638,0.16666666666666638,weak_1_over_6,0.28521275223211623,2.603703785810335e-16,0.3110457141489383,0.24999999999999972
14,1,7,0.1666666666666674,0.1666666666666674,weak_1_over_6,0.2852127522321159,3.404319959085785e-16,0.3110457141489382,0.24999999999999983
15,1,8,-0.16666666666666632,0.16666666666666632,weak_1_over_6,0.28521275223211606,1.2139693544093743e-15,0.3110457141489375,0.2500000000000007
16,1,9,0.6666666666666669,0.6666666666666669,strong_2_over_3,5.728686258851893e-16,1.5202354861220294e-16,0.33027980490978487,0.20412414523193176
17,2,3,0.16666666666666613,0.16666666666666613,weak_1_over_6,0.28521275223211595,8.280964554904919e-16,0.31104571414893784,0.25000000000000067
18,2,4,0.16666666666666702,0.16666666666666702,weak_1_over_6,0.28521275223211623,8.977759641057774e-16,0.3110457141489382,0.24999999999999956
19,2,5,-0.6666666666666673,0.6666666666666673,strong_2_over_3,5.534666214761509e-16,4.373154964984119e-16,0.33027980490978465,0.2041241452319312
20,2,6,-0.16666666666666724,0.16666666666666724,weak_1_over_6,0.28521275223211634,3.5150794697932275e-16,0.3110457141489378,0.2499999999999999
21,2,7,0.16666666666666627,0.16666666666666627,weak_1_over_6,0.28521275223211595,2.2887833992611187e-16,0.3110457141489381,0.24999999999999975
22,2,8,0.6666666666666663,0.6666666666666663,strong_2_over_3,4.1271344419392884e-16,6.866350197783356e-16,0.33027980490978454,0.20412414523193181
23,2,9,-0.1666666666666664,0.1666666666666664,weak_1_over_6,0.28521275223211606,4.677967399747455e-16,0.3110457141489377,0.2500000000000002
24,3,4,-0.666666666666667,0.666666666666667,strong_2_over_3,6.304854800243424e-16,8.29134309333875e-16,0.33027980490978515,0.20412414523193204
25,3,5,0.16666666666666696,0.16666666666666696,weak_1_over_6,0.28521275223211623,7.263174067173488e-16,0.31104571414893845,0.25000000000000017
26,3,6,-0.1666666666666663,0.1666666666666663,weak_1_over_6,0.2852127522321162,8.160880364426443e-16,0.3110457141489386,0.24999999999999997
27,3,7,0.16666666666666635,0.16666666666666635,weak_1_over_6,0.2852127522321162,1.012983452169639e-15,0.31104571414893856,0.25000000000000017
28,3,8,0.6666666666666663,0.6666666666666663,strong_2_over_3,3.593606417448153e-16,1.1710090180710446e-15,0.3302798049097852,0.20412414523193176
29,3,9,-0.16666666666666677,0.16666666666666677,weak_1_over_6,0.28521275223211634,7.130536482749599e-16,0.3110457141489381,0.25000000000000056
30,4,5,-0.6666666666666665,0.6666666666666665,strong_2_over_3,4.965068306494546e-16,1.0348959571250347e-15,0.33027980490978487,0.20412414523193134
31,4,6,-0.16666666666666677,0.16666666666666677,weak_1_over_6,0.28521275223211645,5.978733960281817e-16,0.311045714148938,0.25000000000000006
32,4,7,0.16666666666666752,0.16666666666666752,weak_1_over_6,0.2852127522321161,4.554701522633937e-16,0.31104571414893833,0.25000000000000006
33,4,8,-0.1666666666666662,0.1666666666666662,weak_1_over_6,0.28521275223211606,8.266608086254005e-16,0.31104571414893833,0.25000000000000033
34,4,9,0.666666666666667,0.666666666666667,strong_2_over_3,3.5652682413747997e-16,5.585701844806365e-16,0.33027980490978476,0.20412414523193204
35,5,6,0.6666666666666671,0.6666666666666671,strong_2_over_3,4.799054369254133e-16,1.415262216750919e-16,0.33027980490978454,0.20412414523193168
36,5,7,0.16666666666666657,0.16666666666666657,weak_1_over_6,0.285212752232116,5.668273661110591e-16,0.3110457141489378,0.2500000000000002
37,5,8,-0.16666666666666669,0.16666666666666669,weak_1_over_6,0.285212752232116,5.047006968291775e-16,0.31104571414893784,0.25
38,5,9,-0.16666666666666638,0.16666666666666638,weak_1_over_6,0.28521275223211623,4.041272810440265e-16,0.31104571414893806,0.24999999999999986
39,6,7,0.6666666666666664,0.6666666666666664,strong_2_over_3,4.47545209131181e-16,1.1338153169805536e-15,0.3302798049097846,0.20412414523193176
40,6,8,0.16666666666666688,0.16666666666666688,weak_1_over_6,0.2852127522321161,1.1603711481433566e-15,0.3110457141489381,0.2500000000000002
41,6,9,0.16666666666666682,0.16666666666666682,weak_1_over_6,0.285212752232116,4.579669976578771e-16,0.311045714148938,0.24999999999999992
42,7,8,0.6666666666666667,0.6666666666666667,strong_2_over_3,7.174963931161662e-16,4.990338454167432e-16,0.33027980490978515,0.20412414523193145
43,7,9,0.6666666666666673,0.6666666666666673,strong_2_over_3,3.379462171739212e-16,5.087681048627601e-16,0.3302798049097851,0.20412414523193131
44,8,9,0.16666666666666727,0.16666666666666727,weak_1_over_6,0.2852127522321161,5.495323605393213e-16,0.31104571414893856,0.2499999999999997
