axis_id,operator_norm,minimum_singular_value,singular_values,maximum_eigenvalue_residual,maximum_singular_value_residual,polynomial_identity_max_abs,high_projector_idempotence_max_abs,low_projector_idempotence_max_abs,projector_orthogonality_max_abs,projector_completeness_max_abs,high_projector_trace_residual,low_projector_trace_residual,high_projector_rank,low_projector_rank,axis_certificate_pass
0,0.33333333333333387,0.08333333333333315,"[0.08333333333333315, 0.0833333333333332, 0.08333333333333369, 0.08333333333333373, 0.33333333333333376, 0.33333333333333387]",3.469446951953614e-16,5.551115123125783e-16,2.887582840071995e-17,2.7755575615628914e-15,2.6645352591003757e-15,2.66983044361929e-15,0.0,7.105427357601002e-15,7.105427357601002e-15,2,4,True
1,0.3333333333333334,0.08333333333333283,"[0.08333333333333283, 0.08333333333333304, 0.08333333333333356, 0.08333333333333373, 0.3333333333333331, 0.3333333333333334]",1.3877787807814457e-16,4.996003610813204e-16,1.2504787215362702e-17,1.1102230246251565e-15,1.1102230246251565e-15,1.1146553388076836e-15,0.0,1.3322676295501878e-15,8.881784197001252e-16,2,4,True
2,0.33333333333333287,0.08333333333333291,"[0.08333333333333291, 0.08333333333333307, 0.08333333333333338, 0.08333333333333354, 0.33333333333333276, 0.33333333333333287]",3.608224830031759e-16,5.551115123125783e-16,2.708260994793172e-17,2.3314683517128287e-15,2.4702462297909733e-15,2.480848480242145e-15,0.0,7.105427357601002e-15,7.105427357601002e-15,2,4,True
3,0.3333333333333339,0.08333333333333323,"[0.08333333333333323, 0.08333333333333336, 0.08333333333333355, 0.0833333333333337, 0.33333333333333376, 0.3333333333333339]",4.163336342344337e-16,6.106226635438361e-16,1.7512648865616423e-17,1.6653345369377348e-15,1.609823385706477e-15,1.6119283628355367e-15,0.0,7.549516567451064e-15,7.549516567451064e-15,2,4,True
4,0.3333333333333333,0.08333333333333327,"[0.08333333333333327, 0.08333333333333331, 0.08333333333333344, 0.08333333333333363, 0.33333333333333326, 0.3333333333333333]",5.117434254131581e-17,3.0531133177191805e-16,2.911018104944759e-18,2.220446049250313e-16,2.498001805406602e-16,2.378121380606269e-16,0.0,2.220446049250313e-16,0.0,2,4,True
5,0.3333333333333331,0.08333333333333308,"[0.08333333333333308, 0.08333333333333313, 0.08333333333333351, 0.08333333333333355, 0.3333333333333331, 0.3333333333333331]",1.6653345369377348e-16,2.498001805406602e-16,1.4324343796171716e-17,1.3322676295501878e-15,1.3877787807814457e-15,1.3861897942203822e-15,0.0,3.774758283725532e-15,3.552713678800501e-15,2,4,True
6,0.333333333333333,0.08333333333333305,"[0.08333333333333305, 0.08333333333333316, 0.08333333333333327, 0.08333333333333334, 0.3333333333333329, 0.333333333333333]",2.7755575615628914e-16,3.885780586188048e-16,1.4258826727891343e-17,1.2212453270876722e-15,1.27675647831893e-15,1.2858544485680561e-15,0.0,5.329070518200751e-15,5.329070518200751e-15,2,4,True
7,0.3333333333333333,0.08333333333333294,"[0.08333333333333294, 0.08333333333333307, 0.08333333333333351, 0.08333333333333359, 0.3333333333333333, 0.3333333333333333]",6.505213034913027e-17,3.885780586188048e-16,4.139097851979195e-18,3.885780586188048e-16,3.885780586188048e-16,3.8774559094837227e-16,0.0,6.661338147750939e-16,8.881784197001252e-16,2,4,True
8,0.3333333333333334,0.083333333333333,"[0.083333333333333, 0.08333333333333304, 0.08333333333333362, 0.0833333333333337, 0.33333333333333326, 0.3333333333333334]",6.158268339717665e-17,3.7470027081099033e-16,4.1711466285724104e-18,3.8163916471489756e-16,3.3306690738754696e-16,3.835877641533103e-16,0.0,0.0,0.0,2,4,True
9,0.33333333333333326,0.08333333333333295,"[0.08333333333333295, 0.08333333333333315, 0.08333333333333338, 0.08333333333333347, 0.3333333333333331, 0.33333333333333326]",1.5265566588595902e-16,3.7470027081099033e-16,6.208021237303414e-18,5.551115123125783e-16,5.551115123125783e-16,5.762475538664021e-16,0.0,1.7763568394002505e-15,1.7763568394002505e-15,2,4,True
