coupling,amplitude,observed_potential,expected_potential,formula_residual,potential_over_amplitude_fourth,u_norm,v_norm,f_norm,negative_potential
0.25,0.5,-2.170138888888829e-05,-2.1701388888888287e-05,3.3881317890172014e-21,-0.00034722222222221264,0.5,0.5,0.0020833333333333047,True
0.25,1.0,-0.00034722222222221264,-0.0003472222222222126,5.421010862427522e-20,-0.00034722222222221264,1.0,1.0,0.008333333333333219,True
0.25,2.0,-0.005555555555555402,-0.005555555555555401,8.673617379884035e-19,-0.00034722222222221264,2.0,2.0,0.033333333333332875,True
0.25,4.0,-0.08888888888888644,-0.08888888888888642,1.3877787807814457e-17,-0.00034722222222221264,4.0,4.0,0.1333333333333315,True
0.25,8.0,-1.422222222222183,-1.4222222222221828,2.220446049250313e-16,-0.00034722222222221264,8.0,8.0,0.533333333333326,True
0.5,0.5,-8.680555555555316e-05,-8.680555555555315e-05,1.3552527156068805e-20,-0.0013888888888888506,0.5,0.5,0.004166666666666609,True
0.5,1.0,-0.0013888888888888506,-0.0013888888888888503,2.168404344971009e-19,-0.0013888888888888506,1.0,1.0,0.016666666666666437,True
0.5,2.0,-0.02222222222222161,-0.022222222222221606,3.469446951953614e-18,-0.0013888888888888506,2.0,2.0,0.06666666666666575,True
0.5,4.0,-0.35555555555554574,-0.3555555555555457,5.551115123125783e-17,-0.0013888888888888506,4.0,4.0,0.266666666666663,True
0.5,8.0,-5.688888888888732,-5.688888888888731,8.881784197001252e-16,-0.0013888888888888506,8.0,8.0,1.066666666666652,True
1.0,0.5,-0.00034722222222221264,-0.0003472222222222126,5.421010862427522e-20,-0.005555555555555402,0.5,0.5,0.008333333333333219,True
1.0,1.0,-0.005555555555555402,-0.005555555555555401,8.673617379884035e-19,-0.005555555555555402,1.0,1.0,0.033333333333332875,True
1.0,2.0,-0.08888888888888644,-0.08888888888888642,1.3877787807814457e-17,-0.005555555555555402,2.0,2.0,0.1333333333333315,True
1.0,4.0,-1.422222222222183,-1.4222222222221828,2.220446049250313e-16,-0.005555555555555402,4.0,4.0,0.533333333333326,True
1.0,8.0,-22.755555555554928,-22.755555555554924,3.552713678800501e-15,-0.005555555555555402,8.0,8.0,2.133333333333304,True
1.5,0.5,-0.0007812499999999784,-0.0007812499999999784,0.0,-0.012499999999999654,0.5,0.5,0.012499999999999827,True
1.5,1.0,-0.012499999999999654,-0.012499999999999654,0.0,-0.012499999999999654,1.0,1.0,0.04999999999999931,True
1.5,2.0,-0.19999999999999446,-0.19999999999999446,0.0,-0.012499999999999654,2.0,2.0,0.19999999999999724,True
1.5,4.0,-3.1999999999999114,-3.1999999999999114,0.0,-0.012499999999999654,4.0,4.0,0.7999999999999889,True
1.5,8.0,-51.19999999999858,-51.19999999999858,0.0,-0.012499999999999654,8.0,8.0,3.1999999999999558,True
