probe_id,trace_c_squared,quartic_prediction,quartic_residual,directional_c_squared,sextic_prediction,sextic_residual,f_transpose_c_f,s4,f_transpose_c_f_residual
0,2.0443548772813243,2.0443548772813234,8.881784197001252e-16,1.167900733419723,1.1679007334197224,4.440892098500626e-16,1.0350928893720177,1.0350928893720177,0.0
1,2.5999805279489254,2.599980527948923,2.220446049250313e-15,2.015606419894986,2.015606419894985,8.881784197001252e-16,1.398775133445356,1.3987751334453558,2.220446049250313e-16
2,2.3202826268490675,2.3202826268490675,0.0,1.5854570203516947,1.5854570203516953,6.661338147750939e-16,1.2157001436345416,1.2157001436345412,4.440892098500626e-16
3,2.6991790647378635,2.699179064737861,2.6645352591003757e-15,2.184141066229926,2.184141066229925,8.881784197001252e-16,1.4637050847981148,1.4637050847981148,0.0
4,2.3438206691414245,2.3438206691414245,0.0,1.5789724763380204,1.5789724763380195,8.881784197001252e-16,1.2311068622259014,1.231106862225902,6.661338147750939e-16
5,2.068808115248374,2.0688081152483733,8.881784197001252e-16,1.207884220460878,1.2078842204608775,4.440892098500626e-16,1.0510986451322686,1.0510986451322686,0.0
6,1.9212199030599137,1.9212199030599133,4.440892098500626e-16,0.9493168929858173,0.9493168929858172,1.1102230246251565e-16,0.9544954516998219,0.9544954516998219,0.0
7,2.423989305382155,2.423989305382155,0.0,1.76106686318971,1.76106686318971,0.0,1.2835808786743805,1.2835808786743803,2.220446049250313e-16
8,2.4135365016014143,2.4135365016014125,1.7763568394002505e-15,1.7435796797222998,1.7435796797222998,0.0,1.2767390434724397,1.27673904347244,2.220446049250313e-16
9,2.722101429541669,2.7221014295416674,1.3322676295501878e-15,2.2239413733256703,2.2239413733256717,1.3322676295501878e-15,1.4787088144878795,1.4787088144878795,0.0
10,2.6970847060758025,2.697084706075803,4.440892098500626e-16,2.1861186231375616,2.186118623137562,4.440892098500626e-16,1.4623342318556773,1.4623342318556773,0.0
11,2.702856626687347,2.7028566266873444,2.6645352591003757e-15,2.1917756447066674,2.1917756447066656,1.7763568394002505e-15,1.4661122162559588,1.466112216255959,2.220446049250313e-16
12,2.4584506988053203,2.458450698805318,2.220446049250313e-15,1.8162496636326786,1.8162496636326768,1.7763568394002505e-15,1.306137427096815,1.3061374270968145,4.440892098500626e-16
13,2.5108829074103904,2.5108829074103918,1.3322676295501878e-15,1.9155739597173296,1.9155739597173298,2.220446049250313e-16,1.3404566909110447,1.3404566909110445,2.220446049250313e-16
14,1.7999061074826181,1.7999061074826175,6.661338147750939e-16,0.8386361292286507,0.8386361292286507,0.0,0.875090058231047,0.8750900582310468,2.220446049250313e-16
15,2.8103199820403115,2.810319982040311,4.440892098500626e-16,2.3930713149841614,2.3930713149841596,1.7763568394002505e-15,1.5364518670324463,1.5364518670324463,0.0
16,2.1683610144761096,2.1683610144761087,8.881784197001252e-16,1.357304806449214,1.3573048064492141,2.220446049250313e-16,1.1162605428086045,1.1162605428086045,0.0
17,2.6697037219985402,2.6697037219985384,1.7763568394002505e-15,2.16794034871541,2.167940348715409,8.881784197001252e-16,1.4444121331869217,1.4444121331869222,4.440892098500626e-16
18,2.6725269668171334,2.6725269668171356,2.220446049250313e-15,2.139049916211099,2.1390499162111007,1.7763568394002505e-15,1.4462600752500034,1.4462600752500039,4.440892098500626e-16
19,2.011801720174677,2.0118017201746765,4.440892098500626e-16,1.1461581927595867,1.1461581927595859,8.881784197001252e-16,1.013785368356758,1.013785368356758,0.0
20,2.063005839471122,2.063005839471122,0.0,1.1275819204237667,1.127581920423767,2.220446049250313e-16,1.0473007918962496,1.0473007918962494,2.220446049250313e-16
21,2.00140874745887,2.0014087474588704,4.440892098500626e-16,1.0961014185973825,1.096101418597384,1.5543122344752192e-15,1.0069826953064123,1.0069826953064123,0.0
22,2.4076502435472786,2.4076502435472773,1.3322676295501878e-15,1.691054756368465,1.6910547563684641,8.881784197001252e-16,1.2728862200188238,1.272886220018824,2.220446049250313e-16
23,2.082647573432997,2.0826475734329954,1.3322676295501878e-15,1.1435145459800626,1.1435145459800629,2.220446049250313e-16,1.060157199580385,1.060157199580385,0.0
24,2.1746346496661553,2.1746346496661544,8.881784197001252e-16,1.3109938706944038,1.310993870694404,2.220446049250313e-16,1.1203669222057253,1.1203669222057253,0.0
25,2.0092549720435526,2.009254972043553,4.440892098500626e-16,1.0459168476546603,1.0459168476546625,2.220446049250313e-15,1.0121184059436583,1.0121184059436592,8.881784197001252e-16
26,2.630605004346257,2.630605004346255,2.220446049250313e-15,2.0705502910256595,2.070550291025659,4.440892098500626e-16,1.4188202452690633,1.4188202452690637,4.440892098500626e-16
27,2.801261722998765,2.8012617229987646,4.440892098500626e-16,2.3615014983111595,2.361501498311159,4.440892098500626e-16,1.5305228247507063,1.5305228247507068,4.440892098500626e-16
28,1.7543441626388072,1.7543441626388059,1.3322676295501878e-15,0.74839054477816,0.7483905447781601,1.1102230246251565e-16,0.8452676943332795,0.8452676943332792,3.3306690738754696e-16
29,2.613194450781594,2.613194450781594,0.0,2.040095949671124,2.0400959496711266,2.6645352591003757e-15,1.4074242465721944,1.4074242465721947,2.220446049250313e-16
30,2.2369875808666366,2.2369875808666366,0.0,1.4249551557911677,1.4249551557911682,4.440892098500626e-16,1.1611797499005863,1.1611797499005863,0.0
31,2.052345930946338,2.0523459309463377,4.440892098500626e-16,1.098717845602247,1.098717845602247,0.0,1.040323397225482,1.0403233972254817,2.220446049250313e-16
32,2.8414905168433573,2.84149051684336,2.6645352591003757e-15,2.4369063961902344,2.4369063961902353,8.881784197001252e-16,1.5568543989035326,1.5568543989035324,2.220446049250313e-16
33,2.564333606624524,2.5643336066245253,1.3322676295501878e-15,1.9666159647069275,1.9666159647069281,6.661338147750939e-16,1.3754426031239313,1.3754426031239315,2.220446049250313e-16
34,2.5886541515664048,2.5886541515664043,4.440892098500626e-16,1.9961307596244642,1.996130759624465,8.881784197001252e-16,1.391361505267707,1.3913615052677069,2.220446049250313e-16
35,2.2632086211764038,2.263208621176403,8.881784197001252e-16,1.4410563011909925,1.4410563011909918,6.661338147750939e-16,1.1783426126487972,1.1783426126487972,0.0
36,2.4627450517822584,2.4627450517822584,0.0,1.8336259224341027,1.8336259224341025,2.220446049250313e-16,1.3089482763180842,1.3089482763180844,2.220446049250313e-16
37,2.7811198511745276,2.7811198511745276,0.0,2.3337502889860793,2.3337502889860806,1.3322676295501878e-15,1.5173390541021152,1.5173390541021152,0.0
38,2.818381280143436,2.818381280143435,8.881784197001252e-16,2.387313562946918,2.387313562946918,0.0,1.5417283530635824,1.541728353063582,4.440892098500626e-16
39,2.336382505407201,2.336382505407202,8.881784197001252e-16,1.6104986003510733,1.6104986003510748,1.5543122344752192e-15,1.2262382459635015,1.2262382459635017,2.220446049250313e-16
40,2.2041447302523114,2.2041447302523105,8.881784197001252e-16,1.4020966757765954,1.4020966757765951,2.220446049250313e-16,1.139682611316664,1.139682611316664,0.0
41,2.7048956686515684,2.704895668651569,4.440892098500626e-16,2.195629104602756,2.195629104602756,0.0,1.4674468619052692,1.4674468619052696,4.440892098500626e-16
42,2.464415588836338,2.4644155888363386,4.440892098500626e-16,1.7877907073148733,1.7877907073148742,8.881784197001252e-16,1.3100417187534825,1.3100417187534825,0.0
43,1.9772021975534717,1.977202197553472,2.220446049250313e-16,1.0434689300229234,1.0434689300229243,8.881784197001252e-16,0.991138408095606,0.991138408095606,0.0
44,2.200785580260967,2.200785580260965,2.220446049250313e-15,1.3498269931326148,1.3498269931326132,1.5543122344752192e-15,1.1374838949586923,1.1374838949586923,0.0
45,2.0224312451228195,2.0224312451228177,1.7763568394002505e-15,1.0959221716865633,1.0959221716865624,8.881784197001252e-16,1.0207428755955417,1.0207428755955414,2.220446049250313e-16
46,2.4653803979325684,2.4653803979325684,0.0,1.799506921069064,1.7995069210690633,6.661338147750939e-16,1.3106732301619233,1.3106732301619237,4.440892098500626e-16
47,1.75187740329408,1.7518774032940798,2.220446049250313e-16,0.7657431450975437,0.7657431450975436,1.1102230246251565e-16,0.8436530882167311,0.8436530882167312,1.1102230246251565e-16
48,2.04401986683554,2.0440198668355376,2.220446049250313e-15,1.1741473985038156,1.1741473985038153,2.220446049250313e-16,1.0348736098075035,1.0348736098075035,0.0
49,1.8906320326488495,1.890632032648848,1.5543122344752192e-15,0.9554942025271662,0.955494202527166,2.220446049250313e-16,0.934474300158034,0.9344743001580338,2.220446049250313e-16
50,2.8464346413168626,2.846434641316861,1.7763568394002505e-15,2.4471494352665064,2.447149435266504,2.220446049250313e-15,1.5600905531043698,1.5600905531043698,0.0
51,2.054889617299579,2.05488961729958,8.881784197001252e-16,1.1415988344960577,1.1415988344960586,8.881784197001252e-16,1.0419883555657856,1.0419883555657858,2.220446049250313e-16
52,2.240086153461888,2.240086153461885,2.6645352591003757e-15,1.4846335376679773,1.4846335376679776,2.220446049250313e-16,1.1632079065083853,1.1632079065083853,0.0
53,2.2667410055090436,2.2667410055090422,1.3322676295501878e-15,1.4482949704560055,1.4482949704560055,0.0,1.1806547187574334,1.1806547187574337,2.220446049250313e-16
54,2.031640315211796,2.031640315211796,0.0,1.1707572011627772,1.170757201162778,8.881784197001252e-16,1.0267706305628728,1.0267706305628728,0.0
55,2.475060986634799,2.475060986634796,2.6645352591003757e-15,1.835960442644708,1.8359604426447074,6.661338147750939e-16,1.3170096154942907,1.3170096154942907,0.0
56,2.691654256196254,2.691654256196252,2.220446049250313e-15,2.171475060702584,2.171475060702583,8.881784197001252e-16,1.4587797555708806,1.4587797555708804,2.220446049250313e-16
57,2.2092004245189996,2.2092004245190004,8.881784197001252e-16,1.3522505571968262,1.3522505571968262,0.0,1.1429917930184967,1.1429917930184972,4.440892098500626e-16
58,2.319482454089683,2.319482454089682,8.881784197001252e-16,1.586547780973121,1.5865477809731203,6.661338147750939e-16,1.2151763941920346,1.2151763941920344,2.220446049250313e-16
59,1.9975767756840397,1.99757677568404,2.220446049250313e-16,1.0858245821492822,1.0858245821492831,8.881784197001252e-16,1.0044744955992508,1.0044744955992504,4.440892098500626e-16
60,2.631184881135279,2.6311848811352787,4.440892098500626e-16,2.0689103088005294,2.0689103088005294,0.0,1.419199800985516,1.419199800985516,0.0
61,2.8074083270919137,2.8074083270919137,0.0,2.378101112349218,2.3781011123492175,4.440892098500626e-16,1.5345460565207676,1.5345460565207676,0.0
62,2.353323571964049,2.3533235719640486,4.440892098500626e-16,1.5959232963010863,1.595923296301088,1.7763568394002505e-15,1.2373269440734376,1.237326944073438,4.440892098500626e-16
63,2.491933948417796,2.491933948417795,8.881784197001252e-16,1.8408541437381511,1.840854143738151,2.220446049250313e-16,1.3280537359340725,1.328053735934072,4.440892098500626e-16
64,2.6019592770737745,2.601959277073774,4.440892098500626e-16,2.0189817015583444,2.0189817015583458,1.3322676295501878e-15,1.4000703146907132,1.400070314690713,2.220446049250313e-16
65,1.8502820772661743,1.8502820772661739,4.440892098500626e-16,0.8803098733122245,0.8803098733122257,1.1102230246251565e-15,0.9080634202711927,0.9080634202711928,1.1102230246251565e-16
66,2.0572307633253724,2.057230763325372,4.440892098500626e-16,1.0953206880035025,1.0953206880035022,2.220446049250313e-16,1.043520742055395,1.043520742055395,0.0
67,2.534234331343256,2.534234331343257,8.881784197001252e-16,1.932224034476162,1.9322240344761614,6.661338147750939e-16,1.3557412593034646,1.355741259303465,4.440892098500626e-16
68,1.8676810121633496,1.8676810121633505,8.881784197001252e-16,0.9055968119795944,0.9055968119795952,7.771561172376096e-16,0.919451814022072,0.919451814022072,0.0
