axis_id,jacobian_rank,minimum_singular_value,maximum_singular_value,locally_isolated
0,3,0.3472222221053595,1.3888888888939321,True
1,3,0.3472222220898408,1.3888888889275783,True
2,3,0.347222222201097,1.388888888849412,True
3,3,0.3472222221683301,1.38888888885103,True
4,3,0.3472222222022088,1.3888888889044406,True
5,3,0.3472222221893217,1.3888888888867608,True
6,3,0.3472222221680892,1.3888888888810111,True
7,3,0.3472222221183541,1.388888888880073,True
8,3,0.34722222219036103,1.3888888888921838,True
9,3,0.3472222221692749,1.388888888880437,True
