start_id,root_pass,residual_norm,residual_max_abs,norm_residual,axis_distance,nearest_axis_id,success,status,function_evaluations,f0,f1,f2,f3
0,True,4.742874840267547e-16,4.440892098500626e-16,0.0,0.0,0,True,1,1,0.6934929700486028,0.39524144582917553,0.16666666666666874,-0.578855700683903
1,True,2.7194799110210365e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1,True,1,1,0.6779376857883976,-0.16648447340108066,0.6666666666666672,-0.2612258981414202
2,True,9.45422702916593e-16,6.661338147750939e-16,0.0,0.0,2,True,1,1,-0.6623824015281936,0.7282103926313341,-0.16666666666666474,-0.05640390440106126
3,True,4.644396126208125e-16,3.885780586188048e-16,2.220446049250313e-16,0.0,3,True,1,1,0.6223394934782098,0.7619318231460653,-0.1666666666666644,0.06614887721512228
4,True,4.1540741810552243e-16,3.3306690738754696e-16,4.440892098500626e-16,0.0,4,True,1,1,-0.6067842092180049,-0.20020590391581186,0.6666666666666665,-0.383778679757603
5,True,4.1910000110727263e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,5,True,1,1,0.5912289249578002,-0.36152001531444455,-0.16666666666666805,0.7014084823000857
6,True,4.972820174300706e-16,3.3306690738754696e-16,0.0,0.0,6,True,1,1,-0.08670876083059792,-0.19503554191336658,0.1666666666666648,0.9626343804415073
7,True,5.087681048627601e-16,4.440892098500626e-16,0.0,0.0,7,True,1,1,-0.07115347657039378,0.3666903773168868,0.6666666666666673,0.6450045778990257
8,True,2.2887833992611187e-16,2.220446049250313e-16,0.0,0.0,8,True,1,1,-0.05559819231018885,0.9284162965471433,0.1666666666666693,0.3273747753565438
9,True,3.0955377892690727e-16,2.1700621396935938e-16,0.0,0.0,9,True,1,1,-6.055024358245408e-16,-2.7216086774831455e-15,1.0,1.4823967466408076e-15
10,True,6.667118051786499e-16,4.440892098500626e-16,2.220446049250313e-16,0.8420246737858657,3,True,1,8,0.4820620987856529,0.5901898523980315,0.6454972243679044,0.05123869996489848
11,True,3.331391796911832e-16,2.220446049250313e-16,2.220446049250313e-16,0.41744238123296085,7,True,1,7,-0.038972364162520465,0.20084459127653886,0.9128709291752766,0.3532835570093962
12,True,1.716587549445839e-16,1.1102230246251565e-16,0.0,0.8804857344718372,8,True,1,6,-0.08714485551127092,0.44910215900750783,-0.4082482904638625,0.7899660488059272
