probe_id,group_index,trilinear_value,energy,trilinear_equivariance_max_abs,gradient_u_finite_difference_max_abs,gradient_v_finite_difference_max_abs,gradient_f_finite_difference_max_abs,energy_derivative_max_abs,reciprocal_power_balance_max_abs,all_checks_pass
0,459,-0.4988387853036681,37.59229565659651,1.4432899320127035e-15,6.110423278471444e-11,4.7829351590422675e-11,1.3233053541839013e-11,3.83026943495679e-15,0.0,True
1,310,-0.23804176540839111,31.95154651685124,2.3314683517128287e-15,1.7337864477440235e-10,2.966364376355557e-10,3.927846936591095e-11,4.440892098500626e-16,0.0,True
2,107,-2.5438564535450108,83.19475117433603,9.325873406851315e-15,3.1580005277476175e-10,3.1740099437627123e-10,3.073334919889703e-10,2.886579864025407e-15,0.0,True
3,55,0.3855908663945149,24.63180393339983,3.885780586188048e-16,2.568822932147441e-11,5.249911616544978e-11,8.46156478218063e-12,6.661338147750939e-16,0.0,True
4,75,-1.1765067689369773,16.372653587903006,4.440892098500626e-16,1.232552393481967e-10,1.6552029191707618e-10,9.230838315943402e-11,2.220446049250313e-16,0.0,True
5,158,-0.318419750961096,35.2136552609727,1.1657341758564144e-15,2.970645951450024e-11,9.478440254895304e-11,1.5916767903689788e-11,3.608224830031759e-16,0.0,True
6,387,0.38157277921872795,10.162409084826976,1.4432899320127035e-15,8.916462013175419e-11,1.897323964605846e-11,4.480638082782207e-12,3.469446951953614e-17,0.0,True
7,445,0.39094308681980044,11.596362195684591,1.609823385706477e-15,2.3619939337748974e-11,1.541777816527201e-11,1.242594915851214e-11,2.498001805406602e-16,0.0,True
8,208,-0.38195799339954295,23.21515507362897,4.996003610813204e-16,1.9939272455360424e-11,2.1509800017527336e-11,4.6350479010470735e-11,4.996003610813204e-16,0.0,True
9,223,0.24877577054570368,31.006170728887124,8.881784197001252e-16,3.697525619017483e-11,5.420486282048387e-11,1.0785927706535858e-11,3.3306690738754696e-16,0.0,True
10,123,0.9079543494819408,11.474602546849184,1.1102230246251565e-16,1.7454704348551786e-11,1.472279242964447e-11,5.616707099420637e-11,1.1102230246251565e-16,0.0,True
11,369,-0.6015953870951332,16.173997916741893,4.9960036108132044e-15,1.0655876181431267e-10,1.2577605623675936e-10,5.782163636780524e-11,1.6653345369377348e-16,0.0,True
12,51,-0.027530705388361887,9.126631345882716,4.718447854656915e-16,1.5164591804506244e-11,2.0148882562409653e-12,7.232048293559501e-12,2.7755575615628914e-17,0.0,True
13,235,-0.6123156420115456,13.098476324777591,1.5543122344752192e-15,2.7558294535268146e-10,1.1041106917630827e-10,1.4334533560145246e-11,0.0,0.0,True
14,190,0.24849851584073107,21.20195952432257,5.273559366969494e-16,4.8520965023612916e-11,1.8136674106994377e-10,1.9201085166287157e-11,1.1102230246251565e-16,0.0,True
15,4,0.4343494608080902,31.675916572625983,1.1102230246251565e-15,1.6702195182460855e-12,6.479440595175134e-11,6.640377137046016e-11,9.71445146547012e-17,0.0,True
16,427,1.1941586848198038,16.312987408381666,1.7763568394002505e-15,1.2965511997364843e-10,1.7811552233126804e-10,2.3178292618553087e-11,1.1102230246251565e-16,0.0,True
17,14,1.731781956924896,30.04474969643303,6.439293542825908e-15,4.9754173003790925e-11,1.221021062036698e-10,3.984235164011807e-11,1.9984014443252818e-15,0.0,True
18,241,0.0023712847769796763,14.346406056558056,1.1102230246251565e-16,3.433942019626102e-11,8.244538385326905e-11,8.071987522839663e-12,1.1102230246251565e-16,0.0,True
19,44,-0.370310239847531,29.03328190551844,4.440892098500626e-16,4.731104397137642e-12,1.0560718965990645e-10,6.627698390104797e-12,8.326672684688674e-16,0.0,True
20,331,-0.5046904219385172,26.623453253843547,0.0,1.299482743633007e-10,2.548306010652368e-11,1.511349378979787e-11,5.551115123125783e-17,0.0,True
21,0,0.4854204936936268,11.533749715303719,5.551115123125783e-17,2.8022251186143876e-11,3.620770350210023e-12,1.9303891818367447e-11,4.718447854656915e-16,0.0,True
22,263,-0.34556838083738295,12.746634074278285,9.43689570931383e-16,3.605708787102202e-11,4.352623816927803e-11,5.7698290589769385e-12,2.7755575615628914e-16,0.0,True
23,386,-0.3103732402690684,19.086334027688267,1.1102230246251565e-15,2.637756679746417e-11,5.2262860705809544e-11,1.0593748100973244e-12,1.1102230246251565e-16,0.0,True
24,412,-0.4413861578271949,19.43020030449976,3.9968028886505635e-15,6.972133981264506e-11,4.028810618450507e-11,2.402966714498689e-12,3.3306690738754696e-16,0.0,True
25,182,1.3131845455483089,64.29084783731939,1.7763568394002505e-15,2.421409739383762e-10,6.743738900638618e-11,1.0305717390579616e-10,8.465450562766819e-16,0.0,True
26,426,-1.3811666863508112,53.87746924690685,8.881784197001252e-16,5.924288837277913e-11,8.844458498913355e-11,9.1720520067895e-11,8.881784197001252e-16,0.0,True
27,468,-0.34783690590921,25.5985520915459,4.551914400963142e-15,2.604202964384683e-10,1.4368950473908626e-11,3.9601655288379334e-11,6.106226635438361e-16,0.0,True
28,365,0.9222428731848166,16.635727839614336,1.5543122344752192e-15,1.4883150267763767e-11,4.859668223389235e-11,3.183009411600324e-11,0.0,0.0,True
29,108,-0.7775744350616621,36.00432260036265,1.6653345369377348e-15,6.623257498006296e-12,1.4341230980541297e-10,5.746561559938357e-11,2.886579864025407e-15,0.0,True
30,18,-0.2081512210767022,24.76485891433465,1.6653345369377348e-16,2.7168989280568212e-11,3.534500470081525e-11,5.49618128786733e-11,4.440892098500626e-16,0.0,True
31,441,0.3919950639773564,50.87901556470309,2.7200464103316335e-15,1.2180256803162592e-10,3.199662756969701e-12,1.3835377288273776e-11,2.7755575615628914e-17,0.0,True
32,218,-0.1229753160421573,25.543439356894243,1.3877787807814457e-16,4.722400248624581e-11,1.2044587549553398e-11,1.4924173008523667e-11,7.771561172376096e-16,0.0,True
33,22,0.9541185477765612,18.612624832494827,5.551115123125783e-16,4.165379152709647e-11,1.0257927840484626e-10,4.772138240127788e-11,3.0531133177191805e-16,0.0,True
34,424,-0.2999214965771857,11.95898294920613,1.27675647831893e-15,4.2327752414195174e-11,2.2636559293687242e-11,1.935529514440759e-11,6.106226635438361e-16,0.0,True
35,300,-0.857842244130579,29.197517523585933,3.9968028886505635e-15,1.4483969579259792e-10,1.3244422225611174e-10,3.553157768010351e-12,2.1094237467877974e-15,0.0,True
36,452,0.020359226572759154,33.381504710926194,8.465450562766819e-16,9.494738328896801e-12,5.840927741473934e-11,2.2003510125045977e-12,1.609823385706477e-15,0.0,True
37,47,0.7176953827809944,34.782597242162495,2.6645352591003757e-15,6.536762797715312e-11,4.976552503421772e-11,7.103273524933229e-11,6.661338147750939e-16,0.0,True
38,2,0.2798893820967502,33.63474844726998,2.55351295663786e-15,8.19680989749827e-11,1.2524237202882205e-10,9.973577519417631e-12,4.440892098500626e-16,0.0,True
39,342,-0.17594577398731065,20.46056855480586,7.216449660063518e-16,3.8970344312661e-11,4.540445797118764e-11,3.048628016699695e-11,7.91033905045424e-16,0.0,True
40,23,0.5464477432700288,15.146846073018304,2.7755575615628914e-15,2.4187929437147204e-11,6.26065865816372e-12,1.8683388169904447e-12,5.551115123125783e-17,0.0,True
41,376,-2.2448797228428115,24.053649040683784,9.769962616701378e-15,1.1734102578486727e-10,4.211085508076806e-10,1.5744072712209345e-11,6.106226635438361e-16,0.0,True
42,346,0.5738040200671012,28.17004509142269,1.7763568394002505e-15,9.528411393233682e-11,1.2950934769051514e-10,4.175215728707826e-11,4.440892098500626e-16,0.0,True
43,299,0.039817871802416804,8.177814866324928,1.0130785099704553e-15,2.432314072375874e-11,2.947564414768067e-11,8.253342453912182e-12,2.220446049250313e-16,0.0,True
44,22,-0.6254013048854596,27.446721263016492,3.3306690738754696e-15,4.909939121944262e-11,1.9259260852777516e-11,1.0058709420945888e-10,1.5543122344752192e-15,0.0,True
45,352,0.25978926706730443,8.402426711565715,1.3322676295501878e-15,1.1915135544882105e-11,2.802369447607589e-12,1.276356798030065e-11,2.498001805406602e-16,0.0,True
46,438,0.47076176273321396,27.39299378973609,1.942890293094024e-15,1.586036857403883e-11,1.299640950414016e-10,6.710498823281341e-11,5.551115123125783e-16,0.0,True
47,246,0.23986499779882328,36.66926053642779,9.43689570931383e-16,6.445255440468145e-11,8.12506312231065e-11,2.888567163239486e-11,2.525757381022231e-15,0.0,True
