coefficient_id,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
0,12,0,0,0,6.752640021379052e-08,6.388408290883272e-08,3.6423173049578003e-09,False
1,11,1,0,0,-9.714325936011257e-09,-1.0323965054734601e-08,6.096391187233449e-10,False
2,11,0,1,0,-6.341410151631727e-08,-6.586754766457786e-08,2.4534461482605894e-09,False
3,11,0,0,1,3.150510594628432e-08,3.184982843247215e-08,-3.4472248618783077e-10,True
4,10,2,0,0,3.4006418305964035e-09,-2.9452248389063876e-08,3.285289021966028e-08,False
5,10,1,1,0,3.2380113804887256e-07,3.3603268063449973e-07,-1.2231542585627177e-08,False
6,10,1,0,1,3.311916598084871e-07,3.4364003321513423e-07,-1.2448373406647134e-08,False
7,10,0,2,0,2.240416596414351e-07,1.9888946634730376e-07,2.5152193294131342e-08,False
8,10,0,1,1,5.456336222845304e-07,5.673837728215394e-07,-2.1750150537008997e-08,False
9,10,0,0,2,2.1049215063223674e-07,1.8512720061200933e-07,2.5364950020227405e-08,False
10,9,3,0,0,-1.715161610339768e-08,-2.019445646556376e-08,3.0428403621660805e-09,False
11,9,2,1,0,-8.38376220800263e-08,-9.504085611631511e-08,1.120323403628881e-08,False
12,9,2,0,1,-9.472266592784104e-08,-9.30081407086027e-08,-1.7145252192383417e-09,False
13,9,1,2,0,-1.439256581434725e-07,-1.4180661308391541e-07,-2.119045059557082e-09,False
14,9,1,1,1,8.318956043786201e-08,9.42888455746861e-08,-1.1099285136824091e-08,False
15,9,1,0,2,-3.06612207765408e-08,-3.370427967918548e-08,3.043058902644685e-09,False
16,9,0,3,0,-1.862407034899562e-07,-1.9702619332583226e-07,1.0785489835876068e-08,False
17,9,0,2,1,-2.262419847507799e-07,-2.1778539528666413e-07,-8.456589464115768e-09,False
18,9,0,1,2,1.0393780362927624e-07,9.801526088794732e-08,5.922542741328912e-09,False
19,9,0,0,3,1.2567176432406098e-08,1.4289821586949406e-08,-1.7226451545433079e-09,False
20,8,4,0,0,-5.5669585985376144e-08,-1.651544725920046e-07,1.0948488660662847e-07,False
21,8,3,1,0,5.181644578817548e-07,5.854232162573643e-07,-6.725875837560943e-08,False
22,8,3,0,1,2.458685578164104e-07,3.07782651565229e-07,-6.19140937488186e-08,False
23,8,2,2,0,1.2057270262534254e-06,1.0337870925546265e-06,1.719399336987989e-07,False
24,8,2,1,1,1.353702590455901e-06,1.446488047718915e-06,-9.278545726301396e-08,False
25,8,2,0,2,8.530551295340773e-07,6.715133781177472e-07,1.8154175141633006e-07,False
26,8,1,3,0,9.371129829307007e-07,9.91581078859077e-07,-5.4468095928376336e-08,False
27,8,1,2,1,1.3214572024442668e-06,1.3285737427084991e-06,-7.116540264232321e-09,False
28,8,1,1,2,1.70729744464638e-06,1.7167011717153487e-06,-9.403727068968743e-09,False
29,8,1,0,3,1.227609665670183e-06,1.2897469025406482e-06,-6.213723687046525e-08,False
30,8,0,4,0,4.123968645223038e-07,3.409517353885886e-07,7.14451291337152e-08,False
31,8,0,3,1,1.629221372348117e-06,1.7244418573704008e-06,-9.522048502228378e-08,False
32,8,0,2,2,1.9865886824301195e-06,1.820111549552684e-06,1.6647713287743557e-07,False
33,8,0,1,3,1.419853261562216e-06,1.5113759315538525e-06,-9.152266999163657e-08,False
34,8,0,0,4,3.826776845116703e-07,3.105024493330895e-07,7.217523517858083e-08,False
35,7,5,0,0,1.5009751278266715e-08,1.1021453301087846e-08,3.988297977178869e-09,False
