coefficient_id,monomial,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
0,f0^12,12,0,0,0,6.752640021379052e-08,9.279781455875558e-08,-2.5271414344965055e-08,False
1,f0^11*f1,11,1,0,0,-9.714325936011257e-09,-9.499542062675715e-09,-2.1478387333554133e-10,True
2,f0^11*f2,11,0,1,0,-6.341410151631727e-08,-6.645141424525141e-08,3.037312728934144e-09,True
3,f0^11*f3,11,0,0,1,3.150510594628432e-08,3.555689647676928e-08,-4.051790530484964e-09,True
4,f0^10*f1^2,10,2,0,0,3.4006418305964035e-09,1.2232829867385307e-07,-1.1892765684325666e-07,False
5,f0^10*f1*f2,10,1,1,0,3.2380113804887256e-07,3.378764008148196e-07,-1.4075262765947062e-08,False
6,f0^10*f1*f3,10,1,0,1,3.311916598084871e-07,3.487881264560888e-07,-1.7596466647601677e-08,False
7,f0^10*f2^2,10,0,2,0,2.240416596414351e-07,3.511301641261549e-07,-1.2708850448471983e-07,False
8,f0^10*f2*f3,10,0,1,1,5.456336222845304e-07,5.721848440398754e-07,-2.6551221755344984e-08,False
9,f0^10*f3^2,10,0,0,2,2.1049215063223674e-07,3.41138525257712e-07,-1.3064637462547525e-07,False
10,f0^9*f1^3,9,3,0,0,-1.715161610339768e-08,-2.314601488413659e-08,5.9943987807389095e-09,False
11,f0^9*f1^2*f2,9,2,1,0,-8.38376220800263e-08,-1.0298170180995785e-07,1.9144079729931553e-08,False
12,f0^9*f1^2*f3,9,2,0,1,-9.472266592784104e-08,-9.496402891361005e-08,2.4136298576901456e-10,True
13,f0^9*f1*f2^2,9,1,2,0,-1.439256581434725e-07,-1.263696305574863e-07,-1.75560275859862e-08,False
14,f0^9*f1*f2*f3,9,1,1,1,8.318956043786201e-08,1.2478164326156336e-07,-4.159208282370136e-08,False
15,f0^9*f1*f3^2,9,1,0,2,-3.06612207765408e-08,-4.298885865067978e-08,1.2327637874138984e-08,False
16,f0^9*f2^3,9,0,3,0,-1.862407034899562e-07,-2.0126756202125703e-07,1.502685853130084e-08,False
17,f0^9*f2^2*f3,9,0,2,1,-2.262419847507799e-07,-1.9699263345009935e-07,-2.9249351300680552e-08,False
18,f0^9*f2*f3^2,9,0,1,2,1.0393780362927624e-07,9.920556688851274e-08,4.732236740763494e-09,True
