anchor_index,anchor_name,ratio_denominator_limit,floating_scale,rational_scale,rational_direction,maximum_coefficient_residual,coefficient_residual_l2,candidate_pass
0,N2^6,1000,1.9660756031689409e-07,706459/3593244323165,"[""1"", ""-219/839"", ""-748/597"", ""17/998"", ""0"", ""26/159"", ""0"", ""281/716""]",4.023024483405902e-11,1.928591860382394e-10,True
0,N2^6,10000,1.9660792180324554e-07,1897087/9649087293128,"[""1"", ""-432/1655"", ""-10368/8275"", ""133/7808"", ""0"", ""1249/7638"", ""0"", ""1759/4482""]",1.223640385379109e-12,5.07301853492715e-12,True
0,N2^6,100000,1.9660792407333373e-07,1868035/9501321011371,"[""1"", ""-432/1655"", ""-10368/8275"", ""1013/59470"", ""0"", ""3773/23073"", ""0"", ""15092/38455""]",1.743251827206237e-15,6.747114142202206e-15,True
0,N2^6,1000000,1.966079240776705e-07,858283/4365454770078,"[""1"", ""-432/1655"", ""-10368/8275"", ""8926/524017"", ""0"", ""3773/23073"", ""0"", ""15092/38455""]",1.5250828215313678e-16,8.911086602475641e-16,True
0,N2^6,10000000,1.966079240777437e-07,1249227/6353899548352,"[""1"", ""-432/1655"", ""-10368/8275"", ""46656/2739025"", ""0"", ""1632035/9980372"", ""0"", ""1341429/3418013""]",3.410789920356254e-17,1.5262218396467768e-16,True
1,N2^4*S4,1000,-5.13200238077034e-08,-292889/5707109589377,"[""-1655/432"", ""1"", ""24/5"", ""-37/567"", ""0"", ""-374/597"", ""0"", ""-1069/711""]",1.2556211882557689e-11,4.8098677793807816e-11,True
1,N2^4*S4,10000,-5.132001400809339e-08,-395037/7697523230171,"[""-1655/432"", ""1"", ""24/5"", ""-108/1655"", ""0"", ""-5184/8275"", ""0"", ""-4703/3128""]",3.366493570049938e-14,1.9221834018756127e-13,True
1,N2^4*S4,100000,-5.13200140190774e-08,-308043/6002395086749,"[""-1655/432"", ""1"", ""24/5"", ""-108/1655"", ""0"", ""-5184/8275"", ""0"", ""-62208/41375""]",1.7893571010747095e-19,6.625219030430457e-19,True
1,N2^4*S4,1000000,-5.13200140190774e-08,-308043/6002395086749,"[""-1655/432"", ""1"", ""24/5"", ""-108/1655"", ""0"", ""-5184/8275"", ""0"", ""-62208/41375""]",1.7893571010747095e-19,6.625219030430457e-19,True
1,N2^4*S4,10000000,-5.13200140190774e-08,-308043/6002395086749,"[""-1655/432"", ""1"", ""24/5"", ""-108/1655"", ""0"", ""-5184/8275"", ""0"", ""-62208/41375""]",1.7893571010747095e-19,6.625219030430457e-19,True
2,N2^3*S6,1000,-2.463362384235232e-07,-388979/1579057155737,"[""-597/748"", ""5/24"", ""1"", ""-9/662"", ""0"", ""-71/544"", ""0"", ""-187/597""]",2.7403602370428774e-11,1.5335859372777158e-10,True
2,N2^3*S6,10000,-2.463360618948764e-07,-2222034/9020335808357,"[""-6057/7589"", ""5/24"", ""1"", ""-9/662"", ""0"", ""-216/1655"", ""0"", ""-2592/8275""]",5.378114843930266e-13,1.7302628238968805e-12,True
2,N2^3*S6,100000,-2.463360672915715e-07,-1987552/8068457136029,"[""-8275/10368"", ""5/24"", ""1"", ""-9/662"", ""0"", ""-216/1655"", ""0"", ""-2592/8275""]",1.7893571010747095e-19,6.629204587126039e-19,True
2,N2^3*S6,1000000,-2.463360672915715e-07,-1987552/8068457136029,"[""-8275/10368"", ""5/24"", ""1"", ""-9/662"", ""0"", ""-216/1655"", ""0"", ""-2592/8275""]",1.7893571010747095e-19,6.629204587126039e-19,True
2,N2^3*S6,10000000,-2.463360672915715e-07,-1987552/8068457136029,"[""-8275/10368"", ""5/24"", ""1"", ""-9/662"", ""0"", ""-216/1655"", ""0"", ""-2592/8275""]",1.7893571010747095e-19,6.629204587126039e-19,True
3,N2^2*S4^2,1000,3.3489796808537323e-09,6833/2040322919564,"[""48257/822"", ""-1655/108"", ""-662/9"", ""1"", ""0"", ""48/5"", ""0"", ""576/25""]",6.300341637593585e-13,2.0269643498985268e-12,True
3,N2^2*S4^2,10000,3.348979766426928e-09,8927/2665587917100,"[""524017/8926"", ""-1655/108"", ""-662/9"", ""1"", ""0"", ""48/5"", ""0"", ""576/25""]",2.7629047951550434e-15,8.888746492747676e-15,True
3,N2^2*S4^2,100000,3.348979766803843e-09,1/298598400,"[""2739025/46656"", ""-1655/108"", ""-662/9"", ""1"", ""0"", ""48/5"", ""0"", ""576/25""]",1.7808867716021665e-19,6.627055973145448e-19,True
3,N2^2*S4^2,1000000,3.348979766803843e-09,1/298598400,"[""2739025/46656"", ""-1655/108"", ""-662/9"", ""1"", ""0"", ""48/5"", ""0"", ""576/25""]",1.7808867716021665e-19,6.627055973145448e-19,True
3,N2^2*S4^2,10000000,3.3489797668033367e-09,22245/6642321408001,"[""585567863/9974445"", ""-1655/108"", ""-662/9"", ""1"", ""0"", ""48/5"", ""0"", ""576/25""]",3.748544308073906e-18,1.1920526127376683e-17,True
