first_solve,second_solve,minimum_angle_degrees,maximum_angle_degrees,mean_angle_degrees
saved_048,scs_eps_1e8,0.0,2.561320938754782e-06,9.472824410583987e-07
saved_048,scs_eps_3e9,3.078324659199975e-06,6.0666009739241184e-05,1.8278122524434605e-05
saved_048,scs_eps_1e9,4.90455619685548e-06,9.634032669250618e-05,2.7138922962520135e-05
saved_048,scs_eps_3e10,5.663293681020318e-06,0.00010109559666323131,2.81943345066458e-05
scs_eps_1e8,scs_eps_3e9,3.078324659199975e-06,6.0666009739241184e-05,1.8278122524434605e-05
scs_eps_1e8,scs_eps_1e9,4.90455619685548e-06,9.634032669250618e-05,2.7138922962520135e-05
scs_eps_1e8,scs_eps_3e10,5.663293681020318e-06,0.00010109559666323131,2.81943345066458e-05
scs_eps_3e9,scs_eps_1e9,3.52019892386405e-06,3.658298033329154e-05,9.586172404679938e-06
scs_eps_3e9,scs_eps_3e10,3.4150945850063763e-06,4.142342211220004e-05,1.0748952015788647e-05
scs_eps_1e9,scs_eps_3e10,0.0,5.7905745997743736e-06,1.8806202887784808e-06
