comparison_type,source,minimum_angle_degrees,maximum_angle_degrees,mean_angle_degrees,projector_distance,annihilation_residual
subspace,stabilized_050,0.0,1.4002928947190923e-05,1.8516998330279865e-06,2.5048666339239826e-07,
subspace,saved_048,4.353408482428142e-06,5.5796573677183414e-05,1.5869615803850092e-05,9.73606241918943e-07,
subspace,chart_051_scs_eps_1e8,4.353408482428142e-06,5.5796573677183414e-05,1.5869615803850092e-05,9.73606241918943e-07,
subspace,chart_051_scs_eps_3e9,8.537736462515939e-07,1.3281600966983096e-05,5.033947425009911e-06,2.518470053854384e-07,
subspace,chart_051_scs_eps_1e9,4.094554566467037e-06,4.3567559711830945e-05,1.2352609719437262e-05,7.61625933118628e-07,
subspace,chart_051_scs_eps_3e10,4.517745487845102e-06,4.817583765627299e-05,1.3342430258408248e-05,8.426609880129587e-07,
gram_annihilation,saved_048,,,,,1.374193356644e-10
gram_annihilation,chart_051_scs_eps_1e8,,,,,1.374193356644e-10
gram_annihilation,chart_051_scs_eps_3e9,,,,,2.8288907599255343e-11
gram_annihilation,chart_051_scs_eps_1e9,,,,,1.0495886498754918e-10
gram_annihilation,chart_051_scs_eps_3e10,,,,,1.171913425823391e-10
