row,column,row_monomial,column_monomial,projector_entry,best_rational_entry
0,0,f0^5,f0^5,0.4236870615820939,0.42368706164110165
1,0,f0^4*f1,f0^5,0.020281682900578333,0.02028168282098589
1,1,f0^4*f1,f0^4*f1,0.3365092639580571,0.3365092641416805
2,0,f0^4*f2,f0^5,0.08107850078488953,0.08107850090011456
2,1,f0^4*f2,f0^4*f1,-0.08426127794986532,-0.08426127761014529
2,2,f0^4*f2,f0^4*f2,0.2880502606626311,0.2880502607972182
3,0,f0^4*f3,f0^5,-0.10922823301067962,-0.10922823294866388
3,1,f0^4*f3,f0^4*f1,-0.11605896423883626,-0.11605896410571895
3,2,f0^4*f3,f0^4*f2,-0.13447535170265995,-0.13447535173450756
3,3,f0^4*f3,f0^4*f3,0.30182211413900994,0.3018221140848878
4,0,f0^3*f1^2,f0^5,0.1893665600890126,0.18936656011481506
4,1,f0^3*f1^2,f0^4*f1,-0.026514454815038085,-0.02651445406002578
4,2,f0^3*f1^2,f0^4*f2,-0.012293972584957989,-0.012293972676895025
4,3,f0^3*f1^2,f0^4*f3,0.004023460730857038,0.004023460742923526
4,4,f0^3*f1^2,f0^3*f1^2,0.29350140022670784,0.2935013999727346
5,0,f0^3*f1*f2,f0^5,-0.03828361069296544,-0.0382836107906159
5,1,f0^3*f1*f2,f0^4*f1,0.03399273444856204,0.03399273437738499
5,2,f0^3*f1*f2,f0^4*f2,-0.0070247502547072325,-0.007024750338587013
5,3,f0^3*f1*f2,f0^4*f3,-0.04073846744186594,-0.04073846746338352
5,4,f0^3*f1*f2,f0^3*f1^2,-0.04504619401915406,-0.04504619395794366
5,5,f0^3*f1*f2,f0^3*f1*f2,0.05137499097635472,0.05137499096419757
6,0,f0^3*f1*f3,f0^5,-0.08352081389415868,-0.08352081382837499
6,1,f0^3*f1*f3,f0^4*f1,-0.027853298395303105,-0.027853298562947344
6,2,f0^3*f1*f3,f0^4*f2,-0.003672514626171122,-0.003672514619883041
6,3,f0^3*f1*f3,f0^4*f3,0.07208770730941902,0.07208770741618693
6,4,f0^3*f1*f3,f0^3*f1^2,-0.02297183409023237,-0.022971834022619025
6,5,f0^3*f1*f3,f0^3*f1*f2,-0.05999335410957571,-0.05999335421051041
6,6,f0^3*f1*f3,f0^3*f1*f3,0.11787711780773466,0.11787711789079273
7,0,f0^3*f2^2,f0^5,0.16454904996416644,0.1645490499136285
7,1,f0^3*f2^2,f0^4*f1,-0.018946119280717644,-0.018946121965660152
7,2,f0^3*f2^2,f0^4*f2,0.06276565018162124,0.06276565014649445
7,3,f0^3*f2^2,f0^4*f3,0.023107604107084154,0.02310760426601925
7,4,f0^3*f2^2,f0^3*f1^2,-0.043654213047279934,-0.04365421308549271
7,5,f0^3*f2^2,f0^3*f1*f2,-0.08049003261596135,-0.08049003277631508
7,6,f0^3*f2^2,f0^3*f1*f3,0.08033159697599358,0.08033159709485731
7,7,f0^3*f2^2,f0^3*f2^2,0.28145958939393073,0.2814595897357602
8,0,f0^3*f2*f3,f0^5,-0.1096424645105518,-0.10964246453436632
8,1,f0^3*f2*f3,f0^4*f1,-0.021028532892492322,-0.021028532666299234
8,2,f0^3*f2*f3,f0^4*f2,-0.0036633710871349714,-0.0036633713052642144
8,3,f0^3*f2*f3,f0^4*f3,0.004279497672006265,0.00427949759729412
8,4,f0^3*f2*f3,f0^3*f1^2,0.021035978347957285,0.021035978565960706
8,5,f0^3*f2*f3,f0^3*f1*f2,0.017629932033845174,0.017629931910406016
8,6,f0^3*f2*f3,f0^3*f1*f3,0.002005828582544438,0.0020058287022288296
8,7,f0^3*f2*f3,f0^3*f2^2,-0.11575026648868618,-0.11575026642609182
8,8,f0^3*f2*f3,f0^3*f2*f3,0.06446077138602177,0.06446077116962515
9,0,f0^3*f3^2,f0^5,0.18569682543231816,0.1856968254478788
9,1,f0^3*f3^2,f0^4*f1,0.06375080014033631,0.06375080008534244
9,2,f0^3*f3^2,f0^4*f2,-0.010694992650462995,-0.010694992633550992
9,3,f0^3*f3^2,f0^4*f3,-0.055282759170402485,-0.055282759275073534
9,4,f0^3*f3^2,f0^3*f1^2,0.009788662222493714,0.009788662175636568
9,5,f0^3*f3^2,f0^3*f1*f2,0.05909242411599904,0.05909242417027761
