row,face_column,numerator,denominator,exact_value,floating_value
0,0,-2402,10633,-2402/10633,-0.2259004984482272
0,1,-3537,30191,-3537/30191,-0.11715411877711901
0,2,29533,89016,29533/89016,0.33177181630268715
0,3,-3937,14112,-3937/14112,-0.2789824263038549
0,4,-3981,23050,-3981/23050,-0.1727114967462039
0,5,9189,15901,9189/15901,0.5778881831331363
0,6,-3526,60045,-3526/60045,-0.05872262469814306
0,7,16057,65322,16057/65322,0.24581304920241268
0,8,-21535,23138,-21535/23138,-0.9307200276601262
0,9,-3345,66929,-3345/66929,-0.049978335250788146
0,10,6768,68551,6768/68551,0.09872941313766392
0,11,-521,52324,-521/52324,-0.009957189817292256
0,12,1019,31668,1019/31668,0.03217759252242011
0,13,-6001,79754,-6001/79754,-0.07524387491536474
0,14,918,90683,918/90683,0.010123176339556478
0,15,-2081,98693,-2081/98693,-0.02108558864357148
0,16,-5776,75327,-5776/75327,-0.07667901283736243
0,17,10625,51397,10625/51397,0.20672412786738525
0,18,-766,45151,-766/45151,-0.016965294234900667
0,19,4987,59789,4987/59789,0.08340999180451253
0,20,-10213,31798,-10213/31798,-0.3211837222466822
0,21,-201,16399,-201/16399,-0.012256844929568876
0,22,3041,79466,3041/79466,0.038267938489416856
0,23,-3510,24977,-3510/24977,-0.14052928694398847
0,24,43633,79943,43633/79943,0.5458013834857336
0,25,1261,87836,1261/87836,0.01435630037797714
0,26,-6136,97949,-6136/97949,-0.06264484578709328
0,27,16137,69220,16137/69220,0.23312626408552442
0,28,-83456,87591,-83456/87591,-0.9527919535112055
0,29,-2153,39477,-2153/39477,-0.054538085467487396
0,30,27,93655,27/93655,0.00028829213603117823
0,31,-54,98113,-54/98113,-0.0005503857796622262
0,32,-24,21695,-24/21695,-0.0011062456787278175
0,33,-1420,52661,-1420/52661,-0.026964926606027232
0,34,-211,99733,-211/99733,-0.002115648782248604
0,35,230,81127,230/81127,0.002835061077076682
0,36,-29,19533,-29/19533,-0.001484666973839144
0,37,-571,41608,-571/41608,-0.013723322437992694
0,38,-11,16752,-11/16752,-0.0006566380133715377
0,39,120,72467,120/72467,0.001655926145693902
0,40,-77,94725,-77/94725,-0.0008128793877012404
0,41,-767,27680,-767/27680,-0.027709537572254334
0,42,2797,57457,2797/57457,0.04867988234679847
0,43,545,99961,545/99961,0.0054521263292684145
0,44,47,52688,47/52688,0.0008920437291223808
0,45,3573,29831,3573/29831,0.11977473098454627
1,0,1,1,1,1.0
1,1,0,1,0,0.0
1,2,0,1,0,0.0
1,3,0,1,0,0.0
1,4,0,1,0,0.0
1,5,0,1,0,0.0
1,6,0,1,0,0.0
1,7,0,1,0,0.0
1,8,0,1,0,0.0
1,9,0,1,0,0.0
1,10,0,1,0,0.0
1,11,0,1,0,0.0
1,12,0,1,0,0.0
1,13,0,1,0,0.0
1,14,0,1,0,0.0
1,15,0,1,0,0.0
1,16,0,1,0,0.0
1,17,0,1,0,0.0
1,18,0,1,0,0.0
1,19,0,1,0,0.0
1,20,0,1,0,0.0
1,21,0,1,0,0.0
1,22,0,1,0,0.0
1,23,0,1,0,0.0
1,24,0,1,0,0.0
1,25,0,1,0,0.0
1,26,0,1,0,0.0
1,27,0,1,0,0.0
1,28,0,1,0,0.0
1,29,0,1,0,0.0
1,30,0,1,0,0.0
1,31,0,1,0,0.0
1,32,0,1,0,0.0
1,33,0,1,0,0.0
1,34,0,1,0,0.0
1,35,0,1,0,0.0
1,36,0,1,0,0.0
1,37,0,1,0,0.0
1,38,0,1,0,0.0
1,39,0,1,0,0.0
1,40,0,1,0,0.0
1,41,0,1,0,0.0
1,42,0,1,0,0.0
1,43,0,1,0,0.0
1,44,0,1,0,0.0
1,45,0,1,0,0.0
2,0,0,1,0,0.0
2,1,1,1,1,1.0
2,2,0,1,0,0.0
2,3,0,1,0,0.0
2,4,0,1,0,0.0
2,5,0,1,0,0.0
2,6,0,1,0,0.0
2,7,0,1,0,0.0
2,8,0,1,0,0.0
2,9,0,1,0,0.0
2,10,0,1,0,0.0
2,11,0,1,0,0.0
2,12,0,1,0,0.0
2,13,0,1,0,0.0
2,14,0,1,0,0.0
2,15,0,1,0,0.0
2,16,0,1,0,0.0
2,17,0,1,0,0.0
2,18,0,1,0,0.0
2,19,0,1,0,0.0
2,20,0,1,0,0.0
2,21,0,1,0,0.0
2,22,0,1,0,0.0
2,23,0,1,0,0.0
2,24,0,1,0,0.0
2,25,0,1,0,0.0
2,26,0,1,0,0.0
2,27,0,1,0,0.0
2,28,0,1,0,0.0
2,29,0,1,0,0.0
2,30,0,1,0,0.0
2,31,0,1,0,0.0
2,32,0,1,0,0.0
2,33,0,1,0,0.0
2,34,0,1,0,0.0
2,35,0,1,0,0.0
2,36,0,1,0,0.0
2,37,0,1,0,0.0
2,38,0,1,0,0.0
2,39,0,1,0,0.0
2,40,0,1,0,0.0
2,41,0,1,0,0.0
2,42,0,1,0,0.0
2,43,0,1,0,0.0
2,44,0,1,0,0.0
2,45,0,1,0,0.0
3,0,0,1,0,0.0
3,1,0,1,0,0.0
3,2,1,1,1,1.0
3,3,0,1,0,0.0
3,4,0,1,0,0.0
3,5,0,1,0,0.0
3,6,0,1,0,0.0
3,7,0,1,0,0.0
3,8,0,1,0,0.0
3,9,0,1,0,0.0
3,10,0,1,0,0.0
3,11,0,1,0,0.0
3,12,0,1,0,0.0
3,13,0,1,0,0.0
3,14,0,1,0,0.0
3,15,0,1,0,0.0
3,16,0,1,0,0.0
3,17,0,1,0,0.0
3,18,0,1,0,0.0
3,19,0,1,0,0.0
3,20,0,1,0,0.0
3,21,0,1,0,0.0
3,22,0,1,0,0.0
3,23,0,1,0,0.0
3,24,0,1,0,0.0
3,25,0,1,0,0.0
3,26,0,1,0,0.0
3,27,0,1,0,0.0
3,28,0,1,0,0.0
3,29,0,1,0,0.0
3,30,0,1,0,0.0
3,31,0,1,0,0.0
3,32,0,1,0,0.0
3,33,0,1,0,0.0
3,34,0,1,0,0.0
3,35,0,1,0,0.0
3,36,0,1,0,0.0
3,37,0,1,0,0.0
3,38,0,1,0,0.0
3,39,0,1,0,0.0
3,40,0,1,0,0.0
3,41,0,1,0,0.0
3,42,0,1,0,0.0
3,43,0,1,0,0.0
3,44,0,1,0,0.0
3,45,0,1,0,0.0
4,0,0,1,0,0.0
4,1,0,1,0,0.0
4,2,0,1,0,0.0
4,3,1,1,1,1.0
4,4,0,1,0,0.0
4,5,0,1,0,0.0
4,6,0,1,0,0.0
4,7,0,1,0,0.0
4,8,0,1,0,0.0
4,9,0,1,0,0.0
4,10,0,1,0,0.0
4,11,0,1,0,0.0
4,12,0,1,0,0.0
4,13,0,1,0,0.0
4,14,0,1,0,0.0
4,15,0,1,0,0.0
4,16,0,1,0,0.0
4,17,0,1,0,0.0
4,18,0,1,0,0.0
4,19,0,1,0,0.0
4,20,0,1,0,0.0
4,21,0,1,0,0.0
4,22,0,1,0,0.0
4,23,0,1,0,0.0
4,24,0,1,0,0.0
4,25,0,1,0,0.0
4,26,0,1,0,0.0
4,27,0,1,0,0.0
4,28,0,1,0,0.0
4,29,0,1,0,0.0
4,30,0,1,0,0.0
4,31,0,1,0,0.0
4,32,0,1,0,0.0
4,33,0,1,0,0.0
4,34,0,1,0,0.0
4,35,0,1,0,0.0
4,36,0,1,0,0.0
4,37,0,1,0,0.0
4,38,0,1,0,0.0
4,39,0,1,0,0.0
4,40,0,1,0,0.0
4,41,0,1,0,0.0
4,42,0,1,0,0.0
4,43,0,1,0,0.0
4,44,0,1,0,0.0
4,45,0,1,0,0.0
5,0,0,1,0,0.0
5,1,0,1,0,0.0
5,2,0,1,0,0.0
5,3,0,1,0,0.0
5,4,1,1,1,1.0
5,5,0,1,0,0.0
5,6,0,1,0,0.0
5,7,0,1,0,0.0
5,8,0,1,0,0.0
5,9,0,1,0,0.0
5,10,0,1,0,0.0
5,11,0,1,0,0.0
5,12,0,1,0,0.0
5,13,0,1,0,0.0
5,14,0,1,0,0.0
5,15,0,1,0,0.0
5,16,0,1,0,0.0
5,17,0,1,0,0.0
5,18,0,1,0,0.0
5,19,0,1,0,0.0
5,20,0,1,0,0.0
5,21,0,1,0,0.0
5,22,0,1,0,0.0
5,23,0,1,0,0.0
5,24,0,1,0,0.0
5,25,0,1,0,0.0
5,26,0,1,0,0.0
5,27,0,1,0,0.0
5,28,0,1,0,0.0
5,29,0,1,0,0.0
5,30,0,1,0,0.0
5,31,0,1,0,0.0
5,32,0,1,0,0.0
5,33,0,1,0,0.0
5,34,0,1,0,0.0
5,35,0,1,0,0.0
5,36,0,1,0,0.0
5,37,0,1,0,0.0
5,38,0,1,0,0.0
5,39,0,1,0,0.0
5,40,0,1,0,0.0
5,41,0,1,0,0.0
5,42,0,1,0,0.0
5,43,0,1,0,0.0
5,44,0,1,0,0.0
5,45,0,1,0,0.0
