row,kernel_column,is_pivot_row,numerator,denominator,exact_value,floating_value
0,0,True,0,1,0,0.0
0,1,True,0,1,0,0.0
0,2,True,0,1,0,0.0
0,3,True,0,1,0,0.0
0,4,True,0,1,0,0.0
0,5,True,1,1,1,1.0
0,6,True,0,1,0,0.0
0,7,True,0,1,0,0.0
0,8,True,0,1,0,0.0
0,9,True,0,1,0,0.0
1,0,False,0,1,0,0.0
1,1,False,151,47986,151/47986,0.0031467511357479265
1,2,False,-601,41942,-601/41942,-0.014329311906919079
1,3,False,-17179,89265,-17179/89265,-0.1924494482719991
1,4,False,57058,71469,57058/71469,0.7983601281674573
1,5,False,2402,10633,2402/10633,0.2259004984482272
1,6,False,-32323,95612,-32323/95612,-0.3380642597163536
1,7,False,-2381,6184,-2381/6184,-0.38502587322121606
1,8,False,-11751,66370,-11751/66370,-0.17705288533976193
1,9,False,-1301,77038,-1301/77038,-0.016887769672109868
2,0,False,0,1,0,0.0
2,1,False,119,60831,119/60831,0.0019562394174023113
2,2,False,-134,58411,-134/58411,-0.0022940884422454674
2,3,False,-4399,93732,-4399/93732,-0.046931677548756025
2,4,False,-12412,88925,-12412/88925,-0.13957829631712118
2,5,False,3537,30191,3537/30191,0.11715411877711901
2,6,False,68924,78615,68924/78615,0.8767283597277873
2,7,False,-12485,50896,-12485/50896,-0.24530414963847846
2,8,False,750,50851,750/50851,0.014748972488249985
2,9,False,-349,45096,-349/45096,-0.007739045591626752
3,0,False,0,1,0,0.0
3,1,False,-291,41095,-291/41095,-0.007081153424990875
3,2,False,1247,87466,1247/87466,0.014256968422015412
3,3,False,8887,37808,8887/37808,0.23505607278882776
3,4,False,-5501,73956,-5501/73956,-0.07438206501162854
3,5,False,-29533,89016,-29533/89016,-0.33177181630268715
3,6,False,-24421,97511,-24421/97511,-0.250443539703213
3,7,False,84511,95433,84511/95433,0.8855532153447969
3,8,False,3841,14707,3841/14707,0.26116815122050724
3,9,False,1644,54037,1644/54037,0.030423598645372616
4,0,False,0,1,0,0.0
4,1,False,10,96119,10/96119,0.00010403770326366275
4,2,False,2357,67194,2357/67194,0.03507753668482305
4,3,False,54018,92611,54018/92611,0.5832784442452841
4,4,False,-8729,85446,-8729/85446,-0.10215808814924046
4,5,False,3937,14112,3937/14112,0.2789824263038549
4,6,False,-6131,87961,-6131/87961,-0.06970134491422335
4,7,False,-139,30570,-139/30570,-0.004546941445861956
4,8,False,-9630,55783,-9630/55783,-0.1726332395174157
4,9,False,-323,22465,-323/22465,-0.014377921210772313
5,0,False,0,1,0,0.0
5,1,False,-25,96852,-25/96852,-0.0002581258001899806
5,2,False,-1013,63858,-1013/63858,-0.015863321745121988
5,3,False,-17460,67177,-17460/67177,-0.2599103859952067
5,4,False,1437,20618,1437/20618,0.06969638180230867
5,5,False,3981,23050,3981/23050,0.1727114967462039
5,6,False,-5603,95382,-5603/95382,-0.058742739720282655
5,7,False,3142,99521,3142/99521,0.031571226173370444
5,8,False,-39147,98651,-39147/98651,-0.39682314421546666
5,9,False,-1591,34724,-1591/34724,-0.04581845409515033
6,0,False,0,1,0,0.0
6,1,False,27,23152,27/23152,0.0011662059433310296
6,2,False,1249,65167,1249/65167,0.019166142372673285
6,3,False,18619,58385,18619/58385,0.3189004025006423
6,4,False,-1822,53871,-1822/53871,-0.0338215366338104
6,5,False,-9189,15901,-9189/15901,-0.5778881831331363
6,6,False,10679,93071,10679/93071,0.11474035951048124
6,7,False,-10329,85037,-10329/85037,-0.1214647741571316
6,8,False,60558,97697,60558/97697,0.619855266794272
6,9,False,6167,89489,6167/89489,0.06891349774832661
7,0,False,0,1,0,0.0
7,1,False,-9,68965,-9/68965,-0.0001305009787573407
7,2,False,5,37989,5/37989,0.0001316170470399326
7,3,False,179,79852,179/79852,0.0022416470470370186
7,4,False,182,56631,182/56631,0.0032137875015450902
7,5,False,3526,60045,3526/60045,0.05872262469814306
7,6,False,14346,98921,14346/98921,0.14502481778388815
7,7,False,836,74995,836/74995,0.011147409827321821
