elementary_invariant,coefficient_id,f0_power,f1_power,f2_power,f3_power,target_coefficient,canonical_coefficient,residual,coefficient_pass
e1,0,2,0,0,0,0.4166666666666659,0.4166666666666667,-7.771561172376096e-16,True
e1,1,1,1,0,0,-1.6167622796103842e-15,0.0,-1.6167622796103842e-15,True
e1,2,1,0,1,0,5.551115123125783e-17,0.0,5.551115123125783e-17,True
e1,3,1,0,0,1,1.8388068845354155e-16,0.0,1.8388068845354155e-16,True
e1,4,0,2,0,0,0.41666666666666674,0.4166666666666667,5.551115123125783e-17,True
e1,5,0,1,1,0,-1.5439038936193583e-15,0.0,-1.5439038936193583e-15,True
e1,6,0,1,0,1,6.245004513516506e-17,0.0,6.245004513516506e-17,True
e1,7,0,0,2,0,0.41666666666666685,0.4166666666666667,1.6653345369377348e-16,True
e1,8,0,0,1,1,-4.163336342344337e-17,0.0,-4.163336342344337e-17,True
e1,9,0,0,0,2,0.4166666666666673,0.4166666666666667,6.106226635438361e-16,True
e2,0,4,0,0,0,0.06972372019824191,0.06972372019824218,-2.636779683484747e-16,True
e2,1,3,1,0,0,-0.0007273048253075378,-0.0007273048253068857,-6.521476067500309e-16,True
e2,2,3,0,1,0,-0.002926982807341123,-0.002926982807341138,1.474514954580286e-17,True
e2,3,3,0,0,1,0.00041125694959390485,0.0004112569495937982,1.0663128366394936e-16,True
e2,4,2,2,0,0,0.12635598651499907,0.1263559865149993,-2.220446049250313e-16,True
e2,5,2,1,1,0,0.014837292181295774,0.014837292181296376,-6.019490461639521e-16,True
e2,6,2,1,0,1,0.01481660140037708,0.014816601400377025,5.377642775528102e-17,True
e2,7,2,0,2,0,0.13600545232322087,0.136005452323221,-1.3877787807814457e-16,True
e2,8,2,0,1,1,0.02580961035465629,0.025809610354656263,2.7755575615628914e-17,True
e2,9,2,0,0,2,0.13526846219454874,0.13526846219454877,-2.7755575615628914e-17,True
e2,10,1,3,0,0,0.00037468648574414255,0.0003746864857448002,-6.576228277210827e-16,True
e2,11,1,2,1,0,0.001509834366991137,0.0015098343669910867,5.0306980803327406e-17,True
e2,12,1,2,0,1,-0.0014590734964993013,-0.001459073496499431,1.2967057982926633e-16,True
e2,13,1,1,2,0,0.0007281505291620749,0.000728150529162629,-5.540273101400928e-16,True
e2,14,1,1,1,1,0.0067935148816584655,0.0067935148816584265,3.903127820947816e-17,True
e2,15,1,1,0,2,0.00032970448952304385,0.00032970448952365734,-6.134957993009227e-16,True
e2,16,1,0,3,0,2.949029909160572e-17,1.579420273253921e-17,1.369609635906651e-17,True
e2,17,1,0,2,1,-0.00041173515567166294,-0.0004117351556717247,6.174531372304948e-17,True
e2,18,1,0,1,2,0.007271114055032319,0.007271114055032328,-8.673617379884035e-18,True
e2,19,1,0,0,3,0.00021234593446331973,0.0002123459344632301,8.963641461023908e-17,True
e2,20,0,4,0,0,0.06654275987127146,0.06654275987127142,4.163336342344337e-17,True
e2,21,0,3,1,0,-0.0012222220948403405,-0.0012222220948397862,-5.542441505745899e-16,True
e2,22,0,3,0,1,-0.00765087879409088,-0.007650878794090903,2.3418766925686896e-17,True
e2,23,0,2,2,0,0.14914270405099855,0.14914270405099847,8.326672684688674e-17,True
e2,24,0,2,1,1,-0.006410530655873752,-0.006410530655873686,-6.591949208711867e-17,True
e2,25,0,2,0,2,0.1412169724285961,0.14121697242859585,2.498001805406602e-16,True
e2,26,0,1,3,0,-4.349819116011844e-16,1.2130924654249587e-16,-5.562911581436802e-16,True
e2,27,0,1,2,1,-0.014868407734008306,-0.014868407734008347,4.163336342344337e-17,True
e2,28,0,1,1,2,-0.011170625896777931,-0.011170625896777411,-5.204170427930421e-16,True
e2,29,0,1,0,3,0.007668147571967994,0.007668147571968036,-4.163336342344337e-17,True
e2,30,0,0,4,0,0.06510416666666673,0.06510416666666664,8.326672684688674e-17,True
e2,31,0,0,3,1,-1.0299920638612292e-16,-7.666283948982926e-17,-2.6336366896293662e-17,True
e2,32,0,0,2,2,0.14019906584800298,0.14019906584800268,3.0531133177191805e-16,True
e2,33,0,0,1,3,-0.0064663598995941055,-0.006466359899594127,2.168404344971009e-17,True
e2,34,0,0,0,4,0.0665479536251794,0.06654795362517914,2.636779683484747e-16,True
e3,0,6,0,0,0,0.006003246517737198,0.006003246517737232,-3.382710778154774e-17,True
e3,1,5,1,0,0,-0.00018890498673987188,-0.00018890498673977002,-1.0186079410501314e-16,True
e3,2,5,0,1,0,-0.0008538213576184616,-0.0008538213576184646,3.0357660829594124e-18,True
e3,3,5,0,0,1,0.0002069180335591823,0.00020691803355916147,2.0816681711721685e-17,True
e3,4,4,2,0,0,0.013734944823199821,0.013734944823199879,-5.724587470723463e-17,True
e3,5,4,1,1,0,0.004319616772078764,0.004319616772078862,-9.80118763926896e-17,True
e3,6,4,1,0,1,0.004370020774240804,0.0043700207742408,4.336808689942018e-18,True
e3,7,4,0,2,0,0.01653838336257676,0.01653838336257681,-4.85722573273506e-17,True
e3,8,4,0,1,1,0.00753366443209415,0.007533664432094151,-8.673617379884035e-19,True
e3,9,4,0,0,2,0.01637585345818032,0.01637585345818035,-3.122502256758253e-17,True
e3,10,3,3,0,0,-0.0001386212462892896,-0.00013862124628909105,-1.98544522836408e-16,True
e3,11,3,2,1,0,-0.000523987023422862,-0.0005239870234228626,5.421010862427522e-19,True
