elementary_invariant,basis_index,basis_name,floating_coefficient,candidate_coefficient,candidate_rational,common_scale
e1,0,N2,0.4166666666666666,0.4166666666666667,5/12,5/12
e2,0,N2^2,0.07841435185185187,0.07841435185185185,271/3456,-1/120
e2,1,S4,-0.008333333333333354,-0.008333333333333333,-1/120,-1/120
e3,0,N2^3,0.00818088777434843,0.008180887774348429,44436804164/5431782636517,44436804164/5431782636517
e3,1,N2*S4,-0.0018518518518518526,-0.0018518518518518532,-1/540,44436804164/5431782636517
e3,2,S6,-0.000555555555555556,-0.000555555555555556,-1/1800,44436804164/5431782636517
e4,0,N2^4,0.0004912046302547729,0.0004912046302547726,4695367679/9558883181872,-47/276480
e4,1,N2^2*S4,-0.0001699942129629619,-0.00016999421296296296,-47/276480,-47/276480
e4,2,N2*S6,-0.00011574074074074233,-0.00011574074074074075,-1/8640,-47/276480
e4,3,S4^2,1.7361111111111223e-05,1.736111111111111e-05,1/57600,-47/276480
e4,4,S8,2.3153749596693463e-19,-0.0,0,-47/276480
e5,0,N2^5,1.552430424077087e-05,1.5524304240770908e-05,84703541/5456189191239,1/2073600
e5,1,N2^3*S4,-5.721173768289833e-06,-5.721173768289895e-06,-205/35831808,1/2073600
e5,2,N2^2*S6,-9.725437242798406e-06,-9.725437242798355e-06,-121/12441600,1/2073600
e5,3,N2*S4^2,4.822530864197557e-07,4.822530864197531e-07,1/2073600,1/2073600
e5,4,N2*S8,-9.62839223641902e-21,0.0,0,1/2073600
e5,5,S4*S6,2.314814814814811e-06,2.3148148148148148e-06,1/432000,1/2073600
e5,6,S10,4.0927192815002295e-21,0.0,0,1/2073600
