elementary_invariant,basis_index,basis_name,floating_coefficient,normalized_coefficient,normalized_rational,coefficient_difference
e1,0,N2,0.4166666666666666,0.4166666666666667,5/12,1.1102230246251565e-16
e2,0,N2^2,0.07841435185185187,0.07841435185185185,271/3456,2.7755575615628914e-17
e2,1,S4,-0.008333333333333354,-0.008333333333333333,-1/120,2.0816681711721685e-17
e3,0,N2^3,0.00818088777434843,0.008180887774348429,44436804164/5431782636517,1.734723475976807e-18
e3,1,N2*S4,-0.0018518518518518526,-0.0018518518518518532,-1/540,6.505213034913027e-19
e3,2,S6,-0.000555555555555556,-0.000555555555555556,-1/1800,0.0
e4,0,N2^4,0.0004912046302547729,0.0004912046302547725,3469394162/7063032284937,4.336808689942018e-19
e4,1,N2^2*S4,-0.0001699942129629619,-0.00016999421296296296,-47/276480,1.0570971181733668e-18
e4,2,N2*S6,-0.00011574074074074233,-0.00011574074074074075,-1/8640,1.5856456772600502e-18
e4,3,S4^2,1.7361111111111223e-05,1.736111111111111e-05,1/57600,1.1180834903756764e-19
e4,4,S8,2.3153749596693463e-19,-0.0,0,2.3153749596693463e-19
e5,0,N2^5,1.552430424077087e-05,1.5524304240770908e-05,84703541/5456189191239,3.7269449679189215e-20
e5,1,N2^3*S4,-5.721173768289833e-06,-5.721173768289895e-06,-205/35831808,6.183340514956392e-20
e5,2,N2^2*S6,-9.725437242798406e-06,-9.725437242798355e-06,-121/12441600,5.082197683525802e-20
e5,3,N2*S4^2,4.822530864197557e-07,4.822530864197531e-07,1/2073600,2.6469779601696886e-21
e5,4,N2*S8,-9.62839223641902e-21,0.0,0,9.62839223641902e-21
e5,5,S4*S6,2.314814814814811e-06,2.3148148148148148e-06,1/432000,3.8116482626443515e-21
e5,6,S10,4.0927192815002295e-21,0.0,0,4.0927192815002295e-21
