coefficient_id,monomial,target_exact,candidate_exact,exact_match,target_float,candidate_float
0,f0^8,55355403/196663735792,55355403/196663735792,True,0.00028147234556017103,0.00028147234556017103
1,f0^7*f1,-10082101/580771871382,-10082101/580771871382,True,-1.7359830075807072e-05,-1.7359830075807072e-05
2,f0^7*f2,-456844/5112357055,-456844/5112357055,True,-8.936073812630053e-05,-8.936073812630053e-05
3,f0^7*f3,28507002/929458002589,28507002/929458002589,True,3.067056491051119e-05,3.067056491051119e-05
4,f0^6*f1^2,276064232/437256639629,276064232/437256639629,True,0.0006313551515975441,0.0006313551515975441
5,f0^6*f1*f2,67389065/149001639863,67389065/149001639863,True,0.0004522706264304277,0.0004522706264304277
6,f0^6*f1*f3,423656993/916642919892,423656993/916642919892,True,0.00046218323821223186,0.00046218323821223186
7,f0^6*f2^2,910878769/984103650173,910878769/984103650173,True,0.0009255923081271699,0.0009255923081271699
8,f0^6*f2*f3,280476035/355767275742,280476035/355767275742,True,0.0007883694036081028,0.0007883694036081028
9,f0^6*f3^2,581117702/637245894191,581117702/637245894191,True,0.0009119206687674996,0.0009119206687674996
10,f0^5*f1^3,-30593936/992841373809,-30593936/992841373809,True,-3.0814525670528286e-05,-3.0814525670528286e-05
11,f0^5*f1^2*f2,-33060049/232975980830,-33060049/232975980830,True,-0.00014190325063648322,-0.00014190325063648322
12,f0^5*f1^2*f3,-42815194/883130291893,-42815194/883130291893,True,-4.8481174740620816e-05,-4.8481174740620816e-05
13,f0^5*f1*f2^2,-175573/8376246609,-175573/8376246609,True,-2.096082030480724e-05,-2.096082030480724e-05
14,f0^5*f1*f2*f3,80827792/357291455903,80827792/357291455903,True,0.0002262236912319104,0.0002262236912319104
15,f0^5*f1*f3^2,-10288101/110570103035,-10288101/110570103035,True,-9.304595652536736e-05,-9.304595652536736e-05
16,f0^5*f2^3,-116114708/600320432971,-116114708/600320432971,True,-0.00019342121577529115,-0.00019342121577529115
17,f0^5*f2^2*f3,-14446021/832922238061,-14446021/832922238061,True,-1.7343781135715132e-05,-1.7343781135715132e-05
