row,column,row_monomial,column_monomial,numerator,denominator,exact_value,floating_value
0,0,f0^4,f0^4,55355403,196663735792,55355403/196663735792,0.00028147234556017103
1,0,f0^3*f1,f0^4,-10082101,1161543742764,-10082101/1161543742764,-8.679915037903536e-06
1,1,f0^3*f1,f0^3*f1,54803,91471067,54803/91471067,0.0005991293399911909
2,0,f0^3*f2,f0^4,-228422,5112357055,-228422/5112357055,-4.4680369063150265e-05
2,1,f0^3*f2,f0^3*f1,3139697165893523,14166822615386272900,3139697165893523/14166822615386272900,0.0002216232426375952
2,2,f0^3*f2,f0^3*f2,14875,16545443,14875/16545443,0.0008990390888899137
3,0,f0^3*f3,f0^4,14253501,929458002589,14253501/929458002589,1.5335282455255594e-05
3,1,f0^3*f3,f0^3*f1,2798989999386247,11858174965898775192,2798989999386247/11858174965898775192,0.00023603885146200498
3,2,f0^3*f3,f0^3*f2,4936088247273989,12646822944956682324,4936088247273989/12646822944956682324,0.0003903026292656694
3,3,f0^3*f3,f0^3*f3,59354,67486541,59354/67486541,0.000879493883084036
4,0,f0^2*f1^2,f0^4,34835519999661,2161963858362114278,34835519999661/2161963858362114278,1.6112905803176607e-05
4,1,f0^2*f1^2,f0^3*f1,-84581568779177,5196161420683875243,-84581568779177/5196161420683875243,-1.6277702313575372e-05
4,2,f0^2*f1^2,f0^3*f2,-2257,96137535,-2257/96137535,-2.3476782507477438e-05
4,3,f0^2*f1^2,f0^3*f3,-30486099421991405556337,2045305583248907502635945916,-30486099421991405556337/2045305583248907502635945916,-1.49054007732014e-05
4,4,f0^2*f1^2,f0^2*f1^2,16219,29807392,16219/29807392,0.0005441267723120493
5,0,f0^2*f1*f2,f0^4,429,95078300,429/95078300,4.5120705776186575e-06
5,1,f0^2*f1*f2,f0^3*f1,-1433838045814463507824,49745594528974332359245095,-1433838045814463507824/49745594528974332359245095,-2.8823417619007936e-05
5,2,f0^2*f1*f2,f0^3*f2,1039,46461481,1039/46461481,2.2362610438526486e-05
5,3,f0^2*f1*f2,f0^3*f3,1442,35340943,1442/35340943,4.080253319782667e-05
5,4,f0^2*f1*f2,f0^2*f1^2,12351,56749666,12351/56749666,0.00021764004743217343
5,5,f0^2*f1*f2,f0^2*f1*f2,61526,50926819,61526/50926819,0.001208125722519602
6,0,f0^2*f1*f3,f0^4,-32,6468263,-32/6468263,-4.947232355889054e-06
6,1,f0^2*f1*f3,f0^3*f1,-893,73764147,-893/73764147,-1.2106152328989855e-05
6,2,f0^2*f1*f3,f0^3*f2,20387092364431224368881866219,478126574461358799925666498819940,20387092364431224368881866219/478126574461358799925666498819940,4.2639529893101284e-05
6,3,f0^2*f1*f3,f0^3*f3,-7677863852201365107577,139602676691196520375046340,-7677863852201365107577/139602676691196520375046340,-5.4997970197841766e-05
6,4,f0^2*f1*f3,f0^2*f1^2,66881995596585725231552024789,298918963392506609514477277094910,66881995596585725231552024789/298918963392506609514477277094910,0.00022374624492713715
6,5,f0^2*f1*f3,f0^2*f1*f2,152687883907111556278854068623988426473545489569,240493235913077995180184170673190106956072112293167,152687883907111556278854068623988426473545489569/240493235913077995180184170673190106956072112293167,0.0006348947126408905
6,6,f0^2*f1*f3,f0^2*f1*f3,58663,50170392,58663/50170392,0.0011692752968723067
7,0,f0^2*f2^2,f0^4,216175478038146,16282430850029311639,216175478038146/16282430850029311639,1.3276609618628096e-05
7,1,f0^2*f2^2,f0^3*f1,-116222989679517966907,3756342006855726944123622,-116222989679517966907/3756342006855726944123622,-3.0940470667313716e-05
7,2,f0^2*f2^2,f0^3*f2,-5123767591486150,55761319913552699117,-5123767591486150/55761319913552699117,-9.188748758870083e-05
7,3,f0^2*f2^2,f0^3*f3,-2929331741396269416397,43668088206055565759428152,-2929331741396269416397/43668088206055565759428152,-6.708174920719455e-05
7,4,f0^2*f2^2,f0^2*f1^2,3110,66489851,3110/66489851,4.67740557878525e-05
7,5,f0^2*f2^2,f0^2*f1*f2,2698976913926045085666972821011,10349265481472774031421489423039200,2698976913926045085666972821011/10349265481472774031421489423039200,0.00026078922400413305
7,6,f0^2*f2^2,f0^2*f1*f3,3142,94862979,3142/94862979,3.312145615836079e-05
7,7,f0^2*f2^2,f0^2*f2^2,27007,26878464,27007/26878464,0.0010047821185020097
8,0,f0^2*f2*f3,f0^4,69,17774011,69/17774011,3.882072538382023e-06
8,1,f0^2*f2*f3,f0^3*f1,684,80273975,684/80273975,8.520818858166673e-06
8,2,f0^2*f2*f3,f0^3*f2,4079,61451544,4079/61451544,6.637750224795002e-05
8,3,f0^2*f2*f3,f0^3*f3,72343400588082295393593,1266287141709804595391474365,72343400588082295393593/1266287141709804595391474365,5.7130328663371404e-05
8,4,f0^2*f2*f3,f0^2*f1^2,-548,17074237,-548/17074237,-3.209513842404788e-05
8,5,f0^2*f2*f3,f0^2*f1*f2,41381,62142417,41381/62142417,0.0006659058658757995
8,6,f0^2*f2*f3,f0^2*f1*f3,28181,45410644,28181/45410644,0.0006205813773528515
8,7,f0^2*f2*f3,f0^2*f2^2,14460450396536805931670828704153,27654624996858103107718522123052454,14460450396536805931670828704153/27654624996858103107718522123052454,0.000522894466953708
8,8,f0^2*f2*f3,f0^2*f2*f3,34838,19964121,34838/19964121,0.00174503049746092
9,0,f0^2*f3^2,f0^4,697265409018084,43005521165402583331,697265409018084/43005521165402583331,1.6213392841731806e-05
9,1,f0^2*f3^2,f0^3*f1,2071,98667044,2071/98667044,2.0989784593121082e-05
9,2,f0^2*f3^2,f0^3*f2,-2685,70323506,-2685/70323506,-3.8180690251706165e-05
9,3,f0^2*f3^2,f0^3*f3,164014273742178,24577767196454769275,164014273742178/24577767196454769275,6.6732780252648955e-06
9,4,f0^2*f3^2,f0^2*f1^2,4582,62883737,4582/62883737,7.286462635005296e-05
9,5,f0^2*f3^2,f0^2*f1*f2,7755,76230602,7755/76230602,0.00010173079834788658
9,6,f0^2*f3^2,f0^2*f1*f3,15339,88796617,15339/88796617,0.00017274306745267108
9,7,f0^2*f3^2,f0^2*f2^2,4036931458629894203715842971529996051,17543491931017875148771948806257144911140,4036931458629894203715842971529996051/17543491931017875148771948806257144911140,0.00023010991623009634
9,8,f0^2*f3^2,f0^2*f2*f3,93736380404374285659718203109,194148326459360578278224528020380,93736380404374285659718203109/194148326459360578278224528020380,0.00048280807830705316
9,9,f0^2*f3^2,f0^2*f3^2,62610,63574741,62610/63574741,0.00098482508957449
10,0,f0*f1^3,f0^4,41,47102643,41/47102643,8.704394783112277e-07
10,1,f0*f1^3,f0^3*f1,61858575310394790940827,1218346067237012546538811840,61858575310394790940827/1218346067237012546538811840,5.077258175969558e-05
10,2,f0*f1^3,f0^3*f2,-1339,26541116,-1339/26541116,-5.0450026291283305e-05
10,3,f0*f1^3,f0^3*f3,-254,6741135,-254/6741135,-3.767911486715516e-05
10,4,f0*f1^3,f0^2*f1^2,175,24887192,175/24887192,7.031729413266069e-06
10,5,f0*f1^3,f0^2*f1*f2,1181183508213571591209248441171,67079564608862995424442777427373880,1181183508213571591209248441171/67079564608862995424442777427373880,1.760869372216387e-05
10,6,f0*f1^3,f0^2*f1*f3,313,98141550,313/98141550,3.189271007030152e-06
