elementary_invariant,row,column,row_monomial,column_monomial,numerator,denominator,exact_value,floating_value
e2,0,0,f0^2,f0^2,680785025,9764037591,680785025/9764037591,0.06972372019824191
e2,1,0,f0*f1,f0^2,-1901449,5228753980,-1901449/5228753980,-0.00036365241265376956
e2,1,1,f0*f1,f0*f1,16057,107221,16057/107221,0.14975611120955784
e2,2,0,f0*f2,f0^2,-12617237,8621326349,-12617237/8621326349,-0.0014634914036705607
e2,2,1,f0*f2,f0*f1,192648325513919,7137780062076060,192648325513919/7137780062076060,0.02698994979370186
e2,2,2,f0*f2,f0*f2,1662875,7355513,1662875/7355513,0.2260719272741412
e2,3,0,f0*f3,f0^2,1328261,6459518806,1328261/6459518806,0.0002056284747969507
e2,3,1,f0*f3,f0*f1,1780579475118927,61142545853946776,1780579475118927/61142545853946776,0.029121775193533095
e2,3,2,f0*f3,f0*f2,-60531,4026937,-60531/4026937,-0.015031523959773892
e2,3,3,f0*f3,f0*f3,405863,2347174,405863/2347174,0.17291559978084284
e2,4,0,f1^2,f0^2,-5975933935432,510760862468531,-5975933935432/510760862468531,-0.011700062347279378
e2,4,1,f1^2,f0*f1,3559313,18998886458,3559313/18998886458,0.00018734324287207128
e2,4,2,f1^2,f0*f2,-60880,4420919,-60880/4420919,-0.01377089243209387
e2,4,3,f1^2,f0*f3,-524317078766777,40452934568195130,-524317078766777/40452934568195130,-0.012961163000001615
e2,4,4,f1^2,f1^2,298087589,4479639702,298087589/4479639702,0.06654275987127145
e2,5,0,f1*f2,f0^2,-191889,9804610,-191889/9804610,-0.01957130370305397
e2,5,1,f1*f2,f0*f1,66439493795481,4573892647207532,66439493795481/4573892647207532,0.01452580961558944
e2,5,2,f1*f2,f0*f2,-33971,4295054,-33971/4295054,-0.007909330127164873
e2,5,3,f1*f2,f0*f3,192022728730565923882,34166819738492462390341,192022728730565923882/34166819738492462390341,0.005620152247129762
e2,5,4,f1*f2,f1^2,-2448843,4007198054,-2448843/4007198054,-0.0006111110474201683
e2,5,5,f1*f2,f1*f2,1547741,9407106,1547741/9407106,0.1645289210092881
e2,6,0,f1*f3,f0^2,-159589,7349768,-159589/7349768,-0.021713474493344553
e2,6,1,f1*f3,f0*f1,111698,9131901,111698/9131901,0.012231626251751962
e2,6,2,f1*f3,f0*f2,-657,2091274,-657/2091274,-0.0003141625631074646
e2,6,3,f1*f3,f0*f3,25544763700591,2541353789304235,25544763700591/2541353789304235,0.010051636182298167
e2,6,4,f1*f3,f1^2,-74063627,19360815664,-74063627/19360815664,-0.0038254393970454364
e2,6,5,f1*f3,f1*f2,-1153004371047,334715734369660,-1153004371047/334715734369660,-0.0034447271300775545
e2,6,6,f1*f3,f1*f3,416923,2420536,416923/2420536,0.1722440814761689
e2,7,0,f2^2,f0^2,-4821844711877315,107073019444912664,-4821844711877315/107073019444912664,-0.045033237475460154
e2,7,1,f2^2,f0*f1,332788209077893,40223848986041968,332788209077893/40223848986041968,0.008273405391745913
e2,7,2,f2^2,f0*f2,0,1,0,0.0
e2,7,3,f2^2,f0*f3,-1192692079660441,146427213353777304,-1192692079660441/146427213353777304,-0.008145289747328746
e2,7,4,f2^2,f1^2,-1298890358515787,168838170167098116,-1298890358515787/168838170167098116,-0.007693108479144752
e2,7,5,f2^2,f1*f2,0,1,0,0.0
e2,7,6,f2^2,f1*f3,31452,2585507,31452/2585507,0.01216473210089936
e2,7,7,f2^2,f2^2,25,384,25/384,0.06510416666666667
e2,8,0,f2*f3,f0^2,607756961533849,21755075928236087,607756961533849/21755075928236087,0.02793632913710204
e2,8,1,f2*f3,f0*f1,-16833,8816633,-16833/8816633,-0.0019092322431930647
e2,8,2,f2*f3,f0*f2,72628,9147769,72628/9147769,0.00793942216949291
e2,8,3,f2*f3,f0*f3,-122690,8726359,-122690/8726359,-0.014059701188090015
e2,8,4,f2*f3,f1^2,2167,9049460,2167/9049460,0.00023946180214068022
e2,8,5,f2*f3,f1*f2,-331313601865961,16904672907169129,-331313601865961/16904672907169129,-0.01959893596790351
e2,8,6,f2*f3,f1*f3,18697,3685890,18697/3685890,0.0050725876246985125
e2,8,7,f2*f3,f2^2,0,1,0,0.0
e2,8,8,f2*f3,f2*f3,922487,7797536,922487/7797536,0.11830493632860432
e2,9,0,f3^2,f0^2,-788078210539361,41866567344353524,-788078210539361/41866567344353524,-0.01882356879314702
e2,9,1,f3^2,f0*f1,-80179,8109715,-80179/8109715,-0.009886783937536645
e2,9,2,f3^2,f0*f2,756024252173295,42724680417860536,756024252173295/42724680417860536,0.017695258215606177
e2,9,3,f3^2,f0*f3,576941,5433972649,576941/5433972649,0.00010617296723165748
e2,9,4,f3^2,f1^2,-261785559677941,16874634325521872,-261785559677941/16874634325521872,-0.015513554523786393
e2,9,5,f3^2,f1*f2,-18883572668231,1771791033209145,-18883572668231/1771791033209145,-0.010657900573087476
e2,9,6,f3^2,f1*f3,64481893,16818114778,64481893/16818114778,0.003834073785984005
e2,9,7,f3^2,f2^2,1533407459317837,140074759122915136,1533407459317837/140074759122915136,0.010947064759699334
e2,9,8,f3^2,f2*f3,-25159699,7781719357,-25159699/7781719357,-0.003233179949797051
e2,9,9,f3^2,f3^2,467056041,7018338139,467056041/7018338139,0.06654795362517942
e3,0,0,f0^3,f0^3,12063525,2009500187,12063525/2009500187,0.006003246517737199
e3,1,0,f0^2*f1,f0^3,-1634633,17306403904,-1634633/17306403904,-9.445249336993632e-05
e3,1,1,f0^2*f1,f0^2*f1,126340,7016751,126340/7016751,0.018005484304630448
e3,2,0,f0^2*f2,f0^3,-3682444,8625795003,-3682444/8625795003,-0.0004269106788092307
e3,2,1,f0^2*f2,f0^2*f1,2822,5754667,2822/5754667,0.0004903845869795768
e3,2,2,f0^2*f2,f0^2*f2,201274,9708389,201274/9708389,0.020731966961768836
e3,3,0,f0^2*f3,f0^3,78511,758860875,78511/758860875,0.00010345901677959086
e3,3,1,f0^2*f3,f0^2*f1,12280938292351,4700411514610520,12280938292351/4700411514610520,0.0026127368325470136
e3,3,2,f0^2*f3,f0^2*f2,262803575433223,94017854470114264,262803575433223/94017854470114264,0.002795251783976427
e3,3,3,f0^2*f3,f0^2*f3,40018,4272993,40018/4272993,0.009365332449643611
e3,4,0,f0*f1^2,f0^3,-176709725013499,82757565306152604,-176709725013499/82757565306152604,-0.0021352697407153124
e3,4,1,f0*f1^2,f0^2*f1,4960,2636291,4960/2636291,0.0018814311470167747
e3,4,2,f0*f1^2,f0^2*f2,-135322001921404262633,237985596310695959914100,-135322001921404262633/237985596310695959914100,-0.0005686142523715516
e3,4,3,f0*f1^2,f0^2*f3,-294774080243687293457,218269897804805762455500,-294774080243687293457/218269897804805762455500,-0.0013505026721884372
e3,4,4,f0*f1^2,f0*f1^2,160484,7229313,160484/7229313,0.02219906649497677
e3,5,0,f0*f1*f2,f0^3,96012872473028,57512581602766797,96012872473028/57512581602766797,0.001669423799059805
e3,5,1,f0*f1*f2,f0^2*f1,-1597,6585596,-1597/6585596,-0.00024249893251878797
e3,5,2,f0*f1*f2,f0^2*f2,137899638391629444635,87393850816832398677324,137899638391629444635/87393850816832398677324,0.0015779100829491019
e3,5,3,f0*f1*f2,f0^2*f3,10639,5355003,10639/5355003,0.0019867402501922036
e3,5,4,f0*f1*f2,f0*f1^2,5425,8701068,5425/8701068,0.0006234866800259463
e3,5,5,f0*f1*f2,f0*f1*f2,389749,7478790,389749/7478790,0.05211391147498459
e3,6,0,f0*f1*f3,f0^3,-3029,7081629,-3029/7081629,-0.00042772644542661016
e3,6,1,f0*f1*f3,f0^2*f1,5416,9850289,5416/9850289,0.0005498315836215567
e3,6,2,f0*f1*f3,f0^2*f2,32399787395463549488858001883,4918895508229103946266949554376,32399787395463549488858001883/4918895508229103946266949554376,0.006586801313681105
e3,6,3,f0*f1*f3,f0^2*f3,-17596,8255173,-17596/8255173,-0.0021315119622568783
e3,6,4,f0*f1*f3,f0*f1^2,-28529,9732529,-28529/9732529,-0.0029313038779540243
e3,6,5,f0*f1*f3,f0*f1*f2,7380654802547549278115234923396039,1256894133146945303090309113813614000,7380654802547549278115234923396039/1256894133146945303090309113813614000,0.005872137205436909
e3,6,6,f0*f1*f3,f0*f1*f3,129719,2833783,129719/2833783,0.045775911564152935
e3,7,0,f0*f2^2,f0^3,-193698805471195,92378654622987649,-193698805471195/92378654622987649,-0.0020967917995960367
e3,7,1,f0*f2^2,f0^2*f1,-4546,2905971,-4546/2905971,-0.0015643652328257921
e3,7,2,f0*f2^2,f0^2*f2,-11200581678053,11587330278981600,-11200581678053/11587330278981600,-0.0009666231485927239
e3,7,3,f0*f2^2,f0^2*f3,433,7639359,433/7639359,5.668014816426352e-05
e3,7,4,f0*f2^2,f0*f1^2,-19335681333498582773395621,3439203749440273020692176020,-19335681333498582773395621/3439203749440273020692176020,-0.0056221389432497115
e3,7,5,f0*f2^2,f0*f1*f2,129891183928502012641,45666298567912902430311,129891183928502012641/45666298567912902430311,0.0028443554218727314
e3,7,6,f0*f2^2,f0*f1*f3,-598,162121,-598/162121,-0.003688602957050598
e3,7,7,f0*f2^2,f0*f2^2,85253,5458913,85253/5458913,0.015617211704967637
e3,8,0,f0*f2*f3,f0^3,9539,9818024,9539/9818024,0.0009715804320706489
e3,8,1,f0*f2*f3,f0^2*f1,-53872,9090437,-53872/9090437,-0.005926227749007006
e3,8,2,f0*f2*f3,f0^2*f2,-122502239697060360223,86409157258007676184092,-122502239697060360223/86409157258007676184092,-0.0014176997390598655
e3,8,3,f0*f2*f3,f0^2*f3,-13903,5435396,-13903/5435396,-0.0025578633093154574
e3,8,4,f0*f2*f3,f0*f1^2,8242,9124839,8242/9124839,0.0009032488134859146
e3,8,5,f0*f2*f3,f0*f1*f2,32476174507702030319632742313499,2421134754255670415416342806863400,32476174507702030319632742313499/2421134754255670415416342806863400,0.013413617086210545
e3,8,6,f0*f2*f3,f0*f1*f3,-18936,8238085,-18936/8238085,-0.0022985924520079605
e3,8,7,f0*f2*f3,f0*f2^2,1688181187652499191705,247806221065425095151617,1688181187652499191705/247806221065425095151617,0.006812505272847005
e3,8,8,f0*f2*f3,f0*f2*f3,469353,7158718,469353/7158718,0.06556383419489356
e3,9,0,f0*f3^2,f0^3,278008871704777,79311900318462900,278008871704777/79311900318462900,0.003505260504268358
e3,9,1,f0*f3^2,f0^2*f1,-27390,9634709,-27390/9634709,-0.002842846628787647
e3,9,2,f0*f3^2,f0^2*f2,123270378666017810825,36092756877494742433488,123270378666017810825/36092756877494742433488,0.0034153771928373184
e3,9,3,f0*f3^2,f0^2*f3,10722,9980807,10722/9980807,0.0010742618307317234
e3,9,4,f0*f3^2,f0*f1^2,-18442612906931557574671901385,2056155566973218222775047869862,-18442612906931557574671901385/2056155566973218222775047869862,-0.008969463791146975
e3,9,5,f0*f3^2,f0*f1*f2,69509080638861820700085623612133,9258183967309890349308644062780300,69509080638861820700085623612133/9258183967309890349308644062780300,0.007507852607411383
e3,9,6,f0*f3^2,f0*f1*f3,4094996485748768656,715741638251805083307,4094996485748768656/715741638251805083307,0.00572133332322369
e3,9,7,f0*f3^2,f0*f2^2,-15336,2811799,-15336/2811799,-0.005454159418934284
e3,9,8,f0*f3^2,f0*f2*f3,17519024304752237387,4783077465954418143100,17519024304752237387/4783077465954418143100,0.003662709715544296
e3,9,9,f0*f3^2,f0*f3^2,185631,9360512,185631/9360512,0.01983128700652272
e3,10,0,f1^3,f0^3,-41567682503395,21308654553470382,-41567682503395/21308654553470382,-0.0019507417701614192
e3,10,1,f1^3,f0^2*f1,-420078582605603,89783270362607094,-420078582605603/89783270362607094,-0.004678806874699868
e3,10,2,f1^3,f0^2*f2,899483022952592652683,353492916478201662252420,899483022952592652683/353492916478201662252420,0.0025445574183324826
e3,10,3,f1^3,f0^2*f3,1033,1789640,1033/1789640,0.0005772110592074383
e3,10,4,f1^3,f0*f1^2,519295,8545472718,519295/8545472718,6.0768434601185746e-05
e3,10,5,f1^3,f0*f1*f2,-6671,7462572,-6671/7462572,-0.0008939277235784123
e3,10,6,f1^3,f0*f1*f3,-80914575707243,40221823228962832,-80914575707243/40221823228962832,-0.0020117083018996074
e3,10,7,f1^3,f0*f2^2,11835,8785822,11835/8785822,0.0013470566555980762
e3,10,8,f1^3,f0*f2*f3,-12372,1221893,-12372/1221893,-0.010125272834855426
e3,10,9,f1^3,f0*f3^2,3811,6349848,3811/6349848,0.0006001718466331793
e3,10,10,f1^3,f1^3,25226675,5054794427,25226675/5054794427,0.004990643114040926
e3,11,0,f1^2*f2,f0^3,5411,9853954,5411/9853954,0.0005491196731789087
e3,11,1,f1^2*f2,f0^2*f1,-3307,4185031,-3307/4185031,-0.0007901972530191532
e3,11,2,f1^2*f2,f0^2*f2,-6745,1291806,-6745/1291806,-0.005221372249393485
e3,11,3,f1^2*f2,f0^2*f3,22683,6791579,22683/6791579,0.003339871331836087
e3,11,4,f1^2*f2,f0*f1^2,4163758002533,3614271077535196,4163758002533/3614271077535196,0.0011520325712183533
e3,11,5,f1^2*f2,f0*f1*f2,-464447562974853605645,201884871207001480816248,-464447562974853605645/201884871207001480816248,-0.002300556550860292
e3,11,6,f1^2*f2,f0*f1*f3,-63253,9682909,-63253/9682909,-0.006532437720936962
e3,11,7,f1^2*f2,f0*f2^2,12625,6688788,12625/6688788,0.0018874869408329281
e3,11,8,f1^2*f2,f0*f2*f3,17168,9979989,17168/9979989,0.001720242377020656
e3,11,9,f1^2*f2,f0*f3^2,-17127,7998467,-17127/7998467,-0.002141285323800173
e3,11,10,f1^2*f2,f1^3,-3843281,18268398816,-3843281/18268398816,-0.00021037864558955992
e3,11,11,f1^2*f2,f1^2*f2,178127,7073206,178127/7073206,0.02518334684441539
e3,12,0,f1^2*f3,f0^3,1073,1936659,1073/1936659,0.0005540469437314468
e3,12,1,f1^2*f3,f0^2*f1,89339118073548662869,25117698628072198104600,89339118073548662869/25117698628072198104600,0.0035568194123366433
e3,12,2,f1^2*f3,f0^2*f2,-11536,9759303,-11536/9759303,-0.0011820516280722096
e3,12,3,f1^2*f3,f0^2*f3,20976,6061877,20976/6061877,0.003460314354778231
e3,12,4,f1^2*f3,f0*f1^2,4316,2414339,4316/2414339,0.0017876528523956246
e3,12,5,f1^2*f3,f0*f1*f2,12237892278845543652062680751,471182886221828891670776717904,12237892278845543652062680751/471182886221828891670776717904,0.02597270112455665
e3,12,6,f1^2*f3,f0*f1*f3,1779,1488832,1779/1488832,0.0011948964020117784
