elementary_invariant,pivot_index,pivot_numerator,pivot_denominator,pivot_exact,pivot_float,pivot_positive
e2,0,680785025,9764037591,680785025/9764037591,0.06972372019824191,True
e2,1,298858297056158778410738352569789,1995658672982588533203251132210000,298858297056158778410738352569789/1995658672982588533203251132210000,0.14975421453684942,True
e2,2,4602967075926804374923535938086786972744234301722442020193470035962543258766790313382876,20810992237975847961382943384678588198573748569144763997185111389251421654087045502537813,4602967075926804374923535938086786972744234301722442020193470035962543258766790313382876/20810992237975847961382943384678588198573748569144763997185111389251421654087045502537813,0.22117960658921978,True
e2,3,35312404813532624107836692029613808105224214396320843737558393403362178420199486192701616833503526244918353833516184626168968406846800175116990415676017288949,213506069198764774867387529229492135873167497272607585087024503681002932901722560214613766910540961890057499614022744958963307656302956091651900493989155093072,35312404813532624107836692029613808105224214396320843737558393403362178420199486192701616833503526244918353833516184626168968406846800175116990415676017288949/213506069198764774867387529229492135873167497272607585087024503681002932901722560214613766910540961890057499614022744958963307656302956091651900493989155093072,0.16539297897268826,True
e2,4,3245873605805947892815875554227327701183482754782553734453986587210769267545557392791928837211686745010995801629605734430781510595998554122860070525931104659304707403102171736413455323773379925810016643337108992203965138474947238192825028849792514818375316917,51965184376788300246963793555016288197760231644019885088089805639926383581677283734830943582321491815332974886708190393621775333807648758899287247434480616754117943085739878290231418119098907212948853501804740839326108555032091831280873403462763440659096203350,3245873605805947892815875554227327701183482754782553734453986587210769267545557392791928837211686745010995801629605734430781510595998554122860070525931104659304707403102171736413455323773379925810016643337108992203965138474947238192825028849792514818375316917/51965184376788300246963793555016288197760231644019885088089805639926383581677283734830943582321491815332974886708190393621775333807648758899287247434480616754117943085739878290231418119098907212948853501804740839326108555032091831280873403462763440659096203350,0.06246246683685025,True
e2,5,194803386632412228189744373395449999039812062676366449532126343797403265038659222182029956708937773795760546574138702577018992292988906230050892887544211659128384721697501079535747481824054586531624996937830274217304470349177880507730006596742788616376845045896083562231389435183875661341832666229499441132357931330978223420791924565418381374735924077545565386767202512443496874,1242603767637420434709218845997547675892983725341748487407299742276746077625935267556401504656880887064611521701915975809068322440915184104449712530695959577964276378308731720403112292910648735112090976583782574958375845753166402777737392634460263435595975507575702138879570156612427258988934104717343479711626116800256049279928091730157033312237003973735517814288594456999949925,194803386632412228189744373395449999039812062676366449532126343797403265038659222182029956708937773795760546574138702577018992292988906230050892887544211659128384721697501079535747481824054586531624996937830274217304470349177880507730006596742788616376845045896083562231389435183875661341832666229499441132357931330978223420791924565418381374735924077545565386767202512443496874/1242603767637420434709218845997547675892983725341748487407299742276746077625935267556401504656880887064611521701915975809068322440915184104449712530695959577964276378308731720403112292910648735112090976583782574958375845753166402777737392634460263435595975507575702138879570156612427258988934104717343479711626116800256049279928091730157033312237003973735517814288594456999949925,0.15677031705995434,True
e2,6,48358089080835266361855827725558582425552736615932885740412807680576098078310940554874380688826011084022936686841888960516255418918436526360863982711872012866533459416240732164706079372673412447276386334333071925297088328029579788120708483956571697509262285350140430611865209142412846257715268867818885736130730419879183837806185807935857107895347605557055032314014425498192088275469113370446359357123328149973783068552957003319564028455545707734651496127559507713645843784499310135,297589735982683117622641494571903919830098218492855668981014933250246125367335752043310849895293203399567368470791832334865855092863518530571456050057152068808166715162838310287808405802384502500785290420478123467523992185200146374877899073941430843351732825375123537905578780282222185077600464924883930930717906310781349240437841416882009626937575891319682170143823424342035489473444517876147652909552396424429977915699210986382509812329806645218926347186363460353543771874346246784,48358089080835266361855827725558582425552736615932885740412807680576098078310940554874380688826011084022936686841888960516255418918436526360863982711872012866533459416240732164706079372673412447276386334333071925297088328029579788120708483956571697509262285350140430611865209142412846257715268867818885736130730419879183837806185807935857107895347605557055032314014425498192088275469113370446359357123328149973783068552957003319564028455545707734651496127559507713645843784499310135/297589735982683117622641494571903919830098218492855668981014933250246125367335752043310849895293203399567368470791832334865855092863518530571456050057152068808166715162838310287808405802384502500785290420478123467523992185200146374877899073941430843351732825375123537905578780282222185077600464924883930930717906310781349240437841416882009626937575891319682170143823424342035489473444517876147652909552396424429977915699210986382509812329806645218926347186363460353543771874346246784,0.16249918338463543,True
e2,7,11684399266039988874147353273075600717166712755510820951683207402844129825894581411363551704221355534115603479881695924068990388976095058559882578692215012353433675926937287489836288841301005435531563727097055715947134542606550662614499379062702818325372951665266481315989782865991799415407146441390517943544770441034597334532418995709371123720924388400563156611802583952266175018383188604038935962607892216347663686629701160350474775641904989621469199908067075417106712915399314999304575019820104374680786990426904017715942006064953475125998997297598933524505860250461307230215660681120740476304671710090630203208053,399557284152319966396616674655868969246659558065125721997997991954503205069642405970761704865445178199174142456968306058969890732850101436744684175069473097583155347794974989538918970896991479210930950859949100349708380545532376317088191495763351324045616389355640875946293721533424263045745203024141421177437821037420675621131513106825941284142849669051986975197412360372756837431423431414334783499260973485921259329777840053832395034719185492243533215003307068758897524476231532868276294523996804583811172077589129497796415180432177822396355818165832416088905734156534415199231385084138396466458560994927629022481920,11684399266039988874147353273075600717166712755510820951683207402844129825894581411363551704221355534115603479881695924068990388976095058559882578692215012353433675926937287489836288841301005435531563727097055715947134542606550662614499379062702818325372951665266481315989782865991799415407146441390517943544770441034597334532418995709371123720924388400563156611802583952266175018383188604038935962607892216347663686629701160350474775641904989621469199908067075417106712915399314999304575019820104374680786990426904017715942006064953475125998997297598933524505860250461307230215660681120740476304671710090630203208053/399557284152319966396616674655868969246659558065125721997997991954503205069642405970761704865445178199174142456968306058969890732850101436744684175069473097583155347794974989538918970896991479210930950859949100349708380545532376317088191495763351324045616389355640875946293721533424263045745203024141421177437821037420675621131513106825941284142849669051986975197412360372756837431423431414334783499260973485921259329777840053832395034719185492243533215003307068758897524476231532868276294523996804583811172077589129497796415180432177822396355818165832416088905734156534415199231385084138396466458560994927629022481920,0.02924336441726749,True
e2,8,4281697178593636846099642602184481749651478015926502993773310656250743915730714102863906703901288927548298352470891924457090692608918645976399567546922437766664661029041762012652623219696843899220879394364274853555695748599349853278463351650588846009785568809474522678773964858773408146079176437022260389623424886125657141836433786305471910048947330475898751346416161805920184158189084865115503559917571929259503712755685269332062029816991073744553748896215867066703421776811434982009876565015600716889740487653340696544603988976782188688373011960316803472625194472467720502636937531768598777837477804156129149834790917750983046865369980128553984001039564732946480243525730271609149321910240088336870728698261763284824058656336663860266736574695763,46399421895193527019599784029699489856081682454954692785694049857130614825078816202290629074276876850431253554859809037114694556232148333932570796260746319211219355127464468785901273342949330241906398257019526133331962800602275559713784567467805178150208475754407708976354952639528445991388539945821931234725076471638236260101612037454108255936375652596927649616186121945159975178743507298649136692805917980106917339905225030696677665284279934511074159678588097597925405751520895801095874767159859525314446701816135083985000934896340820890130073153918875167997004985911093319066711491510071664217912695830092634243032775499053908390433808366550573425685631438992594148176407936388867413602421120916386553462051281578478823779572110146795049137081120,4281697178593636846099642602184481749651478015926502993773310656250743915730714102863906703901288927548298352470891924457090692608918645976399567546922437766664661029041762012652623219696843899220879394364274853555695748599349853278463351650588846009785568809474522678773964858773408146079176437022260389623424886125657141836433786305471910048947330475898751346416161805920184158189084865115503559917571929259503712755685269332062029816991073744553748896215867066703421776811434982009876565015600716889740487653340696544603988976782188688373011960316803472625194472467720502636937531768598777837477804156129149834790917750983046865369980128553984001039564732946480243525730271609149321910240088336870728698261763284824058656336663860266736574695763/46399421895193527019599784029699489856081682454954692785694049857130614825078816202290629074276876850431253554859809037114694556232148333932570796260746319211219355127464468785901273342949330241906398257019526133331962800602275559713784567467805178150208475754407708976354952639528445991388539945821931234725076471638236260101612037454108255936375652596927649616186121945159975178743507298649136692805917980106917339905225030696677665284279934511074159678588097597925405751520895801095874767159859525314446701816135083985000934896340820890130073153918875167997004985911093319066711491510071664217912695830092634243032775499053908390433808366550573425685631438992594148176407936388867413602421120916386553462051281578478823779572110146795049137081120,0.09227910615492332,True
e2,9,5959317198983191428848499426633599732847138635728087763788566831066096642291255852293901455419379584833923322125754832515655507873901970343031068530720129870475617340034527350289268274445552671486875233323898851826673809606880307148053369790899277712640715312754910519557442509319869869866769324103575345954245350302536866895942818600338576585109625512262408039679043472855026617033725530286742702068267599588562217071439250771131134798327643899571562141566993937870455803572506166160263452685214562819327320873464293799424734230038121928518555423398220669152751459429271212749684951049639231514986805893193212506581213029934386701398290942189331291435658387736616781333881385580503101743741665832031536329858252154525294066549058263044868375653334199810659829180236211495347574145908900514809573116763375401738765991498526100955614041621613168471790936494738685592218538807257713214711427716097210947970711134335742087385391646512522672574580108703170868824098256540107708689,117487800323096026194169101829386119645439982838793216902836110487005120560818757570977586373318840077180853476179099229442332450114235900425185540567563690882784372836838026506267802290174553838293699745483331293143810592897306098371031289979330486410543855456986599152940216523272513614258304846325704964885546731543858527637780096842091948485964508835886169510292229311528041959062880176465694249319569241176793366765764140195091204819104107260877342041672821928992860146831262076375445639660372323169084576083899211606082366014719540611717561847719446483929852719267389413997795548682228095429814557387802181149606009861306534939607247219851163437184111853417450282650423169930156162287697182338975001641202947803408645098399265371408589762330790641962056072849498035703694830987691878214654438489789922878151460889416948493744259883439556925850787267285847215030579614780028965181713830129071573907944994116904086105264388580398384104701925207057447173697498594613073884640,5959317198983191428848499426633599732847138635728087763788566831066096642291255852293901455419379584833923322125754832515655507873901970343031068530720129870475617340034527350289268274445552671486875233323898851826673809606880307148053369790899277712640715312754910519557442509319869869866769324103575345954245350302536866895942818600338576585109625512262408039679043472855026617033725530286742702068267599588562217071439250771131134798327643899571562141566993937870455803572506166160263452685214562819327320873464293799424734230038121928518555423398220669152751459429271212749684951049639231514986805893193212506581213029934386701398290942189331291435658387736616781333881385580503101743741665832031536329858252154525294066549058263044868375653334199810659829180236211495347574145908900514809573116763375401738765991498526100955614041621613168471790936494738685592218538807257713214711427716097210947970711134335742087385391646512522672574580108703170868824098256540107708689/117487800323096026194169101829386119645439982838793216902836110487005120560818757570977586373318840077180853476179099229442332450114235900425185540567563690882784372836838026506267802290174553838293699745483331293143810592897306098371031289979330486410543855456986599152940216523272513614258304846325704964885546731543858527637780096842091948485964508835886169510292229311528041959062880176465694249319569241176793366765764140195091204819104107260877342041672821928992860146831262076375445639660372323169084576083899211606082366014719540611717561847719446483929852719267389413997795548682228095429814557387802181149606009861306534939607247219851163437184111853417450282650423169930156162287697182338975001641202947803408645098399265371408589762330790641962056072849498035703694830987691878214654438489789922878151460889416948493744259883439556925850787267285847215030579614780028965181713830129071573907944994116904086105264388580398384104701925207057447173697498594613073884640,0.050722859587079144,True
