target,coefficient_id,monomial,target_coefficient,candidate_coefficient,residual
e4_residual_1_over_16,0,f0^8,0.00012513780082743178,0.00012513780083127195,3.84016277978072e-15
e4_residual_1_over_16,1,f0^7*f1,-1.2440429379455644e-05,-1.2440429381451672e-05,-1.9960280580070752e-15
e4_residual_1_over_16,2,f0^7*f2,-6.712580693831983e-05,-6.712580693801508e-05,3.0474212563136316e-16
e4_residual_1_over_16,3,f0^7*f3,2.5282074453240756e-05,2.5282074454448262e-05,1.2075064526832074e-15
e4_residual_1_over_16,4,f0^6*f1^2,0.00011733975209397645,0.00011733975210119942,7.222968425625587e-15
e4_residual_1_over_16,5,f0^6*f1*f2,0.0003397806063242106,0.0003397806063212671,-2.943500478080896e-15
e4_residual_1_over_16,6,f0^6*f1*f3,0.00034838061388304446,0.0003483806138835385,4.940167198930201e-16
e4_residual_1_over_16,7,f0^6*f2^2,0.0003385706966606613,0.00033857069666444635,3.7850582043641445e-15
e4_residual_1_over_16,8,f0^6*f2*f3,0.0005921802256889847,0.0005921802256889361,-4.868067754459915e-17
e4_residual_1_over_16,9,f0^6*f3^2,0.0003291316068946481,0.0003291316068964634,1.81527969739248e-15
e4_residual_1_over_16,10,f0^5*f1^3,-2.2285196685392488e-05,-2.2285196684490818e-05,9.016699604839917e-16
e4_residual_1_over_16,11,f0^5*f1^2*f2,-0.00010602282404686508,-0.00010602282404707977,-2.1468558267928595e-16
e4_residual_1_over_16,12,f0^5*f1^2*f3,-4.1024657654378755e-05,-4.102465765320371e-05,1.1750447620126336e-15
e4_residual_1_over_16,13,f0^5*f1*f2^2,-1.815231312097423e-05,-1.8152313121019867e-05,-4.56381351980617e-17
e4_residual_1_over_16,14,f0^5*f1*f2*f3,0.0001687619441007818,0.00016876194410269724,1.9154328730758285e-15
e4_residual_1_over_16,15,f0^5*f1*f3^2,-7.659194478540297e-05,-7.65919447867253e-05,-1.3223200746176333e-15
e4_residual_1_over_16,16,f0^5*f2^3,-0.00014648422096439885,-0.00014648422096439362,5.231275482242559e-18
e4_residual_1_over_16,17,f0^5*f2^2*f3,-2.153865978584409e-05,-2.1538659784883283e-05,9.60806412729498e-16
e4_residual_1_over_16,18,f0^5*f2*f3^2,2.7224281702989862e-05,2.7224281703849123e-05,8.592607148808634e-16
