target,row,column,row_monomial,column_monomial,gram_entry
e4_residual_1_over_16,0,0,f0^4,f0^4,0.00012513780083127195
e4_residual_1_over_16,1,0,f0^3*f1,f0^4,-6.220214690725836e-06
e4_residual_1_over_16,1,1,f0^3*f1,f0^3*f1,0.00020728083994444801
e4_residual_1_over_16,2,0,f0^3*f2,f0^4,-3.356290346900754e-05
e4_residual_1_over_16,2,1,f0^3*f2,f0^3*f1,0.0001683142875763156
e4_residual_1_over_16,2,2,f0^3*f2,f0^3*f2,0.00043886464135581244
e4_residual_1_over_16,3,0,f0^3*f3,f0^4,1.2641037227224131e-05
e4_residual_1_over_16,3,1,f0^3*f3,f0^3*f1,0.00014550778749608084
e4_residual_1_over_16,3,2,f0^3*f3,f0^3*f2,0.00026117149296145506
e4_residual_1_over_16,3,3,f0^3*f3,f0^3*f3,0.0004226515939957808
e4_residual_1_over_16,4,0,f0^2*f1^2,f0^4,-4.49705439216243e-05
e4_residual_1_over_16,4,1,f0^2*f1^2,f0^3*f1,-1.617414802973755e-05
e4_residual_1_over_16,4,2,f0^2*f1^2,f0^3*f2,-9.509696677391132e-06
e4_residual_1_over_16,4,3,f0^2*f1^2,f0^3*f3,-2.6431678819350894e-05
e4_residual_1_over_16,4,4,f0^2*f1^2,f0^2*f1^2,0.00018878604765009313
e4_residual_1_over_16,5,0,f0^2*f1*f2,f0^4,1.576015584317954e-06
e4_residual_1_over_16,5,1,f0^2*f1*f2,f0^3*f1,-4.133409967114543e-05
e4_residual_1_over_16,5,2,f0^2*f1*f2,f0^3*f2,4.03682852142445e-05
e4_residual_1_over_16,5,3,f0^2*f1*f2,f0^3*f3,3.161814018526912e-05
e4_residual_1_over_16,5,4,f0^2*f1*f2,f0^2*f1^2,0.00018216597320804535
e4_residual_1_over_16,5,5,f0^2*f1*f2,f0^2*f1*f2,0.0006267401853136475
e4_residual_1_over_16,6,0,f0^2*f1*f3,f0^4,2.86825194456884e-05
e4_residual_1_over_16,6,1,f0^2*f1*f3,f0^3*f1,7.225426450725028e-06
e4_residual_1_over_16,6,2,f0^2*f1*f3,f0^3*f2,1.848115654101503e-05
e4_residual_1_over_16,6,3,f0^2*f1*f3,f0^3*f3,-1.1170705805880498e-07
