elementary_invariant,row,column,row_monomial,column_monomial,gram_entry
e2,0,0,f0^2,f0^2,0.06972372019812412
e2,0,1,f0^2,f0*f1,-0.0003636524126537696
e2,0,2,f0^2,f0*f2,-0.0014634914036705617
e2,0,3,f0^2,f0*f3,0.00020562847479695074
e2,0,4,f0^2,f1^2,-0.011700062347402663
e2,0,5,f0^2,f1*f2,-0.019571303703125525
e2,0,6,f0^2,f1*f3,-0.0217134744933491
e2,0,7,f0^2,f2^2,-0.04503323747553389
e2,0,8,f0^2,f2*f3,0.027936329137091834
e2,0,9,f0^2,f3^2,-0.01882356879323241
e2,1,0,f0*f1,f0^2,-0.0003636524126537696
e2,1,1,f0*f1,f0*f1,0.14975611120969343
e2,1,2,f0*f1,f0*f2,0.02698994979377335
e2,1,3,f0*f1,f0*f3,0.02912177519353767
e2,1,4,f0*f1,f1^2,0.0001873432428720713
e2,1,5,f0*f1,f1*f2,0.014525809615582218
e2,1,6,f0*f1,f1*f3,0.01223162625178013
e2,1,7,f0*f1,f2^2,0.00827340539174737
e2,1,8,f0*f1,f2*f3,-0.0019092322431852496
e2,1,9,f0*f1,f3^2,-0.009886783937534735
e2,2,0,f0*f2,f0^2,-0.0014634914036705617
e2,2,1,f0*f2,f0*f1,0.02698994979377335
e2,2,2,f0*f2,f0*f2,0.22607192727412126
e2,2,3,f0*f2,f0*f3,-0.015031523959762962
e2,2,4,f0*f2,f1^2,-0.013770892432086651
e2,2,5,f0*f2,f1*f2,-0.00790933012716633
e2,2,6,f0*f2,f1*f3,-0.0003141625631055545
e2,2,7,f0*f2,f2^2,1.5709625978370356e-17
e2,2,8,f0*f2,f2*f3,0.007939422169497034
e2,2,9,f0*f2,f3^2,0.017695258215611347
e2,3,0,f0*f3,f0^2,0.00020562847479695074
e2,3,1,f0*f3,f0*f1,0.02912177519353767
e2,3,2,f0*f3,f0*f2,-0.015031523959762962
e2,3,3,f0*f3,f0*f3,0.172915599780787
e2,3,4,f0*f3,f1^2,-0.012961163000029781
e2,3,5,f0*f3,f1*f2,0.005620152247120041
e2,3,6,f0*f3,f1*f3,0.010051636182296255
e2,3,7,f0*f3,f2^2,-0.008145289747332867
e2,3,8,f0*f3,f2*f3,-0.014059701188095212
e2,3,9,f0*f3,f3^2,0.00010617296723165745
e2,4,0,f1^2,f0^2,-0.011700062347402663
e2,4,1,f1^2,f0*f1,0.0001873432428720713
e2,4,2,f1^2,f0*f2,-0.013770892432086651
e2,4,3,f1^2,f0*f3,-0.012961163000029781
e2,4,4,f1^2,f1^2,0.06654275987124164
e2,4,5,f1^2,f1*f2,-0.0006111110474201685
e2,4,6,f1^2,f1*f3,-0.003825439397045442
e2,4,7,f1^2,f2^2,-0.0076931084792229935
e2,4,8,f1^2,f2*f3,0.00023946180212038766
e2,4,9,f1^2,f3^2,-0.015513554523820854
e2,5,0,f1*f2,f0^2,-0.019571303703125525
e2,5,1,f1*f2,f0*f1,0.014525809615582218
e2,5,2,f1*f2,f0*f2,-0.00790933012716633
e2,5,3,f1*f2,f0*f3,0.005620152247120041
e2,5,4,f1*f2,f1^2,-0.0006111110474201685
e2,5,5,f1*f2,f1*f2,0.1645289210092587
e2,5,6,f1*f2,f1*f3,-0.0034447271300572617
e2,5,7,f1*f2,f2^2,-2.1530448200237542e-16
e2,5,8,f1*f2,f2*f3,-0.019598935967909348
e2,5,9,f1*f2,f3^2,-0.010657900573086538
e2,6,0,f1*f3,f0^2,-0.0217134744933491
e2,6,1,f1*f3,f0*f1,0.01223162625178013
e2,6,2,f1*f3,f0*f2,-0.0003141625631055545
e2,6,3,f1*f3,f0*f3,0.010051636182296255
e2,6,4,f1*f3,f1^2,-0.003825439397045442
e2,6,5,f1*f3,f1*f2,-0.0034447271300572617
e2,6,6,f1*f3,f1*f3,0.1722440814761495
e2,6,7,f1*f3,f2^2,0.012164732100905056
e2,6,8,f1*f3,f2*f3,0.005072587624697544
e2,6,9,f1*f3,f3^2,0.003834073785984
e2,7,0,f2^2,f0^2,-0.04503323747553389
e2,7,1,f2^2,f0*f1,0.00827340539174737
e2,7,2,f2^2,f0*f2,1.5709625978370356e-17
e2,7,3,f2^2,f0*f3,-0.008145289747332867
e2,7,4,f2^2,f1^2,-0.0076931084792229935
e2,7,5,f2^2,f1*f2,-2.1530448200237542e-16
e2,7,6,f2^2,f1*f3,0.012164732100905056
e2,7,7,f2^2,f2^2,0.06510416666663517
e2,7,8,f2^2,f2*f3,-5.121209364875383e-17
e2,7,9,f2^2,f3^2,0.01094706475954607
e2,8,0,f2*f3,f0^2,0.027936329137091834
e2,8,1,f2*f3,f0*f1,-0.0019092322431852496
e2,8,2,f2*f3,f0*f2,0.007939422169497034
e2,8,3,f2*f3,f0*f3,-0.014059701188095212
e2,8,4,f2*f3,f1^2,0.00023946180212038766
e2,8,5,f2*f3,f1*f2,-0.019598935967909348
e2,8,6,f2*f3,f1*f3,0.005072587624697544
e2,8,7,f2*f3,f2^2,-5.121209364875383e-17
e2,8,8,f2*f3,f2*f3,0.11830493632853484
e2,8,9,f2*f3,f3^2,-0.003233179949797008
e2,9,0,f3^2,f0^2,-0.01882356879323241
e2,9,1,f3^2,f0*f1,-0.009886783937534735
e2,9,2,f3^2,f0*f2,0.017695258215611347
e2,9,3,f3^2,f0*f3,0.00010617296723165745
e2,9,4,f3^2,f1^2,-0.015513554523820854
e2,9,5,f3^2,f1*f2,-0.010657900573086538
e2,9,6,f3^2,f1*f3,0.003834073785984
e2,9,7,f3^2,f2^2,0.01094706475954607
e2,9,8,f3^2,f2*f3,-0.003233179949797008
e2,9,9,f3^2,f3^2,0.06654795362517096
e3,0,0,f0^3,f0^3,0.0060032465177363055
e3,0,1,f0^3,f0^2*f1,-9.445249336993629e-05
e3,0,2,f0^3,f0^2*f2,-0.00042691067880923063
e3,0,3,f0^3,f0^2*f3,0.00010345901677959093
