first_line,second_line,native_signed_gram,maximizer_signed_gram,native_absolute_gram,maximizer_absolute_gram,signed_residual,absolute_residual,native_rational,native_absolute_rational
0,0,1.0000000000000002,1.0,1.0000000000000002,1.0,-2.220446049250313e-16,-2.220446049250313e-16,1,1
0,1,0.6666666666666665,0.666666667707748,0.6666666666666665,0.666666667707748,1.0410814432759707e-09,1.0410814432759707e-09,2/3,2/3
0,2,-0.16666666666666669,-0.16666666634312632,0.16666666666666669,0.16666666634312632,3.2354036116899465e-10,-3.2354036116899465e-10,-1/6,1/6
0,3,0.6666666666666665,0.6666666676380221,0.6666666666666665,0.6666666676380221,9.713555515489247e-10,9.713555515489247e-10,2/3,2/3
0,4,-0.16666666666666652,-0.16666666773598243,0.16666666666666652,0.16666666773598243,-1.0693159135932717e-09,1.0693159135932717e-09,-1/6,1/6
0,5,-0.1666666666666668,-0.16666666551622217,0.1666666666666668,0.16666666551622217,1.1504446284504866e-09,-1.1504446284504866e-09,-1/6,1/6
0,6,-0.6666666666666669,-0.6666666650619382,0.6666666666666669,0.6666666650619382,1.6047286832687746e-09,-1.6047286832687746e-09,-2/3,2/3
0,7,-0.1666666666666668,-0.1666666647350164,0.1666666666666668,0.1666666647350164,1.931650395192719e-09,-1.931650395192719e-09,-1/6,1/6
0,8,0.16666666666666632,0.166666668215353,0.16666666666666632,0.166666668215353,1.5486866788982923e-09,1.5486866788982923e-09,1/6,1/6
0,9,0.16666666666666638,0.16666666691841206,0.16666666666666638,0.16666666691841206,2.517456798578621e-10,2.517456798578621e-10,1/6,1/6
1,0,0.6666666666666665,0.666666667707748,0.6666666666666665,0.666666667707748,1.0410814432759707e-09,1.0410814432759707e-09,2/3,2/3
1,1,1.0,1.0000000000000002,1.0,1.0000000000000002,2.220446049250313e-16,2.220446049250313e-16,1,1
1,2,-0.6666666666666664,-0.6666666661984102,0.6666666666666664,0.6666666661984102,4.682562115831956e-10,-4.682562115831956e-10,-2/3,2/3
1,3,0.1666666666666666,0.166666667266604,0.1666666666666666,0.166666667266604,5.999374053100581e-10,5.999374053100581e-10,1/6,1/6
1,4,0.16666666666666716,0.16666666658370533,0.16666666666666716,0.16666666658370533,-8.296183184874906e-11,-8.296183184874906e-11,1/6,1/6
1,5,0.16666666666666677,0.1666666660321771,0.16666666666666677,0.1666666660321771,-6.344896552601398e-10,-6.344896552601398e-10,1/6,1/6
1,6,-0.16666666666666638,-0.16666666758336413,0.16666666666666638,0.16666666758336413,-9.166977454899694e-10,9.166977454899694e-10,-1/6,1/6
1,7,0.1666666666666674,0.16666666593807852,0.1666666666666674,0.16666666593807852,-7.285888836694454e-10,-7.285888836694454e-10,1/6,1/6
1,8,-0.1666666666666663,-0.16666666614584313,0.1666666666666663,0.16666666614584313,5.2082316237545e-10,-5.2082316237545e-10,-1/6,1/6
1,9,0.6666666666666669,0.6666666661135372,0.6666666666666669,0.6666666661135372,-5.531296531913199e-10,-5.531296531913199e-10,2/3,2/3
2,0,-0.16666666666666669,-0.16666666634312632,0.16666666666666669,0.16666666634312632,3.2354036116899465e-10,-3.2354036116899465e-10,-1/6,1/6
2,1,-0.6666666666666664,-0.6666666661984102,0.6666666666666664,0.6666666661984102,4.682562115831956e-10,-4.682562115831956e-10,-2/3,2/3
2,2,1.0000000000000002,1.0,1.0000000000000002,1.0,-2.220446049250313e-16,-2.220446049250313e-16,1,1
2,3,0.16666666666666605,0.16666666684970807,0.16666666666666605,0.16666666684970807,1.830420259807397e-10,1.830420259807397e-10,1/6,1/6
2,4,0.16666666666666702,0.16666666679367517,0.16666666666666702,0.16666666679367517,1.2700815399391274e-10,1.2700815399391274e-10,1/6,1/6
2,5,-0.6666666666666672,-0.6666666669001102,0.6666666666666672,0.6666666669001102,-2.3344304267425287e-10,2.3344304267425287e-10,-2/3,2/3
2,6,-0.16666666666666727,-0.1666666676467466,0.16666666666666727,0.1666666676467466,-9.800793232539462e-10,9.800793232539462e-10,-1/6,1/6
2,7,0.1666666666666662,0.16666666647796136,0.1666666666666662,0.16666666647796136,-1.887048572957184e-10,-1.887048572957184e-10,1/6,1/6
2,8,0.6666666666666663,0.6666666662905061,0.6666666666666663,0.6666666662905061,-3.761602140883724e-10,-3.761602140883724e-10,2/3,2/3
2,9,-0.1666666666666664,-0.1666666667778517,0.1666666666666664,0.1666666667778517,-1.1118528320253063e-10,1.1118528320253063e-10,-1/6,1/6
3,0,0.6666666666666665,0.6666666676380221,0.6666666666666665,0.6666666676380221,9.713555515489247e-10,9.713555515489247e-10,2/3,2/3
3,1,0.1666666666666666,0.166666667266604,0.1666666666666666,0.166666667266604,5.999374053100581e-10,5.999374053100581e-10,1/6,1/6
3,2,0.16666666666666605,0.16666666684970807,0.16666666666666605,0.16666666684970807,1.830420259807397e-10,1.830420259807397e-10,1/6,1/6
3,3,1.0,1.0,1.0,1.0,0.0,0.0,1,1
3,4,-0.666666666666667,-0.6666666663078974,0.666666666666667,0.6666666663078974,3.587695696083415e-10,-3.587695696083415e-10,-2/3,2/3
3,5,0.16666666666666696,0.16666666675281117,0.16666666666666696,0.16666666675281117,8.614420288211022e-11,8.614420288211022e-11,1/6,1/6
3,6,-0.1666666666666663,-0.16666666596544788,0.1666666666666663,0.16666666596544788,7.012184166654833e-10,-7.012184166654833e-10,-1/6,1/6
3,7,0.16666666666666632,0.16666666774116184,0.16666666666666632,0.16666666774116184,1.0744955203367823e-09,1.0744955203367823e-09,1/6,1/6
3,8,0.6666666666666664,0.6666666669859486,0.6666666666666664,0.6666666669859486,3.192821562691961e-10,3.192821562691961e-10,2/3,2/3
3,9,-0.16666666666666674,-0.16666666661597324,0.16666666666666674,0.16666666661597324,5.0693504949350654e-11,-5.0693504949350654e-11,-1/6,1/6
4,0,-0.16666666666666652,-0.16666666773598243,0.16666666666666652,0.16666666773598243,-1.0693159135932717e-09,1.0693159135932717e-09,-1/6,1/6
4,1,0.16666666666666716,0.16666666658370533,0.16666666666666716,0.16666666658370533,-8.296183184874906e-11,-8.296183184874906e-11,1/6,1/6
4,2,0.16666666666666702,0.16666666679367517,0.16666666666666702,0.16666666679367517,1.2700815399391274e-10,1.2700815399391274e-10,1/6,1/6
4,3,-0.666666666666667,-0.6666666663078974,0.666666666666667,0.6666666663078974,3.587695696083415e-10,-3.587695696083415e-10,-2/3,2/3
4,4,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0,1,1
4,5,-0.6666666666666665,-0.6666666664241653,0.6666666666666665,0.6666666664241653,2.4250124130986705e-10,-2.4250124130986705e-10,-2/3,2/3
4,6,-0.16666666666666677,-0.1666666667149891,0.16666666666666677,0.1666666667149891,-4.832231836893186e-11,4.832231836893186e-11,-1/6,1/6
4,7,0.1666666666666675,0.16666666711506448,0.1666666666666675,0.16666666711506448,4.483969862079107e-10,4.483969862079107e-10,1/6,1/6
4,8,-0.16666666666666624,-0.16666666591240042,0.16666666666666624,0.16666666591240042,7.542658164716443e-10,-7.542658164716443e-10,-1/6,1/6
4,9,0.666666666666667,0.6666666673534726,0.666666666666667,0.6666666673534726,6.86805612382102e-10,6.86805612382102e-10,2/3,2/3
5,0,-0.1666666666666668,-0.16666666551622217,0.1666666666666668,0.16666666551622217,1.1504446284504866e-09,-1.1504446284504866e-09,-1/6,1/6
5,1,0.16666666666666677,0.1666666660321771,0.16666666666666677,0.1666666660321771,-6.344896552601398e-10,-6.344896552601398e-10,1/6,1/6
5,2,-0.6666666666666672,-0.6666666669001102,0.6666666666666672,0.6666666669001102,-2.3344304267425287e-10,2.3344304267425287e-10,-2/3,2/3
5,3,0.16666666666666696,0.16666666675281117,0.16666666666666696,0.16666666675281117,8.614420288211022e-11,8.614420288211022e-11,1/6,1/6
5,4,-0.6666666666666665,-0.6666666664241653,0.6666666666666665,0.6666666664241653,2.4250124130986705e-10,-2.4250124130986705e-10,-2/3,2/3
5,5,1.0000000000000002,1.0,1.0000000000000002,1.0,-2.220446049250313e-16,-2.220446049250313e-16,1,1
5,6,0.6666666666666671,0.6666666672534302,0.6666666666666671,0.6666666672534302,5.867630825662218e-10,5.867630825662218e-10,2/3,2/3
5,7,0.1666666666666665,0.16666666669037652,0.1666666666666665,0.16666666669037652,2.3710033936197306e-11,2.3710033936197306e-11,1/6,1/6
5,8,-0.16666666666666669,-0.16666666660003243,0.16666666666666669,0.16666666660003243,6.663425367037235e-11,-6.663425367037235e-11,-1/6,1/6
5,9,-0.16666666666666638,-0.1666666668022858,0.16666666666666638,0.1666666668022858,-1.3561943235096408e-10,1.3561943235096408e-10,-1/6,1/6
6,0,-0.6666666666666669,-0.6666666650619382,0.6666666666666669,0.6666666650619382,1.6047286832687746e-09,-1.6047286832687746e-09,-2/3,2/3
6,1,-0.16666666666666638,-0.16666666758336413,0.16666666666666638,0.16666666758336413,-9.166977454899694e-10,9.166977454899694e-10,-1/6,1/6
6,2,-0.16666666666666727,-0.1666666676467466,0.16666666666666727,0.1666666676467466,-9.800793232539462e-10,9.800793232539462e-10,-1/6,1/6
6,3,-0.1666666666666663,-0.16666666596544788,0.1666666666666663,0.16666666596544788,7.012184166654833e-10,-7.012184166654833e-10,-1/6,1/6
6,4,-0.16666666666666677,-0.1666666667149891,0.16666666666666677,0.1666666667149891,-4.832231836893186e-11,4.832231836893186e-11,-1/6,1/6
6,5,0.6666666666666671,0.6666666672534302,0.6666666666666671,0.6666666672534302,5.867630825662218e-10,5.867630825662218e-10,2/3,2/3
6,6,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0,1,1
6,7,0.6666666666666664,0.6666666661554396,0.6666666666666664,0.6666666661554396,-5.112268386398e-10,-5.112268386398e-10,2/3,2/3
6,8,0.16666666666666688,0.16666666644233008,0.16666666666666688,0.16666666644233008,-2.2433679913724802e-10,-2.2433679913724802e-10,1/6,1/6
6,9,0.1666666666666668,0.16666666621520593,0.1666666666666668,0.16666666621520593,-4.5146086868896873e-10,-4.5146086868896873e-10,1/6,1/6
7,0,-0.1666666666666668,-0.1666666647350164,0.1666666666666668,0.1666666647350164,1.931650395192719e-09,-1.931650395192719e-09,-1/6,1/6
7,1,0.1666666666666674,0.16666666593807852,0.1666666666666674,0.16666666593807852,-7.285888836694454e-10,-7.285888836694454e-10,1/6,1/6
7,2,0.1666666666666662,0.16666666647796136,0.1666666666666662,0.16666666647796136,-1.887048572957184e-10,-1.887048572957184e-10,1/6,1/6
7,3,0.16666666666666632,0.16666666774116184,0.16666666666666632,0.16666666774116184,1.0744955203367823e-09,1.0744955203367823e-09,1/6,1/6
7,4,0.1666666666666675,0.16666666711506448,0.1666666666666675,0.16666666711506448,4.483969862079107e-10,4.483969862079107e-10,1/6,1/6
7,5,0.1666666666666665,0.16666666669037652,0.1666666666666665,0.16666666669037652,2.3710033936197306e-11,2.3710033936197306e-11,1/6,1/6
7,6,0.6666666666666664,0.6666666661554396,0.6666666666666664,0.6666666661554396,-5.112268386398e-10,-5.112268386398e-10,2/3,2/3
7,7,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,3.3306690738754696e-16,3.3306690738754696e-16,1,1
7,8,0.6666666666666667,0.6666666672579612,0.6666666666666667,0.6666666672579612,5.912944578412294e-10,5.912944578412294e-10,2/3,2/3
7,9,0.6666666666666673,0.6666666663514146,0.6666666666666673,0.6666666663514146,-3.1525271282362155e-10,-3.1525271282362155e-10,2/3,2/3
8,0,0.16666666666666632,0.166666668215353,0.16666666666666632,0.166666668215353,1.5486866788982923e-09,1.5486866788982923e-09,1/6,1/6
8,1,-0.1666666666666663,-0.16666666614584313,0.1666666666666663,0.16666666614584313,5.2082316237545e-10,-5.2082316237545e-10,-1/6,1/6
8,2,0.6666666666666663,0.6666666662905061,0.6666666666666663,0.6666666662905061,-3.761602140883724e-10,-3.761602140883724e-10,2/3,2/3
8,3,0.6666666666666664,0.6666666669859486,0.6666666666666664,0.6666666669859486,3.192821562691961e-10,3.192821562691961e-10,2/3,2/3
8,4,-0.16666666666666624,-0.16666666591240042,0.16666666666666624,0.16666666591240042,7.542658164716443e-10,-7.542658164716443e-10,-1/6,1/6
8,5,-0.16666666666666669,-0.16666666660003243,0.16666666666666669,0.16666666660003243,6.663425367037235e-11,-6.663425367037235e-11,-1/6,1/6
8,6,0.16666666666666688,0.16666666644233008,0.16666666666666688,0.16666666644233008,-2.2433679913724802e-10,-2.2433679913724802e-10,1/6,1/6
