coupling,perturbation_id,coarse_time_step,fine_time_step,coarse_classification,fine_classification,classifications_match,maximum_combined_state_norm_relative_difference,maximum_f_norm_relative_difference,final_combined_state_norm_relative_difference,final_f_norm_relative_difference,maximum_metric_relative_difference,refinement_pass
0.8,0,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,7.199700781378275e-10,6.153117191223299e-07,7.199700781378275e-10,6.153117191223299e-07,6.153117191223299e-07,True
0.8,1,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,5.774537483870613e-10,1.177090403538231e-06,5.774537483870613e-10,1.177090403538231e-06,1.177090403538231e-06,True
0.8,2,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,7.934818718482298e-10,1.5766543998221616e-07,7.934818718482298e-10,1.5766543998221616e-07,1.5766543998221616e-07,True
1.0,0,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,1.3038861434396896e-09,5.745249815507635e-07,1.3038861434396896e-09,5.745249815507635e-07,5.745249815507635e-07,True
1.0,1,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,1.093632569008488e-09,1.0008803932209523e-06,1.093632569008488e-09,1.0008803932209523e-06,1.0008803932209523e-06,True
1.0,2,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,1.4039996610007924e-09,2.0496826373902247e-07,1.4039996610007924e-09,2.0496826373902247e-07,2.0496826373902247e-07,True
1.2,0,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,2.2351765955129723e-09,5.290831145661214e-07,2.2351765955129723e-09,5.290831145661214e-07,5.290831145661214e-07,True
1.2,1,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,1.9287141547930577e-09,8.665529937066696e-07,1.9287141547930577e-09,8.665529937066696e-07,8.665529937066696e-07,True
1.2,2,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,2.36889603595197e-09,2.2576218928424676e-07,2.36889603595197e-09,2.2576218928424676e-07,2.2576218928424676e-07,True
1.35,0,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,3.275973572286436e-09,4.933213005187501e-07,3.275973572286436e-09,4.933213005187501e-07,4.933213005187501e-07,True
1.35,1,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,2.8683928065943892e-09,7.813816578970434e-07,2.8683928065943892e-09,7.813816578970434e-07,7.813816578970434e-07,True
1.35,2,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,3.440719491043638e-09,2.302062435845271e-07,3.440719491043638e-09,2.302062435845271e-07,2.302062435845271e-07,True
1.5,0,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,4.742899978134599e-09,4.5726869855373885e-07,4.742899978134599e-09,4.5726869855373885e-07,4.5726869855373885e-07,True
1.5,1,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,4.197149678641599e-09,7.053918214542421e-07,4.197149678641599e-09,7.053918214542421e-07,7.053918214542421e-07,True
1.5,2,0.002,0.001,bounded_on_tested_horizon,bounded_on_tested_horizon,True,4.945008697490613e-09,2.28522300677787e-07,4.945008697490613e-09,2.28522300677787e-07,2.28522300677787e-07,True
