coefficient_id,monomial,f0_power,f1_power,f2_power,f3_power,m_squared_coefficient_frobenius,s_times_m_coefficient_frobenius,s_squared_coefficient,residual_max_abs,residual_frobenius,coefficient_pass
0,f0^4,4,0,0,0,0.007978056277230501,0.12508058281007614,1.0,3.1042119964279866,7.022824208217758,False
1,f0^3*f1,3,1,0,0,0.022099234632854466,0.18973839873707588,0.0,2.283538842247804,5.8589004964235185,False
2,f0^3*f2,3,0,1,0,0.017948205743011526,0.15210097154307484,0.0,2.5069112812040917,5.620182665534335,False
3,f0^3*f3,3,0,0,1,0.017761373218797987,0.1552976466313756,0.0,1.6819764951155438,5.672881349291705,False
4,f0^2*f1^2,2,2,0,0,0.03040113251212345,0.2431558702685071,2.0,3.442619421322968,8.277254008937,False
5,f0^2*f1*f2,2,1,1,0,0.01829271479097088,0.07495578634975861,0.0,11.852960068971104,20.92779019773854,False
6,f0^2*f1*f3,2,1,0,1,0.02187321621103943,0.12722425897019066,0.0,11.465150703642642,19.873147578326506,False
7,f0^2*f2^2,2,0,2,0,0.0216731908160671,0.23573074990285717,2.0,5.016112524837329,9.707022800614267,False
8,f0^2*f2*f3,2,0,1,1,0.027055337056148532,0.13245082425050564,0.0,14.604583543309392,29.034682188622906,False
9,f0^2*f3^2,2,0,0,2,0.02164005621396854,0.23059214922712892,2.0,4.95699881181207,10.101397089109277,False
10,f0*f1^3,1,3,0,0,0.022819954481405794,0.18973839873707588,0.0,2.1655978322486984,6.354244824009645,False
11,f0*f1^2*f2,1,2,1,0,0.016645231995604363,0.15210097154307484,0.0,5.568001503839721,15.646542413792016,False
12,f0*f1^2*f3,1,2,0,1,0.01845469751246557,0.1552976466313756,0.0,6.59832258434204,14.994190531927758,False
13,f0*f1*f2^2,1,1,2,0,0.015383959259355944,0.18973839873707588,0.0,8.456090221099862,22.704343131745027,False
14,f0*f1*f2*f3,1,1,1,1,0.014503208320720506,0.0,0.0,9.192793149793998,18.796157983653778,False
15,f0*f1*f3^2,1,1,0,2,0.02212109973937329,0.18973839873707588,0.0,6.782808707837177,20.22554433018477,False
16,f0*f2^3,1,0,3,0,0.01641451531800414,0.15210097154307484,0.0,2.9183379572365693,8.382819817397667,False
17,f0*f2^2*f3,1,0,2,1,0.022766949443102986,0.1552976466313756,0.0,5.034814381909323,16.341685671433606,False
18,f0*f2*f3^2,1,0,1,2,0.020118514114595584,0.15210097154307484,0.0,7.124092942738054,16.204411554620005,False
19,f0*f3^3,1,0,0,3,0.015853234784561892,0.1552976466313756,0.0,3.487923315845481,9.244721932460118,False
20,f1^4,0,4,0,0,0.014871824328277765,0.1483478103985688,1.0,1.5973802262189216,3.2342652210841574,False
21,f1^3*f2,0,3,1,0,0.007005911791514156,0.07495578634975861,0.0,1.5712700580352972,5.381565290347068,False
22,f1^3*f3,0,3,0,1,0.015786253898858675,0.12722425897019066,0.0,5.167610889241294,12.055658652591223,False
23,f1^2*f2^2,0,2,2,0,0.007322504054281531,0.2305921492271289,2.0,11.492135544656083,24.038787473581536,False
24,f1^2*f2*f3,0,2,1,1,0.01673152104599103,0.13245082425050564,0.0,6.16016644471048,12.76470870191535,False
25,f1^2*f3^2,0,2,0,2,0.014491329778665825,0.23573074990285667,2.0,7.938461037521959,15.670099113011162,False
26,f1*f2^3,0,1,3,0,0.008089119291803623,0.07495578634975861,0.0,1.7738882257905864,4.131077171084563,False
27,f1*f2^2*f3,0,1,2,1,0.01882410532809545,0.12722425897019066,0.0,9.008996075846907,21.382010343367668,False
28,f1*f2*f3^2,0,1,1,2,0.01595297067887603,0.07495578634975861,0.0,8.061921039717383,13.633762502688356,False
29,f1*f3^3,0,1,0,3,0.016082100553177932,0.12722425897019066,0.0,4.5889664856684576,10.825435112606305,False
30,f2^4,0,0,4,0,0.017459693103640702,0.15774745405000748,1.0,8.881784197001252e-15,2.382107623224885e-14,True
31,f2^3*f3,0,0,3,1,0.014293900042094696,0.13245082425050564,0.0,3.10256378002206,7.299831047057787,False
32,f2^2*f3^2,0,0,2,2,0.017157857594723346,0.24315587026850655,2.0,8.55929597702768,16.6840875738655,False
33,f2*f3^3,0,0,1,3,0.015791844139716692,0.13245082425050564,0.0,4.759637490626318,10.12644136414799,False
34,f3^4,0,0,0,4,0.015197847794062632,0.14831279561195718,1.0,0.8260185110476741,1.855761974828473,False
