axis_id,trace,trace_square,trace_cube,determinant,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,rational_eigenvalue_0,rational_eigenvalue_1,rational_eigenvalue_2,rational_eigenvalue_3
0,2.5000000000000004,2.9031635802469156,4.219714506172843,0.019256633659122092,0.06944444444444439,0.41666666666666646,0.41666666666666713,1.5972222222222228,5/72,5/12,5/12,115/72
1,2.5,2.9031635802469133,4.2197145061728385,0.019256633659122134,0.06944444444444456,0.4166666666666664,0.4166666666666673,1.5972222222222223,5/72,5/12,5/12,115/72
2,2.5,2.9031635802469147,4.219714506172841,0.019256633659122075,0.06944444444444443,0.4166666666666663,0.416666666666667,1.5972222222222223,5/72,5/12,5/12,115/72
3,2.4999999999999996,2.903163580246913,4.2197145061728385,0.019256633659122058,0.06944444444444439,0.4166666666666664,0.41666666666666713,1.5972222222222223,5/72,5/12,5/12,115/72
4,2.5000000000000018,2.903163580246918,4.219714506172848,0.019256633659122162,0.06944444444444485,0.41666666666666663,0.4166666666666674,1.5972222222222237,5/72,5/12,5/12,115/72
5,2.5000000000000018,2.9031635802469182,4.21971450617285,0.01925663365912212,0.06944444444444448,0.4166666666666668,0.4166666666666669,1.5972222222222243,5/72,5/12,5/12,115/72
6,2.5000000000000013,2.9031635802469165,4.2197145061728465,0.019256633659122127,0.06944444444444446,0.41666666666666646,0.41666666666666713,1.5972222222222232,5/72,5/12,5/12,115/72
7,2.500000000000001,2.9031635802469147,4.219714506172842,0.019256633659122134,0.06944444444444456,0.4166666666666667,0.4166666666666675,1.597222222222223,5/72,5/12,5/12,115/72
8,2.4999999999999996,2.903163580246911,4.219714506172834,0.019256633659122058,0.06944444444444445,0.4166666666666664,0.41666666666666685,1.5972222222222219,5/72,5/12,5/12,115/72
9,2.5000000000000018,2.9031635802469187,4.219714506172851,0.019256633659122127,0.06944444444444453,0.41666666666666674,0.41666666666666696,1.5972222222222232,5/72,5/12,5/12,115/72
