group_index,source_line,target_line,projective_distance,action_pass
0,0,0,0.0,True
0,1,1,0.0,True
0,2,2,0.0,True
0,3,3,0.0,True
0,4,4,0.0,True
0,5,5,0.0,True
0,6,6,0.0,True
0,7,7,0.0,True
0,8,8,0.0,True
0,9,9,0.0,True
0,10,10,0.0,True
0,11,11,0.0,True
0,12,12,2.1073424255447017e-08,True
0,13,13,0.0,True
0,14,14,0.0,True
0,15,15,0.0,True
0,16,16,0.0,True
0,17,17,0.0,True
0,18,18,0.0,True
0,19,19,0.0,True
0,20,20,0.0,True
0,21,21,0.0,True
0,22,22,0.0,True
0,23,23,0.0,True
0,24,24,0.0,True
0,25,25,0.0,True
0,26,26,0.0,True
0,27,27,0.0,True
0,28,28,0.0,True
0,29,29,0.0,True
1,0,5,0.0,True
1,1,7,0.0,True
1,2,8,0.0,True
1,3,6,0.0,True
1,4,4,0.0,True
1,5,0,1.4901161193847656e-08,True
1,6,3,0.0,True
1,7,1,0.0,True
1,8,2,0.0,True
1,9,9,0.0,True
1,10,10,0.0,True
1,11,25,0.0,True
1,12,20,0.0,True
1,13,13,0.0,True
1,14,28,0.0,True
1,15,15,1.4901161193847656e-08,True
1,16,18,0.0,True
1,17,29,0.0,True
1,18,16,1.4901161193847656e-08,True
1,19,19,0.0,True
1,20,12,1.4901161193847656e-08,True
1,21,27,0.0,True
1,22,24,0.0,True
1,23,26,0.0,True
1,24,22,0.0,True
1,25,11,0.0,True
1,26,23,0.0,True
1,27,21,0.0,True
1,28,14,0.0,True
1,29,17,0.0,True
2,0,3,0.0,True
2,1,1,0.0,True
2,2,8,0.0,True
2,3,0,1.4901161193847656e-08,True
2,4,9,0.0,True
2,5,6,0.0,True
2,6,5,0.0,True
2,7,7,0.0,True
2,8,2,0.0,True
2,9,4,0.0,True
2,10,10,0.0,True
2,11,24,0.0,True
2,12,16,1.4901161193847656e-08,True
2,13,13,0.0,True
2,14,26,0.0,True
2,15,15,1.4901161193847656e-08,True
2,16,12,1.4901161193847656e-08,True
2,17,27,0.0,True
2,18,20,0.0,True
2,19,19,0.0,True
2,20,18,0.0,True
2,21,29,0.0,True
2,22,25,0.0,True
2,23,28,0.0,True
2,24,11,1.4901161193847656e-08,True
2,25,22,0.0,True
2,26,14,0.0,True
2,27,17,0.0,True
2,28,23,0.0,True
2,29,21,0.0,True
3,0,6,0.0,True
3,1,7,0.0,True
3,2,9,0.0,True
3,3,5,0.0,True
3,4,2,0.0,True
3,5,0,0.0,True
3,6,3,0.0,True
3,7,1,0.0,True
3,8,4,0.0,True
3,9,8,0.0,True
3,10,10,0.0,True
3,11,17,0.0,True
3,12,18,0.0,True
3,13,13,0.0,True
3,14,28,0.0,True
3,15,19,0.0,True
3,16,20,0.0,True
