first_line,second_line,signed_gram,absolute_gram,absolute_rational
0,1,0.5000000000000001,0.5000000000000001,1/2
0,2,3.781232708883314e-18,3.781232708883314e-18,0
0,3,0.49999999999999967,0.49999999999999967,1/2
0,4,-1.5643950329485726e-16,1.5643950329485726e-16,0
0,5,0.5000000000000006,0.5000000000000006,1/2
0,6,0.5000000000000001,0.5000000000000001,1/2
0,7,4.796512815903662e-16,4.796512815903662e-16,0
0,8,0.5,0.5,1/2
0,9,0.5000000000000008,0.5000000000000008,1/2
0,10,0.7905694150420949,0.7905694150420949,49024/62011
0,11,0.7071067811865474,0.7071067811865474,47321/66922
0,12,8.461845649679994e-17,8.461845649679994e-17,0
0,13,0.353553390593276,0.353553390593276,33461/94642
0,14,2.940124934445562e-16,2.940124934445562e-16,0
0,15,0.35355339059327556,0.35355339059327556,33461/94642
0,16,0.35355339059327257,0.35355339059327257,33461/94642
0,17,3.7503052595083314e-16,3.7503052595083314e-16,0
0,18,0.7071067811865475,0.7071067811865475,47321/66922
0,19,0.3535533905932742,0.3535533905932742,33461/94642
0,20,0.707106781186548,0.707106781186548,33461/47321
0,21,0.7071067811865475,0.7071067811865475,47321/66922
0,22,0.7071067811865475,0.7071067811865475,47321/66922
0,23,1.3092951881744293e-16,1.3092951881744293e-16,0
0,24,-0.3535533905932742,0.3535533905932742,33461/94642
0,25,1.389034538049544e-15,1.389034538049544e-15,0
0,26,-2.2458291253279656e-16,2.2458291253279656e-16,0
0,27,0.7071067811865475,0.7071067811865475,47321/66922
0,28,0.7905694150420952,0.7905694150420952,49024/62011
0,29,0.3535533905932747,0.3535533905932747,33461/94642
1,2,-0.4999999999999996,0.4999999999999996,1/2
1,3,-0.5000000000000004,0.5000000000000004,1/2
1,4,0.4999999999999987,0.4999999999999987,1/2
1,5,5.135119877639935e-16,5.135119877639935e-16,0
1,6,-3.0825643641617774e-16,3.0825643641617774e-16,0
1,7,-7.240485470355933e-16,7.240485470355933e-16,0
1,8,0.5000000000000003,0.5000000000000003,1/2
1,9,0.49999999999999983,0.49999999999999983,1/2
1,10,-7.621425990355882e-16,7.621425990355882e-16,0
1,11,0.35355339059327345,0.35355339059327345,33461/94642
1,12,0.3535533905932743,0.3535533905932743,33461/94642
1,13,1.3472584787674264e-16,1.3472584787674264e-16,0
1,14,6.642582337438521e-16,6.642582337438521e-16,0
1,15,0.7071067811865475,0.7071067811865475,47321/66922
1,16,0.35355339059327207,0.35355339059327207,33461/94642
1,17,0.7071067811865481,0.7071067811865481,33461/47321
1,18,4.68370800173094e-16,4.68370800173094e-16,0
1,19,0.7071067811865482,0.7071067811865482,33461/47321
1,20,6.03674210995102e-16,6.03674210995102e-16,0
1,21,0.3535533905932716,0.3535533905932716,33461/94642
1,22,0.7071067811865474,0.7071067811865474,47321/66922
1,23,-0.790569415042095,0.790569415042095,49024/62011
1,24,0.353553390593273,0.353553390593273,33461/94642
1,25,0.7071067811865485,0.7071067811865485,33461/47321
1,26,6.594146379170191e-16,6.594146379170191e-16,0
1,27,0.7071067811865474,0.7071067811865474,47321/66922
1,28,0.7905694150420948,0.7905694150420948,49024/62011
1,29,-0.3535533905932725,0.3535533905932725,33461/94642
2,3,0.4999999999999999,0.4999999999999999,1/2
2,4,-0.5000000000000004,0.5000000000000004,1/2
2,5,-0.5000000000000003,0.5000000000000003,1/2
2,6,-3.306991415797908e-16,3.306991415797908e-16,0
2,7,0.5000000000000002,0.5000000000000002,1/2
2,8,6.869332975886713e-16,6.869332975886713e-16,0
2,9,0.5000000000000007,0.5000000000000007,1/2
2,10,6.262804995423225e-16,6.262804995423225e-16,0
2,11,0.35355339059327456,0.35355339059327456,33461/94642
2,12,0.35355339059327434,0.35355339059327434,33461/94642
2,13,0.7071067811865478,0.7071067811865478,33461/47321
2,14,0.7905694150420947,0.7905694150420947,49024/62011
2,15,-3.043756054343767e-18,3.043756054343767e-18,0
2,16,-0.7071067811865478,0.7071067811865478,33461/47321
2,17,-0.35355339059327345,0.35355339059327345,33461/94642
2,18,0.3535533905932746,0.3535533905932746,33461/94642
2,19,-0.707106781186548,0.707106781186548,33461/47321
2,20,0.707106781186547,0.707106781186547,47321/66922
2,21,-0.3535533905932723,0.3535533905932723,33461/94642
2,22,-0.3535533905932738,0.3535533905932738,33461/94642
2,23,0.7905694150420944,0.7905694150420944,49024/62011
2,24,-1.172225034240883e-16,1.172225034240883e-16,0
2,25,2.1671646281191981e-16,2.1671646281191981e-16,0
2,26,4.3244393169563296e-16,4.3244393169563296e-16,0
2,27,-0.7071067811865477,0.7071067811865477,33461/47321
2,28,4.657099621466914e-16,4.657099621466914e-16,0
2,29,0.7071067811865474,0.7071067811865474,47321/66922
3,4,-0.49999999999999933,0.49999999999999933,1/2
3,5,0.49999999999999983,0.49999999999999983,1/2
3,6,0.5000000000000001,0.5000000000000001,1/2
3,7,1.025343732725304e-15,1.025343732725304e-15,0
3,8,-2.7874590785209415e-16,2.7874590785209415e-16,0
3,9,7.55171982629644e-16,7.55171982629644e-16,0
3,10,0.7905694150420954,0.7905694150420954,49024/62011
3,11,0.3535533905932735,0.3535533905932735,33461/94642
3,12,-0.353553390593274,0.353553390593274,33461/94642
3,13,0.35355339059327606,0.35355339059327606,33461/94642
3,14,-2.946326815228261e-16,2.946326815228261e-16,0
3,15,-0.35355339059327223,0.35355339059327223,33461/94642
3,16,2.1297467689069136e-17,2.1297467689069136e-17,0
3,17,-0.7071067811865479,0.7071067811865479,33461/47321
3,18,0.707106781186547,0.707106781186547,47321/66922
3,19,-0.35355339059327434,0.35355339059327434,33461/94642
3,20,0.7071067811865475,0.7071067811865475,47321/66922
3,21,0.35355339059327573,0.35355339059327573,33461/94642
3,22,-4.3162746848989894e-16,4.3162746848989894e-16,0
3,23,0.7905694150420954,0.7905694150420954,49024/62011
3,24,-0.7071067811865475,0.7071067811865475,47321/66922
3,25,-0.7071067811865472,0.7071067811865472,47321/66922
3,26,-5.059954412701651e-16,5.059954412701651e-16,0
3,27,-3.479595265070457e-16,3.479595265070457e-16,0
3,28,1.8267129330472054e-16,1.8267129330472054e-16,0
3,29,0.7071067811865471,0.7071067811865471,47321/66922
4,5,1.936523826958704e-15,1.936523826958704e-15,0
4,6,0.5000000000000008,0.5000000000000008,1/2
4,7,0.4999999999999996,0.4999999999999996,1/2
4,8,-0.5000000000000012,0.5000000000000012,1/2
4,9,-2.3795235285879427e-15,2.3795235285879427e-15,0
4,10,-5.647070553617538e-17,5.647070553617538e-17,0
4,11,0.35355339059327295,0.35355339059327295,33461/94642
4,12,-0.3535533905932752,0.3535533905932752,33461/94642
4,13,-0.7071067811865488,0.7071067811865488,33461/47321
4,14,-2.675633618431531e-16,2.675633618431531e-16,0
4,15,0.7071067811865467,0.7071067811865467,47321/66922
4,16,0.7071067811865481,0.7071067811865481,33461/47321
4,17,-9.092882425919352e-16,9.092882425919352e-16,0
4,18,-0.7071067811865479,0.7071067811865479,33461/47321
4,19,6.068216729221618e-16,6.068216729221618e-16,0
4,20,-0.35355339059327257,0.35355339059327257,33461/94642
4,21,-0.3535533905932753,0.3535533905932753,33461/94642
4,22,0.7071067811865477,0.7071067811865477,33461/47321
4,23,-0.7905694150420942,0.7905694150420942,49024/62011
4,24,0.7071067811865472,0.7071067811865472,47321/66922
4,25,0.3535533905932715,0.3535533905932715,33461/94642
4,26,-0.7905694150420953,0.7905694150420953,49024/62011
4,27,0.35355339059327473,0.35355339059327473,33461/94642
4,28,-1.2256354819104282e-15,1.2256354819104282e-15,0
4,29,9.080991638436728e-16,9.080991638436728e-16,0
5,6,0.5000000000000009,0.5000000000000009,1/2
5,7,-0.49999999999999856,0.49999999999999856,1/2
5,8,-5.188735770177013e-16,5.188735770177013e-16,0
5,9,-0.4999999999999988,0.4999999999999988,1/2
5,10,0.7905694150420951,0.7905694150420951,49024/62011
5,11,9.655463237645419e-17,9.655463237645419e-17,0
5,12,-0.7071067811865478,0.7071067811865478,33461/47321
5,13,-0.3535533905932715,0.3535533905932715,33461/94642
5,14,-0.7905694150420943,0.7905694150420943,49024/62011
5,15,-0.35355339059327084,0.35355339059327084,33461/94642
5,16,0.7071067811865483,0.7071067811865483,33461/47321
5,17,-0.35355339059327384,0.35355339059327384,33461/94642
5,18,0.35355339059327245,0.35355339059327245,33461/94642
5,19,0.35355339059327406,0.35355339059327406,33461/94642
5,20,8.654835331122918e-16,8.654835331122918e-16,0
5,21,0.7071067811865482,0.7071067811865482,33461/47321
5,22,0.3535533905932746,0.3535533905932746,33461/94642
5,23,1.8400282196695078e-16,1.8400282196695078e-16,0
5,24,-0.7071067811865466,0.7071067811865466,47321/66922
5,25,-0.7071067811865464,0.7071067811865464,47321/66922
5,26,-1.413005658420774e-15,1.413005658420774e-15,0
5,27,0.7071067811865481,0.7071067811865481,33461/47321
5,28,8.99374639908071e-16,8.99374639908071e-16,0
5,29,8.276215689355679e-18,8.276215689355679e-18,0
6,7,0.5000000000000007,0.5000000000000007,1/2
6,8,-0.5000000000000001,0.5000000000000001,1/2
6,9,-1.2319061150905147e-16,1.2319061150905147e-16,0
6,10,0.7905694150420948,0.7905694150420948,49024/62011
6,11,0.7071067811865469,0.7071067811865469,47321/66922
6,12,-0.7071067811865476,0.7071067811865476,33461/47321
6,13,-0.3535533905932717,0.3535533905932717,33461/94642
6,14,2.7818813397397016e-16,2.7818813397397016e-16,0
6,15,0.35355339059327545,0.35355339059327545,33461/94642
6,16,0.7071067811865475,0.7071067811865475,47321/66922
6,17,-0.7071067811865472,0.7071067811865472,47321/66922
6,18,-5.189015891688959e-16,5.189015891688959e-16,0
6,19,-0.3535533905932729,0.3535533905932729,33461/94642
6,20,0.35355339059327534,0.35355339059327534,33461/94642
6,21,7.878160135043323e-16,7.878160135043323e-16,0
6,22,0.7071067811865476,0.7071067811865476,33461/47321
6,23,6.090755533203033e-16,6.090755533203033e-16,0
6,24,4.1650847404302403e-16,4.1650847404302403e-16,0
6,25,-0.3535533905932741,0.3535533905932741,33461/94642
6,26,-0.7905694150420952,0.7905694150420952,49024/62011
6,27,0.35355339059327473,0.35355339059327473,33461/94642
6,28,4.713782978147225e-16,4.713782978147225e-16,0
6,29,0.7071067811865476,0.7071067811865476,33461/47321
7,8,-0.5,0.5,1/2
7,9,0.499999999999999,0.499999999999999,1/2
7,10,8.817768099162102e-16,8.817768099162102e-16,0
7,11,0.7071067811865481,0.7071067811865481,33461/47321
7,12,-4.664741967556929e-16,4.664741967556929e-16,0
7,13,-2.934337981212936e-16,2.934337981212936e-16,0
7,14,0.7905694150420949,0.7905694150420949,49024/62011
7,15,0.7071067811865471,0.7071067811865471,47321/66922
7,16,7.053945667125723e-17,7.053945667125723e-17,0
