root_id,pair_index,pair_id,first_axis,second_axis,signed_overlap,absolute_overlap,overlap_class,selected_branch,projective_distance,candidate_coordinate_residual,span_residual,coefficient_first,coefficient_second,absolute_coefficient_ratio,equal_weight_residual
0,22,32,4,7,0.16666666666666752,0.16666666666666752,weak_1_over_6,obtuse,0.0,3.055201612902014e-16,4.40018038418188e-16,-0.7745966692414838,0.7745966692414842,0.9999999999999996,3.3306690738754696e-16
1,9,13,1,6,-0.16666666666666638,0.16666666666666638,weak_1_over_6,obtuse,0.0,4.440892098500626e-16,4.002966042486721e-16,0.7745966692414834,0.7745966692414826,1.000000000000001,7.771561172376096e-16
2,0,1,0,2,-0.16666666666666669,0.16666666666666669,weak_1_over_6,obtuse,0.0,6.106226635438361e-16,8.961856765380927e-16,0.7745966692414841,0.7745966692414833,1.000000000000001,7.771561172376096e-16
3,13,18,2,4,0.16666666666666702,0.16666666666666702,weak_1_over_6,obtuse,0.0,3.885780586188048e-16,5.658071270369155e-16,0.7745966692414833,-0.7745966692414836,0.9999999999999996,3.3306690738754696e-16
4,21,31,4,6,-0.16666666666666677,0.16666666666666677,weak_1_over_6,obtuse,0.0,1.3322676295501878e-15,1.9100999153570945e-15,0.7745966692414838,0.7745966692414836,1.0000000000000002,2.220446049250313e-16
5,8,12,1,5,0.16666666666666674,0.16666666666666674,weak_1_over_6,obtuse,0.0,1.1102230246251565e-15,1.5170015459940402e-15,-0.7745966692414832,0.7745966692414833,0.9999999999999999,1.1102230246251565e-16
6,4,7,0,8,0.16666666666666632,0.16666666666666632,weak_1_over_6,obtuse,0.0,2.643646872198916e-16,4.025754949059204e-16,-0.7745966692414833,0.7745966692414835,0.9999999999999997,2.220446049250313e-16
7,24,36,5,7,0.16666666666666657,0.16666666666666657,weak_1_over_6,obtuse,0.0,6.661338147750939e-16,1.303699802838727e-15,-0.7745966692414836,0.7745966692414837,0.9999999999999999,1.1102230246251565e-16
8,7,11,1,4,0.16666666666666718,0.16666666666666718,weak_1_over_6,obtuse,0.0,3.3306690738754696e-16,3.5253813030804205e-16,0.7745966692414838,-0.7745966692414836,1.0000000000000002,2.220446049250313e-16
9,11,15,1,8,-0.16666666666666632,0.16666666666666632,weak_1_over_6,obtuse,0.0,1.3322676295501878e-15,1.9073251091392493e-15,0.7745966692414833,0.7745966692414835,0.9999999999999997,2.220446049250313e-16
10,23,33,4,8,-0.1666666666666662,0.1666666666666662,weak_1_over_6,acute,0.6296288974669542,0.4479808047228815,0.5976143046671962,-0.5248906591678243,0.5248906591678243,1.0,0.0
