check,pass
all_positive_upstream_inputs_pass,True
zero_census_recovered_forty_lines,True
class_sizes_sum_to_forty,True
decomposition_is_10_15_10_5,True
nonaxis_orbits_are_15_10_5,True
squared_spectrum_orbits_are_15_10_5,True
all_orbit_stabilizer_products_equal_480,True
native_axis_s4_is_115_over_72,True
native_axis_covariant_spectrum_matches,True
native_axis_curvature_is_one_over_18,True
native_axis_class_is_unique_extremal_class,True
five_line_class_is_isotropic,True
ten_line_nonaxis_class_has_rank_four,True
fifteen_line_class_is_near_extremal,True
