axis_id,orbit_id,orbit_size,faces,weight,integer_weight,orbit_sum
0,0,12,"[0, 1, 2, 3, 4, 7, 8, 12, 13, 14, 17, 18]",0.07453559924999288,1,0.8944271909999146
0,1,6,"[5, 6, 10, 11, 16, 19]",-0.2981423969999719,-4,-1.7888543819998315
0,2,2,"[9, 15]",0.4472135954999582,6,0.8944271909999164
1,0,12,"[2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 16, 17]",0.07453559924999288,1,0.8944271909999146
1,1,6,"[0, 1, 7, 9, 15, 18]",-0.29814239699997197,-4,-1.788854381999832
1,2,2,"[6, 19]",0.4472135954999581,6,0.8944271909999162
2,0,12,"[0, 3, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16]",0.07453559924999306,1,0.8944271909999167
2,1,6,"[2, 4, 6, 14, 17, 19]",-0.2981423969999721,-4,-1.7888543819998324
2,2,2,"[1, 18]",0.4472135954999576,6,0.8944271909999152
3,0,12,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 13, 18, 19]",0.07453559924999306,1,0.8944271909999167
3,1,6,"[8, 9, 12, 14, 15, 17]",-0.2981423969999721,-4,-1.7888543819998324
3,2,2,"[11, 16]",0.4472135954999578,6,0.8944271909999156
4,0,12,"[1, 3, 5, 6, 9, 10, 13, 14, 15, 17, 18, 19]",0.07453559924999288,1,0.8944271909999146
4,1,6,"[0, 2, 4, 7, 11, 16]",-0.29814239699997186,-4,-1.788854381999831
4,2,2,"[8, 12]",0.44721359549995826,6,0.8944271909999165
5,0,12,"[0, 3, 6, 7, 9, 11, 13, 14, 15, 16, 17, 19]",0.07453559924999294,1,0.8944271909999153
5,1,6,"[1, 5, 8, 10, 12, 18]",-0.2981423969999719,-4,-1.7888543819998315
5,2,2,"[2, 4]",0.44721359549995815,6,0.8944271909999163
6,0,12,"[0, 1, 6, 7, 8, 11, 12, 14, 16, 17, 18, 19]",0.074535599249993,1,0.8944271909999161
6,1,6,"[2, 3, 4, 9, 13, 15]",-0.29814239699997197,-4,-1.788854381999832
6,2,2,"[5, 10]",0.44721359549995787,6,0.8944271909999157
7,0,12,"[1, 2, 4, 6, 8, 9, 11, 12, 15, 16, 18, 19]",0.0745355992499929,1,0.8944271909999147
7,1,6,"[0, 5, 7, 10, 14, 17]",-0.2981423969999719,-4,-1.7888543819998315
7,2,2,"[3, 13]",0.4472135954999581,6,0.8944271909999162
8,0,12,"[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 15, 19]",0.07453559924999306,1,0.8944271909999167
8,1,6,"[1, 3, 11, 13, 16, 18]",-0.29814239699997197,-4,-1.788854381999832
8,2,2,"[14, 17]",0.447213595499958,6,0.894427190999916
9,0,12,"[1, 2, 4, 5, 9, 10, 11, 14, 15, 16, 17, 18]",0.0745355992499931,1,0.8944271909999173
9,1,6,"[3, 6, 8, 12, 13, 19]",-0.2981423969999721,-4,-1.7888543819998324
9,2,2,"[0, 7]",0.44721359549995765,6,0.8944271909999153
10,0,12,"[1, 2, 4, 5, 9, 10, 11, 14, 15, 16, 17, 18]",0.0745355992499931,1,0.8944271909999173
10,1,6,"[3, 6, 8, 12, 13, 19]",-0.2981423969999721,-4,-1.7888543819998324
10,2,2,"[0, 7]",0.44721359549995765,6,0.8944271909999153
11,0,12,"[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 15, 19]",0.07453559924999306,1,0.8944271909999167
11,1,6,"[1, 3, 11, 13, 16, 18]",-0.29814239699997197,-4,-1.788854381999832
11,2,2,"[14, 17]",0.447213595499958,6,0.894427190999916
12,0,12,"[1, 2, 4, 6, 8, 9, 11, 12, 15, 16, 18, 19]",0.0745355992499929,1,0.8944271909999147
12,1,6,"[0, 5, 7, 10, 14, 17]",-0.2981423969999719,-4,-1.7888543819998315
12,2,2,"[3, 13]",0.4472135954999581,6,0.8944271909999162
13,0,12,"[0, 1, 6, 7, 8, 11, 12, 14, 16, 17, 18, 19]",0.074535599249993,1,0.8944271909999161
13,1,6,"[2, 3, 4, 9, 13, 15]",-0.29814239699997197,-4,-1.788854381999832
13,2,2,"[5, 10]",0.44721359549995787,6,0.8944271909999157
14,0,12,"[0, 3, 6, 7, 9, 11, 13, 14, 15, 16, 17, 19]",0.07453559924999294,1,0.8944271909999153
14,1,6,"[1, 5, 8, 10, 12, 18]",-0.2981423969999719,-4,-1.7888543819998315
14,2,2,"[2, 4]",0.44721359549995815,6,0.8944271909999163
15,0,12,"[1, 3, 5, 6, 9, 10, 13, 14, 15, 17, 18, 19]",0.07453559924999288,1,0.8944271909999146
15,1,6,"[0, 2, 4, 7, 11, 16]",-0.29814239699997186,-4,-1.788854381999831
15,2,2,"[8, 12]",0.44721359549995826,6,0.8944271909999165
16,0,12,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 13, 18, 19]",0.07453559924999306,1,0.8944271909999167
16,1,6,"[8, 9, 12, 14, 15, 17]",-0.2981423969999721,-4,-1.7888543819998324
16,2,2,"[11, 16]",0.4472135954999578,6,0.8944271909999156
17,0,12,"[0, 3, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16]",0.07453559924999306,1,0.8944271909999167
17,1,6,"[2, 4, 6, 14, 17, 19]",-0.2981423969999721,-4,-1.7888543819998324
17,2,2,"[1, 18]",0.4472135954999576,6,0.8944271909999152
18,0,12,"[2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 16, 17]",0.07453559924999288,1,0.8944271909999146
18,1,6,"[0, 1, 7, 9, 15, 18]",-0.29814239699997197,-4,-1.788854381999832
18,2,2,"[6, 19]",0.4472135954999581,6,0.8944271909999162
19,0,12,"[0, 1, 2, 3, 4, 7, 8, 12, 13, 14, 17, 18]",0.07453559924999288,1,0.8944271909999146
19,1,6,"[5, 6, 10, 11, 16, 19]",-0.2981423969999719,-4,-1.7888543819998315
19,2,2,"[9, 15]",0.4472135954999582,6,0.8944271909999164
