face_id,orbit_id,orbit_size,axis_face_stabilizer_intersection_order,flux_value,absolute_flux_value,flux_sign
0,2,2,12,0.447213595499957,0.447213595499957,1
1,0,12,2,0.07453559924999287,0.07453559924999287,1
2,0,12,2,0.0745355992499937,0.0745355992499937,1
3,1,6,4,-0.2981423969999719,0.2981423969999719,-1
4,0,12,2,0.07453559924999385,0.07453559924999385,1
5,0,12,2,0.07453559924999228,0.07453559924999228,1
6,1,6,4,-0.29814239699997247,0.29814239699997247,-1
7,2,2,12,0.44721359549995826,0.44721359549995826,1
8,1,6,4,-0.29814239699997164,0.29814239699997164,-1
9,0,12,2,0.07453559924999391,0.07453559924999391,1
10,0,12,2,0.07453559924999228,0.07453559924999228,1
11,0,12,2,0.07453559924999174,0.07453559924999174,1
12,1,6,4,-0.2981423969999721,0.2981423969999721,-1
13,1,6,4,-0.29814239699997236,0.29814239699997236,-1
14,0,12,2,0.07453559924999395,0.07453559924999395,1
15,0,12,2,0.07453559924999408,0.07453559924999408,1
16,0,12,2,0.07453559924999217,0.07453559924999217,1
17,0,12,2,0.07453559924999449,0.07453559924999449,1
18,0,12,2,0.07453559924999177,0.07453559924999177,1
19,1,6,4,-0.29814239699997197,0.29814239699997197,-1
