axis_id,coordinate_0,coordinate_1,coordinate_2,coordinate_3,norm,antipodal_axis_id,exact_stabilizer_order,line_stabilizer_order
0,-0.6934929700486011,-0.3952414458291777,-0.16666666666667043,0.5788557006839029,1.0,19,24,48
1,-0.6779376857883964,0.1664844734010825,-0.6666666666666671,0.26122589814142244,1.0,18,24,48
2,-0.6623824015281956,0.7282103926313328,-0.16666666666666302,-0.056403904401059864,1.0,17,24,48
3,-0.6223394934782116,-0.7619318231460642,0.1666666666666624,-0.06614887721512361,1.0,16,24,48
4,-0.6067842092180069,-0.2002059039158102,0.6666666666666666,-0.3837786797576012,1.0000000000000002,15,24,48
5,-0.5912289249578021,0.36152001531444256,0.16666666666666635,-0.7014084823000855,1.0,14,24,48
6,-0.08670876083059803,-0.1950355419133691,0.16666666666666646,0.9626343804415065,1.0,13,24,48
7,-0.07115347657039066,0.3666903773168874,0.6666666666666674,0.6450045778990257,1.0,12,24,48
8,-0.05559819231018811,0.9284162965471435,0.1666666666666713,0.32737477535654147,0.9999999999999998,11,24,48
9,1.2201117464926673e-15,5.459665909534629e-15,-0.9999999999999999,-2.981651701650188e-15,0.9999999999999999,10,24,48
10,9.106874843585877e-18,1.644855456833868e-17,0.9999999999999999,-1.685820836857346e-17,0.9999999999999999,9,24,48
11,0.055598192310189566,-0.9284162965471426,-0.16666666666666724,-0.327374775356546,0.9999999999999998,8,24,48
12,0.07115347657039692,-0.36669037731688625,-0.6666666666666672,-0.6450045778990258,1.0,7,24,48
13,0.08670876083059781,0.195035541913364,-0.1666666666666631,-0.962634380441508,0.9999999999999999,6,24,48
14,0.5912289249577984,-0.36152001531444655,-0.16666666666666974,0.7014084823000858,1.0,5,24,48
15,0.6067842092180032,0.20020590391581372,-0.6666666666666666,0.38377867975760516,1.0000000000000002,4,24,48
16,0.622339493478208,0.7619318231460664,-0.16666666666666644,0.06614887721512094,1.0,3,24,48
17,0.6623824015281916,-0.7282103926313352,0.1666666666666664,0.05640390440106264,0.9999999999999999,2,24,48
18,0.677937685788399,-0.16648447340107883,0.6666666666666673,-0.261225898141418,1.0000000000000002,1,24,48
19,0.6934929700486043,0.3952414458291734,0.16666666666666707,-0.578855700683903,1.0,0,24,48
