actual_index,orientation_type,character,rounded_character,representation_is_identity,orthogonality_max_abs,subspace_leakage_max_abs
0,preserving,4.0,4,True,8.881784197001252e-16,1.6653345369377348e-16
1,reversing,0.0,0,False,3.8284623794873114e-16,1.3183898417423734e-15
2,preserving,-1.6653345369377348e-16,0,False,3.3306690738754696e-16,1.0269562977782698e-15
3,preserving,-2.220446049250313e-16,0,False,6.661338147750939e-16,1.1102230246251565e-15
4,reversing,-2.0,-2,False,6.661338147750939e-16,1.27675647831893e-15
5,preserving,-1.1102230246251565e-16,0,False,4.0162811446101688e-16,8.881784197001252e-16
6,reversing,-1.9999999999999998,-2,False,4.440892098500626e-16,1.27675647831893e-15
7,reversing,3.885780586188048e-16,0,False,1.1102230246251565e-15,1.3877787807814457e-15
8,reversing,1.1102230246251565e-16,0,False,4.440892098500626e-16,1.27675647831893e-15
9,preserving,-0.9999999999999998,-1,False,6.661338147750939e-16,1.27675647831893e-15
10,reversing,1.0000000000000004,1,False,8.881784197001252e-16,1.4988010832439613e-15
11,reversing,-1.0000000000000002,-1,False,4.114265943348497e-16,1.0581813203458523e-15
12,preserving,-0.9999999999999996,-1,False,4.440892098500626e-16,1.2212453270876722e-15
13,preserving,2.0,2,False,5.551115123125783e-16,1.457167719820518e-15
14,reversing,1.0,1,False,2.796551123853846e-16,1.4710455076283324e-15
15,preserving,-0.9999999999999999,-1,False,4.440892098500626e-16,1.3877787807814457e-15
16,reversing,-5.551115123125783e-16,0,False,7.771561172376096e-16,1.2212453270876722e-15
17,preserving,-1.0000000000000004,-1,False,4.440892098500626e-16,1.1657341758564144e-15
18,reversing,2.220446049250313e-16,0,False,3.3306690738754696e-16,1.2212453270876722e-15
19,preserving,-0.9999999999999997,-1,False,7.771561172376096e-16,1.2212453270876722e-15
20,reversing,4.440892098500626e-16,0,False,6.661338147750939e-16,1.3183898417423734e-15
21,reversing,0.9999999999999999,1,False,8.881784197001252e-16,1.1102230246251565e-15
22,preserving,0.9999999999999999,1,False,8.881784197001252e-16,1.3808398868775384e-15
23,preserving,3.885780586188048e-16,0,False,6.661338147750939e-16,1.6653345369377348e-15
24,reversing,9.71445146547012e-16,0,False,9.992007221626409e-16,1.942890293094024e-15
25,preserving,-1.0000000000000002,-1,False,3.151406589669156e-16,1.1102230246251565e-15
26,preserving,-1.0000000000000009,-1,False,6.661338147750939e-16,1.6237011735142914e-15
27,reversing,0.0,0,False,4.440892098500626e-16,1.5334955527634975e-15
28,preserving,-3.5388358909926865e-16,0,False,4.007200816726684e-16,1.3704315460216776e-15
29,reversing,-1.3877787807814457e-16,0,False,6.661338147750939e-16,1.3322676295501878e-15
30,reversing,1.0,1,False,3.3306690738754696e-16,1.3877787807814457e-15
31,preserving,1.0000000000000004,1,False,6.661338147750939e-16,1.3322676295501878e-15
32,preserving,-0.9999999999999998,-1,False,5.551115123125783e-16,1.4988010832439613e-15
33,reversing,-3.3306690738754696e-16,0,False,7.771561172376096e-16,1.3634926521177704e-15
34,preserving,-1.0000000000000004,-1,False,4.440892098500626e-16,1.1657341758564144e-15
35,preserving,-0.9999999999999998,-1,False,8.881784197001252e-16,1.5230872119076366e-15
36,reversing,1.0000000000000002,1,False,7.771561172376096e-16,1.1657341758564144e-15
37,preserving,2.0000000000000004,2,False,6.661338147750939e-16,1.3010426069826053e-15
