probe_id,edge_field_norm,potential_norm,gauge_shift_norm,exact_norm,harmonic_norm,coexact_norm,curvature_norm,gauge_curvature_max_abs,exact_shift_max_abs,harmonic_invariance_max_abs,coexact_invariance_max_abs,gauge_fixed_representative_max_abs,gauge_fixed_divergence_max_abs,curvature_from_coexact_only_max_abs,gauge_orbit_reconstruction_max_abs,constant_potential_null_max_abs,all_checks_pass
0,10.2922701282588,7.464779037513465,12.993086873888975,6.063819475359983,6.304574637210657,5.42339897178269,18.011610414505892,1.7763568394002505e-15,5.162537064506978e-15,6.050715484207103e-15,8.881784197001252e-16,4.9960036108132044e-15,6.661338147750939e-15,6.439293542825908e-15,6.661338147750939e-16,0.0,True
1,10.476549830779323,9.320606757467232,20.42074569777179,6.911880472492189,6.821952948452833,3.930007971986718,12.988233904953352,1.7763568394002505e-15,8.881784197001252e-15,8.604228440844963e-15,1.5543122344752192e-15,8.631984016460592e-15,4.773959005888173e-15,8.132383655379272e-15,4.440892098500626e-16,0.0,True
2,10.837723816150666,9.054463022856831,18.615423871427012,7.725712481358577,6.73231324570004,3.5278297198577273,12.895687383609586,1.7763568394002505e-15,6.439293542825908e-15,6.772360450213455e-15,9.43689570931383e-16,6.494804694057166e-15,4.884981308350689e-15,5.329070518200751e-15,4.440892098500626e-16,0.0,True
3,11.317224589672074,6.754055017810289,13.642284362141288,8.223027499875208,6.973875870577251,3.438960088624865,12.591040671482958,1.7763568394002505e-15,1.021405182655144e-14,1.021405182655144e-14,1.1657341758564144e-15,9.769962616701378e-15,6.439293542825908e-15,7.105427357601002e-15,6.661338147750939e-16,0.0,True
4,11.596093442212407,6.702495865074075,12.98608835433495,8.815792285452138,6.2121092187852325,4.261559404040704,14.614606734672892,1.3322676295501878e-15,5.551115123125783e-15,4.9960036108132044e-15,6.661338147750939e-16,5.440092820663267e-15,5.995204332975845e-15,1.0658141036401503e-14,5.551115123125783e-16,0.0,True
5,11.414868179130787,8.034979307474353,15.93117021253493,8.209313590405031,6.756605408536846,4.153874008038094,14.723073321071512,1.3322676295501878e-15,4.6629367034256575e-15,4.440892098500626e-15,8.326672684688674e-16,4.884981308350689e-15,6.966649479522857e-15,8.881784197001252e-15,8.881784197001252e-16,0.0,True
6,10.86592603401201,6.966427443811851,14.173874680268613,8.003377613645696,5.989939371868575,4.258511673267274,14.724330942067843,1.9984014443252818e-15,5.551115123125783e-15,5.662137425588298e-15,7.771561172376096e-16,5.495603971894525e-15,5.717648576819556e-15,1.0658141036401503e-14,5.551115123125783e-16,0.0,True
7,10.117043109912709,6.465707836101795,12.357657704705638,7.573785147633551,5.375026194059887,4.012659123136151,14.095667443618769,1.5543122344752192e-15,3.552713678800501e-15,3.608224830031759e-15,7.771561172376096e-16,3.552713678800501e-15,6.661338147750939e-15,7.993605777301127e-15,4.440892098500626e-16,0.0,True
8,11.097314225068992,7.398181485952821,14.513430730342286,7.728391652327154,6.888338597784274,3.996640694437519,14.23453734124588,1.7763568394002505e-15,5.329070518200751e-15,5.9674487573602164e-15,1.2212453270876722e-15,6.175615574477433e-15,5.440092820663267e-15,5.329070518200751e-15,8.881784197001252e-16,0.0,True
9,10.909514671671486,8.090738534083956,15.606366586053847,7.376593402592697,6.772946863856285,4.327882960942989,15.112866980810216,1.7763568394002505e-15,5.995204332975845e-15,6.439293542825908e-15,8.326672684688674e-16,5.828670879282072e-15,8.93729534823251e-15,6.106226635438361e-15,5.551115123125783e-16,0.0,True
10,10.827876012234796,7.237354119134461,14.935729738712263,6.473970028789168,6.98220384854454,5.155525232218255,18.762607591833294,1.7763568394002505e-15,6.439293542825908e-15,6.5503158452884236e-15,6.661338147750939e-16,6.439293542825908e-15,6.217248937900877e-15,1.021405182655144e-14,4.440892098500626e-16,0.0,True
11,10.682895635892159,8.35778066641494,17.2427352914495,7.836698067625559,6.146325257506712,3.8643380278092367,13.815741827670884,1.7763568394002505e-15,5.995204332975845e-15,5.440092820663267e-15,8.604228440844963e-16,5.88418203051333e-15,5.440092820663267e-15,1.1546319456101628e-14,8.881784197001252e-16,0.0,True
