mode_id,norm,sum,mean,minimum,maximum,pivot_edge,pivot_value,support_above_1e_12,divergence_max_abs,curl_max_abs,laplacian_max_abs
0,1.0,0.40740885785471587,0.0033950738154559655,-0.2808555169889365,0.325796723161261,1,0.325796723161261,120,8.604228440844963e-16,1.5681900222830336e-15,3.6463887465032485e-15
1,0.9999999999999999,0.8762981398557661,0.007302484498798051,-0.20011286018126362,0.2609348766114407,2,0.2609348766114407,119,7.91033905045424e-16,5.134781488891349e-16,1.3322676295501878e-15
2,0.9999999999999998,-0.7871195249674393,-0.006559329374728661,-0.2559509805356975,0.30154332398426825,64,0.30154332398426825,120,5.93275428784068e-16,4.38451358553138e-16,1.7277845820728999e-15
3,0.9999999999999997,0.5578982217321157,0.00464915184776763,-0.22015041978878433,0.273186751767104,62,0.273186751767104,119,6.106226635438361e-16,7.424616477180734e-16,1.797173521111972e-15
4,0.9999999999999999,0.24008485527134116,0.0020007071272611764,-0.2235353978547649,0.24660305096074736,34,0.24660305096074736,119,8.049116928532385e-16,6.38378239159465e-16,2.0435042547006788e-15
5,0.9999999999999994,-0.20728530399961342,-0.0017273775333301118,-0.22762074699169646,0.2475146040463044,52,0.2475146040463044,119,1.3600232051658168e-15,8.881784197001252e-16,2.6575963651964685e-15
6,0.9999999999999997,0.559647950804318,0.004663732923369316,-0.2664433098919423,0.2771570403973557,79,0.2771570403973557,119,1.0824674490095276e-15,1.817990202823694e-15,3.969047313034935e-15
7,0.9999999999999992,0.19605583259642895,0.0016337986049702413,-0.21611212157576135,0.2505279236595884,114,0.2505279236595884,119,8.604228440844963e-16,8.049116928532385e-16,2.55351295663786e-15
8,0.9999999999999997,-0.12395983226327478,-0.0010329986021939566,-0.1971102563881667,0.29385733951732806,55,0.29385733951732806,119,4.996003610813204e-16,7.91033905045424e-16,1.9984014443252818e-15
9,0.9999999999999998,0.5177673533609111,0.004314727944674259,-0.22859452611476155,0.2557849903361214,61,0.2557849903361214,119,5.854691731421724e-16,7.28583859910259e-16,1.7555401576885288e-15
10,0.9999999999999996,0.2790781968507218,0.002325651640422682,-0.22242740452046184,0.228152022902166,75,0.228152022902166,119,7.077671781985373e-16,3.95516952522712e-16,1.2906342661267445e-15
11,0.9999999999999999,0.7027702294743194,0.005856418578952662,-0.2219901671572693,0.2674066979142434,94,0.2674066979142434,119,6.591949208711867e-16,4.718447854656915e-16,1.169203622808368e-15
12,1.0,0.21693007431388373,0.0018077506192823644,-0.21666474576763817,0.2477599737979002,52,0.2477599737979002,119,9.43689570931383e-16,1.1796119636642288e-15,3.2682190287403046e-15
13,0.9999999999999994,-0.9532786331188179,-0.007943988609323483,-0.2045607452628304,0.36640572038273045,27,0.36640572038273045,119,1.096345236817342e-15,1.2420620087993939e-15,4.139050213680662e-15
14,0.9999999999999996,-0.3109763648264726,-0.0025914697068872717,-0.31450169264543326,0.3251774597860343,106,0.3251774597860343,120,4.85722573273506e-16,3.885780586188048e-16,1.4432899320127035e-15
15,0.9999999999999998,0.29660088503297444,0.0024716740419414534,-0.30527723621774205,0.32731925404287254,41,0.32731925404287254,120,8.049116928532385e-16,4.978656376053436e-16,1.6653345369377348e-15
16,1.0,-0.10406957578490605,-0.0008672464648742171,-0.23735674963511996,0.31285536639282063,29,0.31285536639282063,119,7.077671781985373e-16,8.98586760555986e-16,1.5508427875232655e-15
17,0.9999999999999999,-0.7354441821896575,-0.006128701518247145,-0.2626460017033904,0.2741458461413206,108,0.2741458461413206,119,6.800116025829084e-16,6.38378239159465e-16,1.6930901125533637e-15
18,0.9999999999999997,0.12316322620158271,0.0010263602183465225,-0.2414475623615174,0.2770233822588321,45,0.2770233822588321,119,8.465450562766819e-16,6.574601973952099e-16,1.6930901125533637e-15
19,0.9999999999999999,0.6545357010257763,0.005454464175214803,-0.22502493207800972,0.24480626511709783,30,0.24480626511709783,119,5.273559366969494e-16,7.424616477180734e-16,1.5334955527634975e-15
20,0.9999999999999994,0.4442338353125005,0.003701948627604171,-0.26008794752043735,0.28872841663022136,81,0.28872841663022136,119,6.765421556309548e-16,4.996003610813204e-16,1.3877787807814457e-15
21,1.0000000000000004,0.04262853484380241,0.0003552377903650201,-0.20984330356616246,0.26843817334365416,92,0.26843817334365416,119,5.342948306008566e-16,7.077671781985373e-16,1.8457457784393227e-15
22,1.0,-0.1133066452698997,-0.0009442220439158308,-0.23186293916503234,0.2662682900744808,69,0.2662682900744808,119,6.453171330633722e-16,1.0130785099704553e-15,1.817990202823694e-15
23,1.0,0.17063689230787715,0.001421974102565643,-0.24871954331065768,0.28558512229906247,80,0.28558512229906247,119,5.551115123125783e-16,7.077671781985373e-16,1.5751289161869408e-15
24,1.0000000000000002,0.28624655348354106,0.0023853879456961755,-0.26813167292977746,0.3110939836618264,119,0.3110939836618264,119,5.273559366969494e-16,7.494005416219807e-16,1.824929096727601e-15
25,0.9999999999999996,0.06928284966715786,0.0005773570805596488,-0.23497473254429527,0.2689525066781697,21,0.2689525066781697,119,7.91033905045424e-16,4.163336342344337e-16,2.1094237467877974e-15
26,0.9999999999999999,-0.7164367463790677,-0.005970306219825565,-0.20313743464385509,0.28542124101881794,51,0.28542124101881794,119,6.106226635438361e-16,1.0685896612017132e-15,2.0122792321330962e-15
