actual_index,actual_order,actual_cycle_type,s5_permutation,d8_rotation,d8_flip,orientation_type,character,rounded_character,representation_is_identity
0,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 1 2 3 4,0,0,preserving,41.99999999999999,42,True
1,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 2 1 0 4,0,1,reversing,1.27675647831893e-15,0,False
2,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 3 0 1 4,2,0,preserving,-10.0,-10,False
3,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 2 3 0 4,1,0,preserving,1.2351231148954867e-15,0,False
4,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 3 2 1 4,1,1,reversing,-1.6653345369377348e-15,0,False
5,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 0 1 2 4,3,0,preserving,4.3021142204224816e-16,0,False
6,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,2 1 0 3 4,3,1,reversing,5.551115123125783e-16,0,False
7,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 3 2 4,2,1,reversing,0.0,0,False
8,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 1 0 4 3,0,1,reversing,-2.255140518769849e-16,0,False
9,5,5 5 5 5 5 5 5 5 5 5 5 5,4 0 1 2 3,0,0,preserving,1.9999999999999993,2,False
10,6,6 6 6 6 6 6 6 6 6 3 3,1 0 4 2 3,3,1,reversing,1.6653345369377348e-15,0,False
11,6,6 6 6 6 6 6 6 6 6 6,0 4 2 1 3,2,1,reversing,-9.992007221626409e-16,0,False
12,10,10 10 10 10 10 10,1 2 4 0 3,2,0,preserving,1.9999999999999991,2,False
13,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 1 2 4 3,1,0,preserving,1.8041124150158794e-16,0,False
14,6,6 6 6 6 6 6 6 6 6 3 3,4 2 1 0 3,1,1,reversing,-8.743006318923108e-16,0,False
15,12,12 12 12 12 12,2 4 0 1 3,3,0,preserving,-1.1136924715771102e-15,0,False
16,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,1 0 4 3 2,0,1,reversing,-6.522560269672795e-16,0,False
17,5,5 5 5 5 5 5 5 5 5 5 5 5,3 4 0 1 2,0,0,preserving,1.999999999999999,2,False
18,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 1 0 4 2,1,1,reversing,2.6575963651964685e-15,0,False
19,12,12 12 12 12 12,1 3 4 0 2,3,0,preserving,-7.771561172376096e-16,0,False
20,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 3 1 2,3,1,reversing,-1.096345236817342e-15,0,False
21,10,10 10 10 10 10 10,4 3 1 0 2,2,1,reversing,5.273559366969494e-16,0,False
22,6,6 6 6 6 6 6 6 6 6 6,0 1 3 4 2,2,0,preserving,1.0269562977782698e-15,0,False
23,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 0 1 3 2,1,0,preserving,-2.0816681711721685e-16,0,False
24,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 4 3 2 1,0,1,reversing,9.992007221626409e-16,0,False
25,5,5 5 5 5 5 5 5 5 5 5 5 5,2 3 4 0 1,0,0,preserving,1.9999999999999993,2,False
26,12,12 12 12 12 12,3 4 0 2 1,1,0,preserving,-8.881784197001252e-16,0,False
27,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 0 4 3 1,1,1,reversing,2.220446049250313e-16,0,False
28,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 2 3 4 1,3,0,preserving,-3.885780586188048e-16,0,False
29,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 3 2 0 1,3,1,reversing,-1.0269562977782698e-15,0,False
30,10,10 10 10 10 10 10,3 2 0 4 1,2,1,reversing,-6.106226635438361e-16,0,False
31,6,6 6 6 6 6 6 6 6 6 6,4 0 2 3 1,2,0,preserving,3.885780586188048e-16,0,False
32,5,5 5 5 5 5 5 5 5 5 5 5 5,1 2 3 4 0,0,0,preserving,1.9999999999999993,2,False
33,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,4 3 2 1 0,0,1,reversing,1.8735013540549517e-16,0,False
34,10,10 10 10 10 10 10,3 4 1 2 0,2,0,preserving,1.9999999999999993,2,False
35,12,12 12 12 12 12,2 3 4 1 0,1,0,preserving,-3.191891195797325e-16,0,False
36,6,6 6 6 6 6 6 6 6 6 3 3,1 4 3 2 0,1,1,reversing,-1.0547118733938987e-15,0,False
37,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 1 2 3 0,3,0,preserving,9.71445146547012e-17,0,False
38,6,6 6 6 6 6 6 6 6 6 3 3,3 2 1 4 0,3,1,reversing,8.049116928532385e-16,0,False
39,6,6 6 6 6 6 6 6 6 6 6,2 1 4 3 0,2,1,reversing,7.216449660063518e-16,0,False
40,10,10 10 10 10 10 10,3 4 0 1 2,0,1,reversing,6.591949208711867e-16,0,False
41,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,1 0 4 3 2,0,0,preserving,1.9999999999999987,2,False
42,6,6 6 6 6 6 6 6 6 6 6,0 1 3 4 2,2,1,reversing,-1.1657341758564144e-15,0,False
43,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 0 1 3 2,3,1,reversing,-1.0408340855860843e-17,0,False
44,6,6 6 6 6 6 6 6 6 6 3 3,1 3 4 0 2,1,1,reversing,1.249000902703301e-16,0,False
45,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 1 0 4 2,3,0,preserving,1.2628786905111156e-15,0,False
46,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,0 4 3 1 2,1,0,preserving,-6.938893903907228e-16,0,False
47,10,10 10 10 10 10 10,4 3 1 0 2,2,0,preserving,2.0000000000000004,2,False
48,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 4 3 2 1,0,0,preserving,1.9999999999999996,2,False
49,10,10 10 10 10 10 10,2 3 4 0 1,0,1,reversing,2.983724378680108e-16,0,False
50,10,10 10 10 10 10 10,3 2 0 4 1,2,0,preserving,1.999999999999998,2,False
51,6,6 6 6 6 6 6 6 6 6 6,4 0 2 3 1,2,1,reversing,-3.885780586188048e-16,0,False
52,6,6 6 6 6 6 6 6 6 6 3 3,3 4 0 2 1,3,1,reversing,5.551115123125783e-16,0,False
53,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 2 3 4 1,1,1,reversing,1.1102230246251565e-16,0,False
54,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,2 0 4 3 1,3,0,preserving,1.0269562977782698e-15,0,False
55,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,4 3 2 0 1,1,0,preserving,-8.604228440844963e-16,0,False
56,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,4 3 2 1 0,0,0,preserving,1.9999999999999996,2,False
57,10,10 10 10 10 10 10,1 2 3 4 0,0,1,reversing,3.0531133177191805e-16,0,False
58,12,12 12 12 12 12,3 2 1 4 0,1,0,preserving,-1.8041124150158794e-16,0,False
