class_id,class_size,representative_index,representative_order,representative_cycle_type,s5_permutation,d8_rotation,d8_flip,harmonic_character
0,1,0,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 1 2 3 4,0,0,41.99999999999999
1,1,326,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 1 2 3 4,2,0,-17.999999999999993
2,2,65,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 1 2 3 4,0,1,-1.5126788710517758e-15
3,15,2,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,2 3 0 1 4,2,0,-10.0
4,15,41,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,1 0 4 3 2,0,0,1.9999999999999987
5,20,4,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,0 3 2 1 4,1,1,-1.6653345369377348e-15
6,20,13,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 1 2 4 3,1,0,1.8041124150158794e-16
7,20,22,6,6 6 6 6 6 6 6 6 6 6,0 1 3 4 2,2,0,1.0269562977782698e-15
8,20,82,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0 1 3 4 2,0,0,-3.885780586188048e-16
9,24,9,5,5 5 5 5 5 5 5 5 5 5 5 5,4 0 1 2 3,0,0,1.9999999999999993
10,24,12,10,10 10 10 10 10 10,1 2 4 0 3,2,0,1.9999999999999991
11,24,21,10,10 10 10 10 10 10,4 3 1 0 2,2,1,5.273559366969494e-16
12,24,57,10,10 10 10 10 10 10,1 2 3 4 0,0,1,3.0531133177191805e-16
13,30,1,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 2 1 0 4,0,1,1.27675647831893e-15
14,40,10,6,6 6 6 6 6 6 6 6 6 3 3,1 0 4 2 3,3,1,1.6653345369377348e-15
15,40,11,6,6 6 6 6 6 6 6 6 6 6,0 4 2 1 3,2,1,-9.992007221626409e-16
16,40,15,12,12 12 12 12 12,2 4 0 1 3,3,0,-1.1136924715771102e-15
17,60,3,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 2 3 0 4,1,0,1.2351231148954867e-15
18,60,18,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,3 1 0 4 2,1,1,2.6575963651964685e-15
