actual_index,orientation_type,edge_positive_count,edge_negative_count,face_positive_count,face_negative_count,b1_chain_max_abs,b2_chain_max_abs,delta1_commutation_max_abs,p_exact_commutation_max_abs,p_harmonic_commutation_max_abs,p_coexact_commutation_max_abs,all_checks_pass
0,preserving,120,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,True
1,reversing,64,56,0,20,0.0,0.0,0.0,1.7208456881689926e-15,1.7763568394002505e-15,6.938893903907228e-16,True
2,preserving,58,62,20,0,0.0,0.0,0.0,9.43689570931383e-16,1.1102230246251565e-15,5.551115123125783e-16,True
3,preserving,54,66,20,0,0.0,0.0,0.0,1.27675647831893e-15,1.3877787807814457e-15,6.938893903907228e-16,True
4,reversing,70,50,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.3322676295501878e-15,5.551115123125783e-16,True
5,preserving,54,66,20,0,0.0,0.0,0.0,1.27675647831893e-15,1.3877787807814457e-15,6.938893903907228e-16,True
6,reversing,66,54,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.5543122344752192e-15,2.7755575615628914e-16,True
7,reversing,56,64,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.3322676295501878e-15,4.163336342344337e-16,True
8,reversing,64,56,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.887379141862766e-15,5.551115123125783e-16,True
9,preserving,96,24,20,0,0.0,0.0,0.0,1.6653345369377348e-15,1.7208456881689926e-15,4.163336342344337e-16,True
10,reversing,62,58,0,20,0.0,0.0,0.0,1.609823385706477e-15,1.887379141862766e-15,4.163336342344337e-16,True
11,reversing,60,60,0,20,0.0,0.0,0.0,1.609823385706477e-15,1.887379141862766e-15,5.551115123125783e-16,True
12,preserving,72,48,20,0,0.0,0.0,0.0,1.6653345369377348e-15,1.7208456881689926e-15,4.163336342344337e-16,True
13,preserving,56,64,20,0,0.0,0.0,0.0,1.7763568394002505e-15,2.0539125955565396e-15,5.551115123125783e-16,True
14,reversing,64,56,0,20,0.0,0.0,0.0,1.1657341758564144e-15,1.27675647831893e-15,3.885780586188048e-16,True
15,preserving,64,56,20,0,0.0,0.0,0.0,1.7763568394002505e-15,2.0539125955565396e-15,3.3306690738754696e-16,True
16,reversing,64,56,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,4.996003610813204e-16,True
17,preserving,96,24,20,0,0.0,0.0,0.0,1.8318679906315083e-15,1.9984014443252818e-15,4.163336342344337e-16,True
18,reversing,60,60,0,20,0.0,0.0,0.0,1.4988010832439613e-15,1.3877787807814457e-15,6.106226635438361e-16,True
19,preserving,56,64,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,4.440892098500626e-16,True
20,reversing,66,54,0,20,0.0,0.0,0.0,1.27675647831893e-15,1.6653345369377348e-15,4.163336342344337e-16,True
21,reversing,54,66,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,4.440892098500626e-16,True
22,preserving,58,62,20,0,0.0,0.0,0.0,1.8318679906315083e-15,1.9984014443252818e-15,6.106226635438361e-16,True
23,preserving,52,68,20,0,0.0,0.0,0.0,1.7208456881689926e-15,2.1094237467877974e-15,4.996003610813204e-16,True
24,reversing,56,64,0,20,0.0,0.0,0.0,1.1102230246251565e-15,1.27675647831893e-15,3.608224830031759e-16,True
25,preserving,96,24,20,0,0.0,0.0,0.0,1.8318679906315083e-15,1.9984014443252818e-15,4.163336342344337e-16,True
26,preserving,56,64,20,0,0.0,0.0,0.0,1.5543122344752192e-15,1.7763568394002505e-15,4.163336342344337e-16,True
27,reversing,64,56,0,20,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,4.163336342344337e-16,True
28,preserving,54,66,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.4432899320127035e-15,4.163336342344337e-16,True
29,reversing,64,56,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.4988010832439613e-15,3.608224830031759e-16,True
30,reversing,52,68,0,20,0.0,0.0,0.0,1.7763568394002505e-15,1.887379141862766e-15,4.163336342344337e-16,True
31,preserving,64,56,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,3.608224830031759e-16,True
32,preserving,96,24,20,0,0.0,0.0,0.0,1.6653345369377348e-15,1.7208456881689926e-15,4.163336342344337e-16,True
33,reversing,56,64,0,20,0.0,0.0,0.0,1.5543122344752192e-15,1.4988010832439613e-15,3.3306690738754696e-16,True
34,preserving,66,54,20,0,0.0,0.0,0.0,1.1102230246251565e-15,1.2212453270876722e-15,4.163336342344337e-16,True
