probe_id,raw_source_norm,exact_source_norm,harmonic_source_norm,coexact_source_norm,coexact_response_norm,mixed_response_norm,mixed_residual_norm,curvature_norm,coexact_exact_solution_max_abs,coexact_response_stays_coexact_max_abs,coexact_response_divergence_max_abs,harmonic_response_zero_max_abs,harmonic_residual_equals_source_max_abs,mixed_residual_equals_harmonic_max_abs,mixed_response_equals_coexact_response_max_abs,minimum_norm_orthogonal_to_kernel_max_abs,source_decomposition_max_abs,curvature_response_consistency_max_abs,all_checks_pass
0,10.20157946755091,6.7225869526897695,5.876109222566124,4.93461130189146,0.37724594847259935,0.37724594847259846,5.876109222566124,1.3184921161308711,2.67841304690819e-15,8.673617379884035e-17,9.71445146547012e-17,3.0531133177191805e-15,4.551914400963142e-15,4.107825191113079e-15,3.1502578323738817e-15,2.1163626406917047e-16,4.440892098500626e-16,2.0539125955565396e-15,True
1,10.4811489679142,7.262232501056137,6.4573215494223914,3.926507506115067,0.281399365533583,0.2813993655335826,6.457321549422393,1.0375964171641918,1.908195823574488e-15,8.326672684688674e-17,1.3010426069826053e-16,3.774758283725532e-15,5.551115123125783e-15,6.439293542825908e-15,3.913536161803677e-15,1.9168694409543718e-16,4.440892098500626e-16,1.7763568394002505e-15,True
2,10.546218392097124,7.618248375204486,5.917767417467181,4.262046792359939,0.34253479399861975,0.34253479399861964,5.917767417467181,1.1813660887203004,2.1094237467877974e-15,7.632783294297951e-17,1.3530843112619095e-16,2.8033131371785203e-15,4.579669976578771e-15,4.6629367034256575e-15,2.9837243786801082e-15,2.2898349882893854e-16,4.440892098500626e-16,1.27675647831893e-15,True
3,11.330997021768603,8.067196042201855,6.21970241576366,4.962574269807498,0.4699759312521888,0.4699759312521878,6.21970241576366,1.4453783271543537,2.6645352591003757e-15,1.249000902703301e-16,1.5265566588595902e-16,4.0245584642661925e-15,4.218847493575595e-15,4.3298697960381105e-15,3.862361819262361e-15,2.949029909160572e-16,4.440892098500626e-16,2.6645352591003757e-15,True
4,9.944458949205604,7.008660428841493,5.686346375940061,4.175692478914143,0.3489024384867649,0.34890243848676483,5.686346375940062,1.1685174554396405,2.581268532253489e-15,9.020562075079397e-17,9.020562075079397e-17,2.501471252358556e-15,2.55351295663786e-15,3.3306690738754696e-15,2.6194324487249787e-15,1.9168694409543718e-16,3.3306690738754696e-16,1.7208456881689926e-15,True
5,10.878431046705666,7.837985168977008,6.1316931785730135,4.3941539905501,0.5546951149275621,0.5546951149275609,6.131693178573014,1.493619248287797,2.3869795029440866e-15,1.457167719820518e-16,1.6653345369377348e-16,2.4702462297909733e-15,4.218847493575595e-15,5.329070518200751e-15,2.5673907444456745e-15,4.3021142204224816e-16,7.771561172376096e-16,2.220446049250313e-15,True
6,10.502243222022338,7.596200530000395,6.156786484022032,3.8326009957598597,0.32746939076576614,0.32746939076576564,6.1567864840220325,1.0711791988860389,2.6645352591003757e-15,1.0234868508263162e-16,1.1622647289044608e-16,2.8033131371785203e-15,4.440892098500626e-15,4.440892098500626e-15,2.9004576518332215e-15,2.393918396847994e-16,5.551115123125783e-16,1.942890293094024e-15,True
7,10.231191608198959,7.02411350245367,5.735510768520556,4.7374072500169975,0.45045915980027407,0.45045915980027307,5.735510768520556,1.3910476721828016,2.7755575615628914e-15,1.1102230246251565e-16,1.249000902703301e-16,3.1884217488453714e-15,3.774758283725532e-15,3.941291737419306e-15,3.008877869081772e-15,2.688821387764051e-16,3.885780586188048e-16,1.887379141862766e-15,True
8,9.425117532483341,7.072820777113232,5.125375003990508,3.540985431264799,0.4108591523935053,0.41085915239350507,5.125375003990508,1.1466552645247945,1.6653345369377348e-15,7.632783294297951e-17,1.5785983631388945e-16,3.747002708109903e-15,4.191091917959966e-15,4.9960036108132044e-15,3.769120432428608e-15,2.1510571102112408e-16,4.996003610813204e-16,1.27675647831893e-15,True
9,12.209750546721601,8.610910674205122,6.90286956382721,5.223085061418846,0.6668232184567071,0.6668232184567056,6.902869563827209,1.8070580512098755,2.9976021664879227e-15,1.3877787807814457e-16,4.3021142204224816e-16,3.337607967779377e-15,4.884981308350689e-15,5.551115123125783e-15,3.3029134982598407e-15,3.191891195797325e-16,6.661338147750939e-16,2.4424906541753444e-15,True
10,12.523251447590347,7.960525628726857,8.247679465349373,5.043574324902022,0.605245424780148,0.6052454247801459,8.247679465349373,1.6805079761848885,3.885780586188048e-15,2.0816681711721685e-16,2.498001805406602e-16,3.858025010572419e-15,5.162537064506978e-15,5.440092820663267e-15,4.152928001488476e-15,3.5648567431323386e-16,4.440892098500626e-16,3.4416913763379853e-15,True
11,10.578028381046872,6.341570904349739,7.396168311117682,4.120176841951884,0.37394527386627147,0.3739452738662709,7.396168311117681,1.1952962144521402,1.3912482277333993e-15,6.245004513516506e-17,1.3530843112619095e-16,4.6351811278100286e-15,5.551115123125783e-15,6.439293542825908e-15,4.6221707017402025e-15,2.437286483747414e-16,8.881784197001252e-16,1.942890293094024e-15,True
12,10.975502944192138,7.8079838587939685,6.495604337912684,4.159828989763048,0.4723210903531562,0.4723210903531557,6.495604337912684,1.3505760579324682,1.887379141862766e-15,8.326672684688674e-17,1.3704315460216776e-16,3.497202527569243e-15,4.773959005888173e-15,5.218048215738236e-15,3.5110803153770576e-15,2.3245294578089215e-16,5.551115123125783e-16,1.4988010832439613e-15,True
13,10.74527294324315,6.454402333123381,6.533257723611416,5.578362184713046,0.4975968219006601,0.4975968219006596,6.533257723611418,1.5870139105630092,2.886579864025407e-15,1.1102230246251565e-16,1.5265566588595902e-16,3.247402347028583e-15,4.218847493575595e-15,3.83026943495679e-15,3.344546861683284e-15,2.636779683484747e-16,4.440892098500626e-16,2.3314683517128287e-15,True
14,10.288459723060353,6.6799101028088375,6.88068006037447,3.7265864270391886,0.3129386560189031,0.3129386560189026,6.88068006037447,1.0579264337418015,1.3877787807814457e-15,6.245004513516506e-17,9.71445146547012e-17,2.914335439641036e-15,3.941291737419306e-15,5.329070518200751e-15,2.8449465006019636e-15,2.8102520310824275e-16,5.551115123125783e-16,1.9984014443252818e-15,True
15,11.545552456457324,8.084132596936932,7.305437459076033,3.8180053969943817,0.4193670441076276,0.4193670441076267,7.305437459076033,1.2086859015659799,1.942890293094024e-15,9.71445146547012e-17,1.8735013540549517e-16,2.3869795029440866e-15,4.218847493575595e-15,4.218847493575595e-15,2.6367796834847468e-15,2.2898349882893854e-16,6.661338147750939e-16,1.942890293094024e-15,True
16,10.950957383665067,7.254569657770011,6.7609319995115325,4.645910588613618,0.5085156550715058,0.5085156550715052,6.7609319995115325,1.4708908616803655,2.6645352591003757e-15,1.1102230246251565e-16,1.8041124150158794e-16,4.718447854656915e-15,5.10702591327572e-15,4.274358644806853e-15,4.524158825347513e-15,2.3071822230491534e-16,6.661338147750939e-16,2.1094237467877974e-15,True
17,11.69492389347626,7.735319211298437,7.7669978128265225,4.075515494887392,0.46814701352764393,0.46814701352764376,7.766997812826523,1.331560065508793,2.220446049250313e-15,1.3877787807814457e-16,1.734723475976807e-16,5.218048215738236e-15,5.10702591327572e-15,5.773159728050814e-15,5.1295773184634186e-15,2.8796409701215e-16,5.551115123125783e-16,2.0261570199409107e-15,True
18,10.971775118356629,7.806037345897167,6.780185515251167,3.670792091773466,0.3815675653270144,0.38156756532701325,6.780185515251167,1.123891335142097,2.3314683517128287e-15,1.3877787807814457e-16,9.107298248878237e-17,2.338407245616736e-15,4.6629367034256575e-15,4.773959005888173e-15,2.4251434194155763e-15,2.3592239273284576e-16,6.938893903907228e-16,2.55351295663786e-15,True
19,11.213150363225392,7.704570713823162,6.8493922457989145,4.411366800345433,0.34507882392219874,0.3450788239221981,6.8493922457989145,1.193285524356046,2.192690473634684e-15,1.3877787807814457e-16,1.3183898417423734e-16,3.219646771412954e-15,4.3298697960381105e-15,4.551914400963142e-15,3.226585665316861e-15,2.3592239273284576e-16,4.718447854656915e-16,1.887379141862766e-15,True
20,10.509842365734556,6.686486077688353,6.762191417352505,4.474422613092424,0.4255350946653478,0.42553509466534756,6.762191417352506,1.3307738050249074,2.1094237467877974e-15,5.724587470723463e-17,2.3592239273284576e-16,3.469446951953614e-15,4.3298697960381105e-15,4.9960036108132044e-15,3.4850594632374055e-15,2.2985086056692694e-16,5.551115123125783e-16,2.123301534595612e-15,True
21,10.560433669650958,7.466049082278936,6.481313965037067,3.711258503353674,0.3739025442974418,0.3739025442974412,6.481313965037068,1.1279695966428167,1.5543122344752192e-15,9.020562075079397e-17,1.1102230246251565e-16,3.858025010572419e-15,4.3298697960381105e-15,4.6629367034256575e-15,3.885780586188048e-15,1.8388068845354155e-16,4.996003610813204e-16,2.220446049250313e-15,True
