pair_id,six_a_coordinate,six_b_coordinate,source_coordinate_norm,source_edge_norm,response_edge_norm,face_flux_norm,positive_face_count,negative_face_count,zero_face_count,maximum_face_id,maximum_face_value,minimum_face_id,minimum_face_value,face_flux_sum,source_in_target_four_max_abs,source_is_coexact_max_abs,source_has_no_harmonic_part_max_abs,static_equation_max_abs,response_is_coexact_max_abs,response_divergence_max_abs,face_flux_zero_sum_max_abs,face_flux_reconstruction_max_abs,all_checks_pass
0,0,0,0.16593789249527013,0.16593789249527013,0.016593789249527046,0.052474169041321586,8,12,0,11,0.01912214401423907,8,-0.016320710632605644,1.0408340855860843e-17,3.187554387107383e-16,5.551115123125783e-17,5.117434254131581e-17,8.673617379884035e-17,4.336808689942018e-18,7.15573433840433e-18,1.0408340855860843e-17,0.0,True
1,0,1,0.13324400948441348,0.13324400948441348,0.013324400948441355,0.04213545545438246,10,10,0,18,0.013778938013844383,4,-0.01773880796803592,1.3010426069826053e-18,2.7755575615628914e-17,4.575333167888829e-17,4.336808689942018e-17,8.673617379884035e-17,3.0357660829594124e-18,6.5052130349130266e-18,1.3010426069826053e-18,0.0,True
2,0,2,0.15908731878175195,0.159087318781752,0.01590873187817519,0.05030782741996197,12,8,0,6,0.020563752920928813,7,-0.017047425629867767,3.469446951953614e-18,1.734723475976807e-17,4.2717565595928875e-17,4.597017211338539e-17,7.632783294297951e-17,2.2768245622195593e-18,1.100465205072787e-17,3.469446951953614e-18,0.0,True
3,0,3,0.1572191823453492,0.15721918234534923,0.015721918234534935,0.0497170708080637,10,10,0,12,0.016650053876027242,7,-0.01910036727771809,-2.6020852139652106e-18,4.163336342344337e-17,3.8163916471489756e-17,4.640385298237959e-17,7.28583859910259e-17,3.903127820947816e-18,6.071532165918825e-18,2.6020852139652106e-18,0.0,True
4,0,4,0.14062538449031606,0.14062538449031603,0.014062538449031589,0.04446965118263148,8,12,0,7,0.015433011992862459,6,-0.012217371322495892,-8.673617379884035e-18,2.7755575615628914e-17,3.122502256758253e-17,4.5536491244391186e-17,4.85722573273506e-17,2.168404344971009e-18,3.686287386450715e-18,8.673617379884035e-18,0.0,True
5,0,5,0.227101676303492,0.22710167630349196,0.022710167630349217,0.07181585575613239,8,12,0,11,0.026497737967891843,12,-0.030990113750865085,-1.0408340855860843e-17,5.551115123125783e-17,5.551115123125783e-17,6.960577947356938e-17,1.0148132334464322e-16,6.071532165918825e-18,6.288372600415926e-18,1.0408340855860843e-17,0.0,True
6,1,0,0.14817624008766878,0.14817624008766875,0.01481762400876686,0.04685744137969808,10,10,0,16,0.014653008033749127,14,-0.01412933342351011,1.734723475976807e-18,2.7755575615628914e-17,3.436920886779049e-17,4.163336342344337e-17,6.071532165918825e-17,2.8189256484623115e-18,8.023096076392733e-18,1.734723475976807e-18,0.0,True
7,1,1,0.21313423943060059,0.21313423943060059,0.02131342394306006,0.06739896439683667,8,12,0,18,0.02291601354601683,14,-0.02953573070878803,-8.673617379884035e-18,4.163336342344337e-17,6.245004513516506e-17,6.938893903907228e-17,1.1362438767648086e-16,3.903127820947816e-18,1.0679391398982219e-17,8.673617379884035e-18,0.0,True
8,1,2,0.17248806946119852,0.17248806946119855,0.0172488069461199,0.05454551687027212,10,10,0,9,0.02070990395473677,11,-0.020468719828842203,-1.3877787807814457e-17,5.551115123125783e-17,4.5102810375396984e-17,5.637851296924623e-17,9.367506770274758e-17,4.336808689942018e-18,8.239936510889834e-18,1.3877787807814457e-17,0.0,True
9,1,3,0.13645331827086973,0.13645331827086968,0.013645331827086991,0.04315032800238177,10,10,0,12,0.017213599807614756,11,-0.017739912935536107,-1.1058862159352145e-17,4.163336342344337e-17,3.469446951953614e-17,4.87890977618477e-17,6.591949208711867e-17,4.119968255444917e-18,4.743384504624082e-18,1.1058862159352145e-17,0.0,True
10,1,4,0.17169036377798413,0.17169036377798413,0.017169036377798434,0.054293260184130214,10,10,0,17,0.02158457500472198,13,-0.021161358030504687,-6.071532165918825e-18,4.163336342344337e-17,4.5102810375396984e-17,5.551115123125783e-17,9.71445146547012e-17,3.469446951953614e-18,5.637851296924623e-18,6.071532165918825e-18,0.0,True
