a_star0,b_star1,c_star2,x_b_over_a,y_c_over_b,Delta0_rank,Delta0_kernel,Delta1_rank,Delta1_kernel,Delta2_rank,Delta2_kernel,Delta1_smallest_positive,Delta1_largest_positive,Delta1_negative_count,exact_coexact_left_max_abs,exact_coexact_right_max_abs,dimension_partition_pass,all_checks_pass
0.25,0.25,0.25,1.0,1.0,59,1,78,42,19,1,0.7639320225002055,16.000000000000014,0,0.0,0.0,True,True
0.25,0.25,0.5,1.0,2.0,59,1,78,42,19,1,0.7639320225002008,32.00000000000003,0,0.0,0.0,True,True
0.25,0.25,1.0,1.0,4.0,59,1,78,42,19,1,0.7639320225002083,64.00000000000006,0,0.0,0.0,True,True
0.25,0.25,2.0,1.0,8.0,59,1,78,42,19,1,0.7639320225001619,128.0000000000001,0,0.0,0.0,True,True
0.25,0.25,4.0,1.0,16.0,59,1,78,42,19,1,0.7639320225001562,256.0000000000003,0,0.0,0.0,True,True
0.25,0.5,0.25,2.0,0.5,59,1,78,42,19,1,1.527864045000415,12.000000000000014,0,0.0,0.0,True,True
0.25,0.5,0.5,2.0,1.0,59,1,78,42,19,1,1.5278640450004097,16.000000000000014,0,0.0,0.0,True,True
0.25,0.5,1.0,2.0,2.0,59,1,78,42,19,1,1.527864045000411,32.00000000000003,0,0.0,0.0,True,True
0.25,0.5,2.0,2.0,4.0,59,1,78,42,19,1,1.5278640450004015,64.00000000000006,0,0.0,0.0,True,True
0.25,0.5,4.0,2.0,8.0,59,1,78,42,19,1,1.5278640450004166,128.0000000000001,0,0.0,0.0,True,True
0.25,1.0,0.25,4.0,0.25,59,1,78,42,19,1,1.4999999999999936,24.000000000000036,0,0.0,0.0,True,True
0.25,1.0,0.5,4.0,0.5,59,1,78,42,19,1,2.9999999999999893,24.00000000000004,0,0.0,0.0,True,True
0.25,1.0,1.0,4.0,1.0,59,1,78,42,19,1,3.05572809000083,24.00000000000003,0,0.0,0.0,True,True
0.25,1.0,2.0,4.0,2.0,59,1,78,42,19,1,3.0557280900008195,32.00000000000003,0,0.0,0.0,True,True
0.25,1.0,4.0,4.0,4.0,59,1,78,42,19,1,3.055728090000822,64.00000000000006,0,0.0,0.0,True,True
0.25,2.0,0.25,8.0,0.125,59,1,78,42,19,1,0.7499999999999754,48.000000000000085,0,0.0,0.0,True,True
0.25,2.0,0.5,8.0,0.25,59,1,78,42,19,1,1.49999999999998,48.000000000000064,0,0.0,0.0,True,True
0.25,2.0,1.0,8.0,0.5,59,1,78,42,19,1,2.999999999999987,48.00000000000007,0,0.0,0.0,True,True
0.25,2.0,2.0,8.0,1.0,59,1,78,42,19,1,5.999999999999979,48.00000000000008,0,0.0,0.0,True,True
0.25,2.0,4.0,8.0,2.0,59,1,78,42,19,1,6.11145618000166,48.00000000000006,0,0.0,0.0,True,True
0.25,4.0,0.25,16.0,0.0625,59,1,78,42,19,1,0.37499999999997313,96.00000000000009,0,0.0,0.0,True,True
0.25,4.0,0.5,16.0,0.125,59,1,78,42,19,1,0.7499999999999257,96.00000000000009,0,0.0,0.0,True,True
0.25,4.0,1.0,16.0,0.25,59,1,78,42,19,1,1.4999999999999507,96.00000000000017,0,0.0,0.0,True,True
