cycle_id,f00,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
z00,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
z01,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
z02,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
z03,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
z04,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
z05,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
z06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
z07,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0
z08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0
z09,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
z10,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
z11,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0
z12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0
z13,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0
z14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0
z15,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
z16,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z17,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
z18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0
z19,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
z20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
z21,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
z22,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
z23,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0
z24,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0
z25,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1
z26,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
z27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0
z28,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
z29,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
z30,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0
z31,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0
z32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
z33,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
z34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
z35,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
z36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0
z37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
z38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
z39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0
z40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0
z41,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
z42,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0
z43,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
z45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0
z46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0
z47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
z48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0
z49,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0
z50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0
z51,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z52,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0
z53,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
z54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
z55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
z56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0
z57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0
z58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0
z59,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0
z60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0
