face_id,v00,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11
0,0,16,12,24,10,9,40,31,43,39,2,25
1,0,19,27,33,37,31,40,54,48,52,58,16
2,0,25,36,28,34,7,40,9,51,57,49,55
3,0,55,3,46,42,54,40,7,20,11,23,19
4,1,15,4,56,52,14,50,8,30,21,33,29
5,1,26,22,34,20,5,50,41,53,49,3,35
6,1,29,37,43,47,41,50,14,58,12,18,26
7,1,35,46,38,44,8,50,5,11,17,59,15
8,2,36,32,44,30,6,10,51,13,59,4,45
9,2,39,47,53,57,51,10,24,18,22,28,36
10,2,45,56,48,54,9,10,6,21,27,19,25
11,3,49,57,13,17,11,20,34,28,32,38,46
12,3,55,16,58,14,5,20,7,31,37,29,35
13,4,15,26,18,24,6,30,8,41,47,39,45
14,4,59,17,23,27,21,30,44,38,42,48,56
15,5,14,52,48,42,46,35,29,33,27,23,11
16,6,24,12,58,52,56,45,39,43,37,33,21
17,7,34,22,18,12,16,55,49,53,47,43,31
18,8,44,32,28,22,26,15,59,13,57,53,41
19,9,54,42,38,32,36,25,19,23,17,13,51
